ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774810799,9,8,9,1195338,10,1468699,11,545238,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334010,1945536
1774810800,9,8,9,1195338,10,1468699,11,545238,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334010,1945536
1774810801,9,8,9,1195338,10,1468699,11,545238,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334010,1945536
1774810802,9,8,9,1195338,10,1468699,11,545238,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334010,1945536
1774810803,9,8,9,1195338,10,1468699,11,545238,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334010,1945536
1774810804,9,8,9,1195338,10,1468699,11,545238,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334010,1945536
1774810805,9,8,9,1195338,10,1468699,11,545238,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334010,1945536
1774810806,9,8,9,1195338,10,1468699,11,545238,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334010,1945536
1774810807,9,8,9,1195338,10,1468699,11,545238,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334010,1945536
1774810808,9,8,9,1195338,10,1468699,11,545238,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334010,1945536
1774810809,9,8,9,1195338,10,1468699,11,545238,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334010,1945536
1774810810,9,8,9,1195338,10,1469211,11,544748,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334032,1945536
1774810811,9,8,9,1195338,10,1469211,11,544748,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334032,1945536
1774810812,9,8,9,1195338,10,1469211,11,544748,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334032,1945536
1774810813,9,8,9,1195338,10,1469211,11,544748,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3334032,1945536
1774810814,9,8,9,1195038,10,1469211,11,544748,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3333732,1945536
1774810815,9,8,9,1195038,10,1468721,11,544748,12,39293,13,6506,14,6700,15,8285,16,48060,17,5939,18,5100,19,4852,8,75725,7,529963,6,137551,5,17284,4,22214,3,32292,2,143702,1,986805,0,0,-1,0,-2,0,3333242,1945536
