ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774913399,95,94,95,1418074,96,868090,97,1111801,98,69179,99,933444,100,0,101,0,102,0,103,0,104,0,105,0,94,130769,93,350424,92,269022,91,1172,90,1634,89,11670,88,3407,87,250,86,351,85,250,84,2250,4400588,771199
1774913400,95,94,95,1418074,96,868090,97,1111801,98,69179,99,933444,100,0,101,0,102,0,103,0,104,0,105,0,94,130769,93,350424,92,269022,91,1172,90,1634,89,11670,88,3407,87,250,86,351,85,250,84,2250,4400588,771199
1774913401,95,94,95,1418074,96,868090,97,1111801,98,69179,99,933444,100,0,101,0,102,0,103,0,104,0,105,0,94,130769,93,350424,92,269022,91,1172,90,1634,89,11670,88,3407,87,250,86,351,85,250,84,2250,4400588,771199
1774913402,95,94,95,1418074,96,868090,97,1111801,98,69179,99,933444,100,0,101,0,102,0,103,0,104,0,105,0,94,130769,93,350424,92,269022,91,1172,90,1634,89,11670,88,3407,87,250,86,351,85,250,84,2250,4400588,771199
1774913403,95,94,95,1418074,96,868090,97,1111801,98,69179,99,933444,100,0,101,0,102,0,103,0,104,0,105,0,94,130769,93,350424,92,269022,91,1172,90,1634,89,11670,88,3407,87,250,86,351,85,250,84,2250,4400588,771199
1774913404,95,94,95,1418074,96,868090,97,1111801,98,69179,99,933444,100,0,101,0,102,0,103,0,104,0,105,0,94,130769,93,350424,92,269022,91,1172,90,1634,89,11670,88,3407,87,250,86,351,85,250,84,2250,4400588,771199
1774913405,95,94,95,1418074,96,868090,97,1111801,98,69179,99,933444,100,0,101,0,102,0,103,0,104,0,105,0,94,130769,93,350424,92,269022,91,1172,90,1634,89,11670,88,3407,87,250,86,351,85,250,84,2250,4400588,771199
1774913406,95,94,95,1418074,96,868090,97,1111801,98,69179,99,933444,100,0,101,0,102,0,103,0,104,0,105,0,94,130969,93,350424,92,269022,91,1172,90,1634,89,11670,88,3407,87,250,86,351,85,250,84,2250,4400588,771399
1774913407,95,94,95,1418074,96,868090,97,1111801,98,69179,99,933444,100,0,101,0,102,0,103,0,104,0,105,0,94,130907,93,350362,92,269022,91,1172,90,1634,89,11670,88,3407,87,250,86,351,85,250,84,2250,4400588,771275
1774913408,95,94,95,1418074,96,868090,97,1111801,98,69179,99,933444,100,0,101,0,102,0,103,0,104,0,105,0,94,130907,93,350362,92,269022,91,1172,90,1634,89,11670,88,3407,87,250,86,351,85,250,84,2250,4400588,771275
