ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1775255399,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,15,0,15,low_activity,0,0,0,15,0,15,3640531,3219396,-0.0614,0,0,8,87,92,91,1
1775255400,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,15,0,15,low_activity,0,0,0,15,0,15,3640531,3219396,-0.0614,0,0,8,87,92,91,1
1775255401,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,15,0,15,low_activity,0,0,0,15,0,15,3640531,3219396,-0.0614,0,0,8,87,92,91,1
1775255402,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,15,0,15,low_activity,0,0,0,15,0,15,3640531,3219396,-0.0614,0,0,8,87,92,91,1
1775255403,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,15,0,15,low_activity,0,0,0,15,0,15,3640531,3219396,-0.0614,0,0,8,87,92,91,1
1775255404,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,15,0,15,low_activity,0,0,0,15,0,15,3640531,3219396,-0.0614,0,0,8,87,92,91,1
1775255405,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,15,0,15,low_activity,0,0,0,15,0,15,3640531,3219396,-0.0614,0,0,8,87,92,91,1
1775255406,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,15,0,15,low_activity,0,0,0,15,0,15,3640531,3219396,-0.0614,0,0,8,87,92,91,1
1775255407,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,15,0,15,low_activity,0,0,0,15,0,15,3640531,3219396,-0.0614,0,0,8,87,92,91,1
1775255408,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,15,0,15,low_activity,0,0,0,15,0,15,3640531,3219396,-0.0614,0,0,8,87,92,91,1
1775255409,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,15,0,15,low_activity,0,0,0,15,0,15,3640531,3219396,-0.0614,0,0,8,87,92,91,1
1775255410,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,15,0,15,3640531,3219396,-0.0614,0,0,8,87,92,91,1
