ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773520173,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520174,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520175,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1838497,966285,-0.311,1838497,1838497,88,9,10,9,1
1773520176,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1838497,966285,-0.311,1838497,1838497,88,9,10,9,1
1773520177,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1838497,966285,-0.311,1838497,1838497,88,9,10,9,1
1773520178,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1838497,966285,-0.311,0,1838497,88,9,10,9,1
1773520179,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1838497,966285,-0.311,0,1838497,88,9,10,9,1
1773520180,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1838497,965572,-0.3113,0,1838497,88,9,10,9,1
1773520181,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1838497,965572,-0.3113,0,1838497,88,9,10,9,1
1773520182,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1838469,965572,-0.3113,-28,1838469,88,9,10,9,1
1773520183,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1838469,965572,-0.3113,-28,1838469,88,9,10,9,1
1773520184,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1845539,965572,-0.313,7042,1845539,88,9,10,9,1
1773520185,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1845539,965572,-0.313,7070,7042,88,9,10,9,1
1773520186,9,90,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1838856,965572,-0.3114,387,359,88,9,10,9,1
1773520187,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1838809,965572,-0.3114,-6730,312,88,9,10,9,1
1773520188,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1838809,965572,-0.3114,-6730,312,88,9,10,9,1
1773520189,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1838809,965572,-0.3114,-47,312,88,9,10,9,1
1773520190,9,90,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1838809,965572,-0.3114,0,312,88,9,10,9,1
1773520191,9,90,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1841809,965572,-0.3121,3000,3312,88,9,10,9,1
1773520192,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1841809,965572,-0.3121,3000,3340,88,9,10,9,1
1773520193,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1841809,964072,-0.3128,3000,3340,88,9,10,9,1
1773520194,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1841801,964072,-0.3128,-8,-3738,88,9,10,9,1
1773520195,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1841762,964072,-0.3128,-47,-3777,88,9,10,9,1
1773520196,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1841762,963903,-0.3129,-47,2906,88,9,10,9,1
1773520197,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1841762,963903,-0.3129,-39,2953,88,9,10,9,1
1773520198,9,90,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1841762,963903,-0.3129,0,2953,88,9,10,9,1
1773520199,9,90,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1841762,963903,-0.3129,0,2953,88,9,10,9,1
1773520200,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1841762,963903,-0.3129,0,2953,88,9,10,9,1
1773520201,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1841762,963903,-0.3129,0,-47,88,9,10,9,1
1773520202,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1841772,964072,-0.3128,10,-37,88,9,10,9,1
1773520203,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1841772,964072,-0.3128,10,-37,88,9,10,9,1
1773520204,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1841731,964072,-0.3128,-31,-70,88,9,10,9,1
1773520205,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1841731,964072,-0.3128,-41,-31,88,9,10,9,1
1773520206,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1841731,963772,-0.3129,-41,-31,88,9,10,9,1
1773520207,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1841730,963772,-0.3129,-1,-32,88,9,10,9,1
1773520208,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1841731,963772,-0.3129,0,-31,88,9,10,9,1
1773520209,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1837585,961406,-0.313,-4146,-4177,88,9,10,9,1
1773520210,9,90,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1839692,961406,-0.3136,-2038,-2070,88,9,10,9,1
1773520211,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1839688,961406,-0.3135,-2043,-2074,88,9,10,9,1
1773520212,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1839688,961406,-0.3135,2103,-2084,88,9,10,9,1
1773520213,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1838466,961406,-0.3133,-1226,-3306,88,9,10,9,1
1773520214,9,90,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1838466,961406,-0.3133,-1222,-3265,88,9,10,9,1
1773520215,9,90,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1838466,961406,-0.3133,-1222,-3265,88,9,10,9,1
1773520216,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1838466,961406,-0.3133,0,-3265,88,9,10,9,1
1773520217,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1838466,961406,-0.3133,0,-3264,88,9,10,9,1
1773520218,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1838466,961406,-0.3133,0,-3265,88,9,10,9,1
1773520219,9,90,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1838466,961406,-0.3133,0,881,88,9,10,9,1
1773520220,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1837433,959606,-0.3138,-1033,-2259,88,9,10,9,1
1773520221,9,90,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1837433,976506,-0.306,-1033,-2255,88,9,10,9,1
ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773521000,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521001,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521002,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1981889,995478,-0.3313,1981889,1981889,87,11,12,11,1
1773521003,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1981889,995478,-0.3313,1981889,1981889,87,11,12,11,1
1773521004,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1981889,995478,-0.3313,1981889,1981889,87,11,12,11,1
1773521005,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1981889,995482,-0.3313,0,1981889,87,11,12,11,1
1773521006,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1981105,995482,-0.3311,-784,1981105,87,11,12,11,1
1773521007,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1981105,995482,-0.3311,-784,1981105,87,11,12,11,1
1773521008,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1981105,995482,-0.3311,-784,1981105,87,11,12,11,1
1773521009,11,88,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1981105,995482,-0.3311,0,1981105,87,11,12,11,1
1773521010,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1980813,995462,-0.3311,-292,1980813,87,11,12,11,1
1773521011,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1980813,993462,-0.332,-292,1980813,87,11,12,11,1
1773521012,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1980813,993462,-0.332,-292,-1076,87,11,12,11,1
1773521013,11,88,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1980813,991743,-0.3327,0,-1076,87,11,12,11,1
1773521014,11,88,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1980813,991452,-0.3329,0,-1076,87,11,12,11,1
1773521015,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1980029,991452,-0.3327,-784,-1860,87,11,12,11,1
1773521016,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1980029,993452,-0.3318,-784,-1076,87,11,12,11,1
1773521017,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1980029,993452,-0.3318,-784,-1076,87,11,12,11,1
1773521018,11,88,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1980029,993452,-0.3318,0,-1076,87,11,12,11,1
1773521019,11,88,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1980029,993452,-0.3318,0,-1076,87,11,12,11,1
1773521020,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1980029,993452,-0.3318,0,-784,87,11,12,11,1
1773521021,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1980029,993452,-0.3318,0,-784,87,11,12,11,1
1773521022,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1980029,993452,-0.3318,0,-784,87,11,12,11,1
1773521023,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1980029,993452,-0.3318,0,-784,87,11,12,11,1
1773521024,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979829,991771,-0.3325,-200,-984,87,11,12,11,1
1773521025,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979749,991634,-0.3325,-280,-280,87,11,12,11,1
1773521026,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979749,991801,-0.3325,-280,-280,87,11,12,11,1
1773521027,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979749,991801,-0.3325,-80,-280,87,11,12,11,1
1773521028,11,88,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979749,991801,-0.3325,0,-280,87,11,12,11,1
1773521029,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979400,991734,-0.3324,-349,-629,87,11,12,11,1
1773521030,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979400,991734,-0.3324,-349,-629,87,11,12,11,1
1773521031,11,88,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979400,991734,-0.3324,-349,-629,87,11,12,11,1
1773521032,11,88,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979400,991734,-0.3324,0,-629,87,11,12,11,1
1773521033,11,88,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979400,991734,-0.3324,0,-629,87,11,12,11,1
1773521034,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1979400,991734,-0.3324,0,-429,87,11,12,11,1
1773521035,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1979400,991734,-0.3324,0,-349,87,11,12,11,1
1773521036,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1979400,991734,-0.3324,0,-349,87,11,12,11,1
1773521037,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1979400,991734,-0.3324,0,-349,87,11,12,11,1
1773521038,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1979400,991734,-0.3324,0,-349,87,11,12,11,1
1773521039,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1979400,991734,-0.3324,0,0,87,11,12,11,1
1773521040,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1979400,991734,-0.3324,0,0,87,11,12,11,1
1773521041,11,88,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1979400,991734,-0.3324,0,0,87,11,12,11,1
1773521042,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979395,991715,-0.3324,-5,-5,88,10,11,10,1
1773521043,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979395,991725,-0.3324,-5,-5,88,10,11,10,1
1773521044,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979395,991725,-0.3324,-5,-5,88,10,11,10,1
1773521045,10,89,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1979395,991921,-0.3323,0,-5,88,10,11,10,1
