ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774394999,80,19,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,5230083,3490430,-0.1995,0,0,19,76,81,80,1
1774395000,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,5230083,3490430,-0.1995,0,0,19,76,81,80,1
1774395001,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,5229830,3490420,-0.1995,-253,-253,19,76,81,80,1
1774395002,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,5229830,3490420,-0.1995,-253,-253,19,76,81,80,1
1774395003,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,5229830,3490420,-0.1995,-253,-253,19,76,81,80,1
1774395004,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,5229830,3490420,-0.1995,0,-253,19,76,81,80,1
1774395005,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,5229825,3490415,-0.1995,-5,-258,19,76,81,80,1
1774395006,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,5229990,3490420,-0.1995,160,-93,19,76,81,80,1
1774395007,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,5229990,3490420,-0.1995,160,-93,19,76,81,80,1
1774395008,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,5229985,3490415,-0.1995,160,-98,19,76,81,80,1
1774395009,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,5229990,3490433,-0.1995,0,-93,19,76,81,80,1
1774395010,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,5229990,3490433,-0.1995,0,-93,19,76,81,80,1
1774395011,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,5229966,3490428,-0.1995,-19,136,19,76,81,80,1
1774395012,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,5229966,3490433,-0.1995,-24,136,19,76,81,80,1
1774395013,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,5228766,3490428,-0.1994,-1224,-1064,19,76,81,80,1
1774395014,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,5228715,3490433,-0.1994,-1251,-1115,19,76,81,80,1
1774395015,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,5228715,3490433,-0.1994,-1251,-1110,19,76,81,80,1
1774395016,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,5228407,3490428,-0.1993,-359,-1583,19,76,81,80,1
