Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
57,1775135325,2026-04-02T06:08:45,81,19,yes,1
87,1775135412,2026-04-02T06:10:12,81,19,yes,12
108,1775135482,2026-04-02T06:11:22,81,19,yes,6
151,1775135613,2026-04-02T06:13:33,81,19,yes,24
173,1775135671,2026-04-02T06:14:31,81,19,yes,121
201,1775135745,2026-04-02T06:15:45,81,19,yes,30
224,1775135809,2026-04-02T06:16:49,81,19,yes,60
240,1775135838,2026-04-02T06:17:18,81,19,yes,1
302,1775136035,2026-04-02T06:20:35,81,19,yes,60
308,1775136060,2026-04-02T06:21:00,81,19,yes,120
310,1775136063,2026-04-02T06:21:03,80,20,no,4
344,1775136185,2026-04-02T06:23:05,81,19,yes,120
382,1775136334,2026-04-02T06:25:34,81,19,yes,6
410,1775136400,2026-04-02T06:26:40,81,19,yes,3
518,1775136695,2026-04-02T06:31:35,81,19,yes,6
557,1775136785,2026-04-02T06:33:05,80,20,no,5
564,1775136802,2026-04-02T06:33:22,81,19,yes,1
594,1775136903,2026-04-02T06:35:03,81,19,yes,3
597,1775136914,2026-04-02T06:35:14,81,19,yes,24
608,1775136954,2026-04-02T06:35:54,81,19,yes,30
633,1775137011,2026-04-02T06:36:51,81,19,yes,1063
658,1775137087,2026-04-02T06:38:07,81,19,yes,6
659,1775137087,2026-04-02T06:38:07,81,19,yes,121
685,1775137161,2026-04-02T06:39:21,81,19,yes,150
722,1775137259,2026-04-02T06:40:59,81,19,yes,8
729,1775137279,2026-04-02T06:41:19,81,19,yes,60
746,1775137306,2026-04-02T06:41:46,81,19,yes,1
784,1775137378,2026-04-02T06:42:58,81,19,yes,24
790,1775137390,2026-04-02T06:43:10,81,19,yes,24
841,1775137462,2026-04-02T06:44:22,81,19,yes,1
847,1775137483,2026-04-02T06:44:43,81,19,yes,6
876,1775137542,2026-04-02T06:45:42,81,19,yes,60
913,1775137672,2026-04-02T06:47:52,81,19,yes,4
970,1775137778,2026-04-02T06:49:38,81,19,yes,59
1011,1775137878,2026-04-02T06:51:18,81,19,yes,60
1039,1775137946,2026-04-02T06:52:26,81,19,yes,18
1056,1775137973,2026-04-02T06:52:53,81,19,yes,60
1059,1775137980,2026-04-02T06:53:00,81,19,yes,109
1098,1775138068,2026-04-02T06:54:28,81,19,yes,1
1134,1775138122,2026-04-02T06:55:22,81,19,yes,1
1135,1775138122,2026-04-02T06:55:22,81,19,yes,30
1216,1775138325,2026-04-02T06:58:45,81,19,yes,90
1230,1775138358,2026-04-02T06:59:18,81,19,yes,2
1342,1775138551,2026-04-02T07:02:31,81,19,yes,5
1343,1775138551,2026-04-02T07:02:31,81,19,yes,7
1378,1775138647,2026-04-02T07:04:07,81,19,yes,100
1381,1775138655,2026-04-02T07:04:15,81,19,yes,30
1426,1775138755,2026-04-02T07:05:55,81,19,yes,30
1427,1775138759,2026-04-02T07:05:59,81,19,yes,59
1449,1775138792,2026-04-02T07:06:32,81,19,yes,767
1515,1775138978,2026-04-02T07:09:38,81,19,yes,1
1598,1775139254,2026-04-02T07:14:14,81,19,yes,30
1609,1775139292,2026-04-02T07:14:52,81,19,yes,60
1643,1775139356,2026-04-02T07:15:56,81,19,yes,400
1658,1775139390,2026-04-02T07:16:30,81,19,yes,60
1724,1775139504,2026-04-02T07:18:24,81,19,yes,30
1749,1775139542,2026-04-02T07:19:02,81,19,yes,26
1750,1775139542,2026-04-02T07:19:02,81,19,yes,7
1772,1775139582,2026-04-02T07:19:42,81,19,yes,45
1789,1775139603,2026-04-02T07:20:03,81,19,yes,374
1790,1775139603,2026-04-02T07:20:03,81,19,yes,95
1791,1775139603,2026-04-02T07:20:03,81,19,yes,212
1792,1775139605,2026-04-02T07:20:05,81,19,yes,602
1797,1775139611,2026-04-02T07:20:11,81,19,yes,109
1881,1775139761,2026-04-02T07:22:41,81,19,yes,91
1947,1775139857,2026-04-02T07:24:17,81,19,yes,12
1991,1775139933,2026-04-02T07:25:33,81,19,yes,120
1992,1775139938,2026-04-02T07:25:38,81,19,yes,6
1998,1775139951,2026-04-02T07:25:51,81,19,yes,1367
2035,1775140022,2026-04-02T07:27:02,81,19,yes,1
2088,1775140134,2026-04-02T07:28:54,81,19,yes,71
2108,1775140185,2026-04-02T07:29:45,81,19,yes,92
2152,1775140259,2026-04-02T07:30:59,81,19,yes,1
2171,1775140302,2026-04-02T07:31:42,81,19,yes,500
2181,1775140322,2026-04-02T07:32:02,81,19,yes,3
2209,1775140382,2026-04-02T07:33:02,81,19,yes,12
2217,1775140400,2026-04-02T07:33:20,81,19,yes,30
2232,1775140443,2026-04-02T07:34:03,81,19,yes,121
2238,1775140468,2026-04-02T07:34:28,81,19,yes,36
