Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
63,1773666578,2026-03-16T06:09:38,,,yes,
74,1773666602,2026-03-16T06:10:02,,,no,
79,1773666620,2026-03-16T06:10:20,,,yes,
124,1773666731,2026-03-16T06:12:11,,,yes,
160,1773666854,2026-03-16T06:14:14,,,yes,
175,1773666889,2026-03-16T06:14:49,,,yes,
224,1773667096,2026-03-16T06:18:16,,,yes,
251,1773667157,2026-03-16T06:19:17,,,yes,
288,1773667269,2026-03-16T06:21:09,,,yes,
299,1773667297,2026-03-16T06:21:37,,,yes,
302,1773667308,2026-03-16T06:21:48,,,yes,
310,1773667328,2026-03-16T06:22:08,,,yes,
367,1773667473,2026-03-16T06:24:33,,,yes,
397,1773667536,2026-03-16T06:25:36,,,yes,
398,1773667536,2026-03-16T06:25:36,,,yes,
400,1773667542,2026-03-16T06:25:42,,,yes,
488,1773667733,2026-03-16T06:28:53,,,yes,
507,1773667780,2026-03-16T06:29:40,,,yes,
527,1773667823,2026-03-16T06:30:23,,,yes,
543,1773667877,2026-03-16T06:31:17,,,yes,
550,1773667917,2026-03-16T06:31:57,,,yes,
579,1773667990,2026-03-16T06:33:10,,,yes,
603,1773668049,2026-03-16T06:34:09,,,yes,
604,1773668050,2026-03-16T06:34:10,,,yes,
693,1773668272,2026-03-16T06:37:52,,,yes,
694,1773668278,2026-03-16T06:37:58,,,yes,
762,1773668449,2026-03-16T06:40:49,,,yes,
857,1773668628,2026-03-16T06:43:48,,,yes,
886,1773668701,2026-03-16T06:45:01,,,yes,
1040,1773669031,2026-03-16T06:50:31,,,yes,
1126,1773669188,2026-03-16T06:53:08,,,yes,
1129,1773669190,2026-03-16T06:53:10,,,yes,
1133,1773669200,2026-03-16T06:53:20,,,yes,
1150,1773669231,2026-03-16T06:53:51,,,yes,
1168,1773669271,2026-03-16T06:54:31,,,yes,
1209,1773669366,2026-03-16T06:56:06,,,yes,
1239,1773669443,2026-03-16T06:57:23,,,yes,
1281,1773669554,2026-03-16T06:59:14,,,yes,
1368,1773669764,2026-03-16T07:02:44,,,yes,
1402,1773669820,2026-03-16T07:03:40,,,yes,
1408,1773669831,2026-03-16T07:03:51,,,yes,
1448,1773669892,2026-03-16T07:04:52,,,yes,
1524,1773670057,2026-03-16T07:07:37,,,yes,
1543,1773670112,2026-03-16T07:08:32,,,yes,
1580,1773670197,2026-03-16T07:09:57,,,yes,
1762,1773670622,2026-03-16T07:17:02,,,yes,
1773,1773670641,2026-03-16T07:17:21,,,yes,
1810,1773670740,2026-03-16T07:19:00,,,yes,
1831,1773670788,2026-03-16T07:19:48,,,yes,
1839,1773670825,2026-03-16T07:20:25,,,yes,
1905,1773670982,2026-03-16T07:23:02,,,yes,
1961,1773671121,2026-03-16T07:25:21,,,yes,
2034,1773671315,2026-03-16T07:28:35,,,yes,
2048,1773671342,2026-03-16T07:29:02,,,yes,
2108,1773671475,2026-03-16T07:31:15,,,yes,
2112,1773671489,2026-03-16T07:31:29,,,yes,
2172,1773671602,2026-03-16T07:33:22,,,yes,
2222,1773671708,2026-03-16T07:35:08,,,yes,
2251,1773671757,2026-03-16T07:35:57,,,yes,
2260,1773671777,2026-03-16T07:36:17,,,yes,
2261,1773671777,2026-03-16T07:36:17,,,yes,
2303,1773671842,2026-03-16T07:37:22,,,yes,
2308,1773671847,2026-03-16T07:37:27,,,yes,
2311,1773671848,2026-03-16T07:37:28,,,yes,
2317,1773671860,2026-03-16T07:37:40,,,yes,
2402,1773672027,2026-03-16T07:40:27,,,yes,
2415,1773672043,2026-03-16T07:40:43,,,yes,
2420,1773672059,2026-03-16T07:40:59,,,yes,
2444,1773672099,2026-03-16T07:41:39,,,yes,
2462,1773672141,2026-03-16T07:42:21,,,yes,
2512,1773672299,2026-03-16T07:44:59,,,yes,
2548,1773672354,2026-03-16T07:45:54,,,yes,
2584,1773672416,2026-03-16T07:46:56,,,yes,
2668,1773672593,2026-03-16T07:49:53,,,yes,
2692,1773672636,2026-03-16T07:50:36,,,yes,
2698,1773672645,2026-03-16T07:50:45,,,yes,
2714,1773672677,2026-03-16T07:51:17,,,yes,
2738,1773672701,2026-03-16T07:51:41,,,yes,
2739,1773672701,2026-03-16T07:51:41,,,yes,
2741,1773672702,2026-03-16T07:51:42,,,yes,
2742,1773672702,2026-03-16T07:51:42,,,yes,
2751,1773672726,2026-03-16T07:52:06,,,yes,
2752,1773672728,2026-03-16T07:52:08,,,no,
2753,1773672728,2026-03-16T07:52:08,,,yes,
2832,1773672881,2026-03-16T07:54:41,,,yes,
2884,1773672955,2026-03-16T07:55:55,,,yes,
2911,1773673009,2026-03-16T07:56:49,,,yes,
2912,1773673009,2026-03-16T07:56:49,,,yes,
2918,1773673018,2026-03-16T07:56:58,,,yes,
2921,1773673020,2026-03-16T07:57:00,,,yes,
2954,1773673061,2026-03-16T07:57:41,,,yes,
3012,1773673158,2026-03-16T07:59:18,,,yes,
3019,1773673177,2026-03-16T07:59:37,,,yes,
3054,1773673259,2026-03-16T08:00:59,,,yes,
3077,1773673312,2026-03-16T08:01:52,,,yes,
3098,1773673338,2026-03-16T08:02:18,,,yes,
3118,1773673390,2026-03-16T08:03:10,,,yes,
3128,1773673409,2026-03-16T08:03:29,,,yes,
3165,1773673452,2026-03-16T08:04:12,,,yes,
3195,1773673487,2026-03-16T08:04:47,,,yes,
3229,1773673518,2026-03-16T08:05:18,,,yes,
3234,1773673522,2026-03-16T08:05:22,,,yes,
3280,1773673574,2026-03-16T08:06:14,,,yes,
3291,1773673597,2026-03-16T08:06:37,,,yes,
3364,1773673697,2026-03-16T08:08:17,,,yes,
3385,1773673731,2026-03-16T08:08:51,,,yes,
3394,1773673747,2026-03-16T08:09:07,,,yes,
3396,1773673750,2026-03-16T08:09:10,,,yes,
3409,1773673773,2026-03-16T08:09:33,,,yes,
3445,1773673835,2026-03-16T08:10:35,,,yes,
3466,1773673879,2026-03-16T08:11:19,,,yes,
3522,1773673965,2026-03-16T08:12:45,,,yes,
3613,1773674101,2026-03-16T08:15:01,,,yes,
3721,1773674305,2026-03-16T08:18:25,,,yes,
3722,1773674306,2026-03-16T08:18:26,,,yes,
3723,1773674306,2026-03-16T08:18:26,,,yes,
3724,1773674306,2026-03-16T08:18:26,,,yes,
3725,1773674306,2026-03-16T08:18:26,,,yes,
3726,1773674306,2026-03-16T08:18:26,,,yes,
3727,1773674306,2026-03-16T08:18:26,,,yes,
3728,1773674306,2026-03-16T08:18:26,,,yes,
3729,1773674306,2026-03-16T08:18:26,,,yes,
