Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
6,1773666351,2026-03-16T06:05:51,,,yes,
11,1773666380,2026-03-16T06:06:20,,,yes,
56,1773666546,2026-03-16T06:09:06,,,yes,
129,1773666752,2026-03-16T06:12:32,,,yes,
130,1773666755,2026-03-16T06:12:35,,,yes,
164,1773666860,2026-03-16T06:14:20,,,yes,
210,1773667052,2026-03-16T06:17:32,,,yes,
217,1773667072,2026-03-16T06:17:52,,,yes,
218,1773667075,2026-03-16T06:17:55,,,yes,
256,1773667177,2026-03-16T06:19:37,,,yes,
263,1773667221,2026-03-16T06:20:21,,,yes,
313,1773667330,2026-03-16T06:22:10,,,yes,
346,1773667424,2026-03-16T06:23:44,,,yes,
381,1773667507,2026-03-16T06:25:07,,,yes,
455,1773667647,2026-03-16T06:27:27,,,yes,
458,1773667658,2026-03-16T06:27:38,,,yes,
489,1773667735,2026-03-16T06:28:55,,,yes,
606,1773668055,2026-03-16T06:34:15,,,yes,
621,1773668102,2026-03-16T06:35:02,,,yes,
658,1773668179,2026-03-16T06:36:19,,,yes,
712,1773668315,2026-03-16T06:38:35,,,yes,
766,1773668465,2026-03-16T06:41:05,,,yes,
798,1773668533,2026-03-16T06:42:13,,,yes,
840,1773668594,2026-03-16T06:43:14,,,yes,
859,1773668630,2026-03-16T06:43:50,,,yes,
870,1773668661,2026-03-16T06:44:21,,,yes,
879,1773668672,2026-03-16T06:44:32,,,yes,
909,1773668763,2026-03-16T06:46:03,,,yes,
926,1773668798,2026-03-16T06:46:38,,,yes,
941,1773668832,2026-03-16T06:47:12,,,yes,
977,1773668932,2026-03-16T06:48:52,,,yes,
984,1773668941,2026-03-16T06:49:01,,,yes,
1005,1773668975,2026-03-16T06:49:35,,,yes,
1022,1773669004,2026-03-16T06:50:04,,,yes,
1033,1773669023,2026-03-16T06:50:23,,,yes,
1141,1773669213,2026-03-16T06:53:33,,,yes,
1142,1773669216,2026-03-16T06:53:36,,,yes,
1193,1773669319,2026-03-16T06:55:19,,,yes,
1254,1773669479,2026-03-16T06:57:59,,,yes,
1255,1773669479,2026-03-16T06:57:59,,,yes,
1256,1773669479,2026-03-16T06:57:59,,,yes,
1257,1773669479,2026-03-16T06:57:59,,,yes,
1258,1773669480,2026-03-16T06:58:00,,,yes,
1335,1773669683,2026-03-16T07:01:23,,,yes,
1369,1773669764,2026-03-16T07:02:44,,,yes,
1397,1773669811,2026-03-16T07:03:31,,,yes,
1399,1773669814,2026-03-16T07:03:34,,,yes,
1412,1773669836,2026-03-16T07:03:56,,,yes,
1417,1773669846,2026-03-16T07:04:06,,,yes,
1432,1773669870,2026-03-16T07:04:30,,,yes,
1526,1773670074,2026-03-16T07:07:54,,,yes,
1535,1773670091,2026-03-16T07:08:11,,,yes,
1538,1773670095,2026-03-16T07:08:15,,,yes,
1620,1773670317,2026-03-16T07:11:57,,,yes,
1654,1773670374,2026-03-16T07:12:54,,,yes,
1663,1773670389,2026-03-16T07:13:09,,,no,
1678,1773670419,2026-03-16T07:13:39,,,yes,
1714,1773670494,2026-03-16T07:14:54,,,yes,
1719,1773670523,2026-03-16T07:15:23,,,yes,
1734,1773670563,2026-03-16T07:16:03,,,yes,
1735,1773670563,2026-03-16T07:16:03,,,yes,
1749,1773670590,2026-03-16T07:16:30,,,yes,
1781,1773670654,2026-03-16T07:17:34,,,yes,
1784,1773670672,2026-03-16T07:17:52,,,yes,
1785,1773670673,2026-03-16T07:17:53,,,yes,
1787,1773670686,2026-03-16T07:18:06,,,yes,
1847,1773670849,2026-03-16T07:20:49,,,yes,
1924,1773671027,2026-03-16T07:23:47,,,yes,
1930,1773671033,2026-03-16T07:23:53,,,yes,
1973,1773671142,2026-03-16T07:25:42,,,yes,
1983,1773671175,2026-03-16T07:26:15,,,yes,
1985,1773671177,2026-03-16T07:26:17,,,yes,
2038,1773671324,2026-03-16T07:28:44,,,yes,
2053,1773671348,2026-03-16T07:29:08,,,yes,
2054,1773671348,2026-03-16T07:29:08,,,yes,
2072,1773671396,2026-03-16T07:29:56,,,yes,
2077,1773671409,2026-03-16T07:30:09,,,yes,
2078,1773671409,2026-03-16T07:30:09,,,yes,
2128,1773671513,2026-03-16T07:31:53,,,yes,
2140,1773671536,2026-03-16T07:32:16,,,yes,
2141,1773671536,2026-03-16T07:32:16,,,yes,
2155,1773671569,2026-03-16T07:32:49,,,no,
2156,1773671569,2026-03-16T07:32:49,,,no,
2157,1773671569,2026-03-16T07:32:49,,,no,
2170,1773671600,2026-03-16T07:33:20,,,yes,
2175,1773671609,2026-03-16T07:33:29,,,yes,
2225,1773671711,2026-03-16T07:35:11,,,yes,
2228,1773671717,2026-03-16T07:35:17,,,yes,
2232,1773671724,2026-03-16T07:35:24,,,yes,
2243,1773671745,2026-03-16T07:35:45,,,yes,
2366,1773671967,2026-03-16T07:39:27,,,yes,
2371,1773671979,2026-03-16T07:39:39,,,yes,
2474,1773672186,2026-03-16T07:43:06,,,yes,
2483,1773672216,2026-03-16T07:43:36,,,yes,
2484,1773672218,2026-03-16T07:43:38,,,yes,
2486,1773672227,2026-03-16T07:43:47,,,yes,
2511,1773672297,2026-03-16T07:44:57,,,yes,
2598,1773672438,2026-03-16T07:47:18,,,no,
2690,1773672630,2026-03-16T07:50:30,,,yes,
2700,1773672646,2026-03-16T07:50:46,,,no,
2701,1773672647,2026-03-16T07:50:47,,,yes,
2704,1773672648,2026-03-16T07:50:48,,,no,
2705,1773672650,2026-03-16T07:50:50,,,no,
2706,1773672650,2026-03-16T07:50:50,,,no,
2707,1773672652,2026-03-16T07:50:52,,,no,
2708,1773672652,2026-03-16T07:50:52,,,no,
2709,1773672658,2026-03-16T07:50:58,,,yes,
2726,1773672695,2026-03-16T07:51:35,,,no,
2727,1773672695,2026-03-16T07:51:35,,,no,
2728,1773672695,2026-03-16T07:51:35,,,no,
2729,1773672695,2026-03-16T07:51:35,,,no,
2732,1773672697,2026-03-16T07:51:37,,,no,
2733,1773672697,2026-03-16T07:51:37,,,no,
2746,1773672706,2026-03-16T07:51:46,,,yes,
2771,1773672752,2026-03-16T07:52:32,,,yes,
2797,1773672819,2026-03-16T07:53:39,,,no,
2839,1773672886,2026-03-16T07:54:46,,,yes,
2862,1773672913,2026-03-16T07:55:13,,,yes,
2890,1773672977,2026-03-16T07:56:17,,,yes,
2891,1773672980,2026-03-16T07:56:20,,,yes,
2897,1773672988,2026-03-16T07:56:28,,,yes,
2939,1773673046,2026-03-16T07:57:26,,,yes,
2949,1773673055,2026-03-16T07:57:35,,,yes,
2990,1773673111,2026-03-16T07:58:31,,,yes,
3015,1773673164,2026-03-16T07:59:24,,,yes,
3070,1773673302,2026-03-16T08:01:42,,,yes,
3097,1773673337,2026-03-16T08:02:17,,,no,
3099,1773673348,2026-03-16T08:02:28,,,yes,
3103,1773673359,2026-03-16T08:02:39,,,yes,
3123,1773673394,2026-03-16T08:03:14,,,yes,
3141,1773673427,2026-03-16T08:03:47,,,yes,
3142,1773673427,2026-03-16T08:03:47,,,yes,
3147,1773673430,2026-03-16T08:03:50,,,yes,
3163,1773673448,2026-03-16T08:04:08,,,yes,
3176,1773673462,2026-03-16T08:04:22,,,no,
3177,1773673462,2026-03-16T08:04:22,,,no,
3235,1773673523,2026-03-16T08:05:23,,,yes,
3264,1773673556,2026-03-16T08:05:56,,,yes,
3274,1773673567,2026-03-16T08:06:07,,,yes,
3286,1773673586,2026-03-16T08:06:26,,,yes,
3376,1773673715,2026-03-16T08:08:35,,,yes,
3398,1773673753,2026-03-16T08:09:13,,,yes,
3452,1773673849,2026-03-16T08:10:49,,,yes,
3461,1773673874,2026-03-16T08:11:14,,,yes,
3496,1773673925,2026-03-16T08:12:05,,,yes,
3663,1773674212,2026-03-16T08:16:52,,,yes,
3671,1773674225,2026-03-16T08:17:05,,,yes,
3697,1773674268,2026-03-16T08:17:48,,,yes,
3804,1773674431,2026-03-16T08:20:31,,,yes,
3813,1773674451,2026-03-16T08:20:51,,,no,
3814,1773674451,2026-03-16T08:20:51,,,no,
3815,1773674451,2026-03-16T08:20:51,,,no,
3850,1773674514,2026-03-16T08:21:54,,,yes,
3881,1773674555,2026-03-16T08:22:35,,,yes,
3901,1773674602,2026-03-16T08:23:22,,,yes,
3932,1773674671,2026-03-16T08:24:31,,,yes,
3999,1773674779,2026-03-16T08:26:19,,,yes,
4014,1773674799,2026-03-16T08:26:39,,,yes,
4023,1773674808,2026-03-16T08:26:48,,,yes,
4087,1773674924,2026-03-16T08:28:44,,,yes,
4089,1773674928,2026-03-16T08:28:48,,,yes,
4137,1773675018,2026-03-16T08:30:18,,,yes,
4215,1773675158,2026-03-16T08:32:38,,,yes,
4216,1773675158,2026-03-16T08:32:38,,,yes,
4249,1773675209,2026-03-16T08:33:29,,,yes,
4309,1773675291,2026-03-16T08:34:51,,,yes,
