Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
58,1773839186,2026-03-18T06:06:26,,,yes,
110,1773839255,2026-03-18T06:07:35,,,yes,
159,1773839334,2026-03-18T06:08:54,,,no,
293,1773839496,2026-03-18T06:11:36,,,yes,
321,1773839526,2026-03-18T06:12:06,,,yes,
551,1773839755,2026-03-18T06:15:55,,,yes,
570,1773839773,2026-03-18T06:16:13,,,yes,
750,1773839936,2026-03-18T06:18:56,,,yes,
803,1773839996,2026-03-18T06:19:56,,,yes,
820,1773840020,2026-03-18T06:20:20,,,yes,
924,1773840128,2026-03-18T06:22:08,,,yes,
1081,1773840287,2026-03-18T06:24:47,,,yes,
1116,1773840339,2026-03-18T06:25:39,,,yes,
1240,1773840468,2026-03-18T06:27:48,,,yes,
1372,1773840609,2026-03-18T06:30:09,,,yes,
1399,1773840648,2026-03-18T06:30:48,,,yes,
1434,1773840687,2026-03-18T06:31:27,,,yes,
1523,1773840787,2026-03-18T06:33:07,,,yes,
1557,1773840836,2026-03-18T06:33:56,,,no,
1717,1773840980,2026-03-18T06:36:20,,,yes,
2091,1773841298,2026-03-18T06:41:38,,,yes,
2135,1773841333,2026-03-18T06:42:13,,,yes,
2193,1773841391,2026-03-18T06:43:11,,,yes,
2195,1773841393,2026-03-18T06:43:13,,,yes,
2206,1773841404,2026-03-18T06:43:24,,,yes,
2339,1773841535,2026-03-18T06:45:35,,,yes,
2350,1773841547,2026-03-18T06:45:47,,,yes,
2501,1773841709,2026-03-18T06:48:29,,,yes,
2569,1773841760,2026-03-18T06:49:20,,,yes,
2571,1773841760,2026-03-18T06:49:20,,,yes,
2686,1773841830,2026-03-18T06:50:30,,,yes,
2698,1773841848,2026-03-18T06:50:48,,,yes,
2739,1773841874,2026-03-18T06:51:14,,,yes,
2760,1773841893,2026-03-18T06:51:33,,,yes,
2807,1773841937,2026-03-18T06:52:17,,,yes,
2842,1773841965,2026-03-18T06:52:45,,,yes,
2890,1773842009,2026-03-18T06:53:29,,,yes,
2951,1773842062,2026-03-18T06:54:22,,,yes,
2982,1773842095,2026-03-18T06:54:55,,,yes,
3006,1773842116,2026-03-18T06:55:16,,,yes,
3085,1773842186,2026-03-18T06:56:26,,,yes,
3171,1773842264,2026-03-18T06:57:44,,,yes,
3205,1773842301,2026-03-18T06:58:21,,,yes,
3265,1773842359,2026-03-18T06:59:19,,,yes,
3318,1773842403,2026-03-18T07:00:03,,,yes,
3320,1773842405,2026-03-18T07:00:05,,,yes,
3660,1773842663,2026-03-18T07:04:23,,,yes,
3836,1773842779,2026-03-18T07:06:19,,,yes,
3852,1773842790,2026-03-18T07:06:30,,,yes,
3866,1773842801,2026-03-18T07:06:41,,,yes,
3928,1773842852,2026-03-18T07:07:32,,,yes,
4061,1773842972,2026-03-18T07:09:32,,,yes,
4167,1773843063,2026-03-18T07:11:03,,,yes,
4170,1773843063,2026-03-18T07:11:03,,,yes,
4226,1773843112,2026-03-18T07:11:52,,,yes,
4248,1773843132,2026-03-18T07:12:12,,,yes,
4253,1773843138,2026-03-18T07:12:18,,,yes,
4411,1773843247,2026-03-18T07:14:07,,,yes,
4453,1773843273,2026-03-18T07:14:33,,,yes,
4504,1773843303,2026-03-18T07:15:03,,,yes,
4565,1773843347,2026-03-18T07:15:47,,,yes,
4585,1773843367,2026-03-18T07:16:07,,,yes,
4676,1773843436,2026-03-18T07:17:16,,,yes,
4716,1773843468,2026-03-18T07:17:48,,,yes,
4723,1773843475,2026-03-18T07:17:55,,,yes,
4730,1773843483,2026-03-18T07:18:03,,,yes,
4903,1773843652,2026-03-18T07:20:52,,,yes,
4932,1773843681,2026-03-18T07:21:21,,,yes,
4997,1773843736,2026-03-18T07:22:16,,,yes,
5026,1773843766,2026-03-18T07:22:46,,,yes,
5150,1773843873,2026-03-18T07:24:33,,,yes,
5215,1773843914,2026-03-18T07:25:14,,,yes,
5393,1773844050,2026-03-18T07:27:30,,,yes,
5432,1773844089,2026-03-18T07:28:09,,,yes,
5434,1773844089,2026-03-18T07:28:09,,,yes,
5501,1773844151,2026-03-18T07:29:11,,,yes,
5537,1773844184,2026-03-18T07:29:44,,,yes,
5548,1773844189,2026-03-18T07:29:49,,,yes,
5791,1773844369,2026-03-18T07:32:49,,,yes,
5857,1773844407,2026-03-18T07:33:27,,,yes,
5934,1773844480,2026-03-18T07:34:40,,,yes,
6032,1773844552,2026-03-18T07:35:52,,,yes,
6074,1773844590,2026-03-18T07:36:30,,,yes,
6107,1773844612,2026-03-18T07:36:52,,,yes,
6157,1773844648,2026-03-18T07:37:28,,,yes,
6350,1773844780,2026-03-18T07:39:40,,,no,
6419,1773844839,2026-03-18T07:40:39,,,yes,
6678,1773845026,2026-03-18T07:43:46,,,yes,
6733,1773845059,2026-03-18T07:44:19,,,yes,
6809,1773845106,2026-03-18T07:45:06,,,yes,
7058,1773845271,2026-03-18T07:47:51,,,yes,
7082,1773845286,2026-03-18T07:48:06,,,yes,
7112,1773845312,2026-03-18T07:48:32,,,yes,
7139,1773845338,2026-03-18T07:48:58,,,yes,
7154,1773845355,2026-03-18T07:49:15,,,yes,
7155,1773845356,2026-03-18T07:49:16,,,yes,
7209,1773845402,2026-03-18T07:50:02,,,yes,
7257,1773845446,2026-03-18T07:50:46,,,yes,
7344,1773845499,2026-03-18T07:51:39,,,yes,
7362,1773845512,2026-03-18T07:51:52,,,no,
7368,1773845517,2026-03-18T07:51:57,,,yes,
7376,1773845522,2026-03-18T07:52:02,,,yes,
7476,1773845584,2026-03-18T07:53:04,,,yes,
7707,1773845740,2026-03-18T07:55:40,,,yes,
7712,1773845743,2026-03-18T07:55:43,,,yes,
7867,1773845851,2026-03-18T07:57:31,,,yes,
7948,1773845900,2026-03-18T07:58:20,,,yes,
7950,1773845903,2026-03-18T07:58:23,,,yes,
8244,1773846105,2026-03-18T08:01:45,,,yes,
8261,1773846117,2026-03-18T08:01:57,,,yes,
8315,1773846159,2026-03-18T08:02:39,,,yes,
8477,1773846274,2026-03-18T08:04:34,,,yes,
8514,1773846298,2026-03-18T08:04:58,,,yes,
8667,1773846411,2026-03-18T08:06:51,,,yes,
8853,1773846553,2026-03-18T08:09:13,,,yes,
8913,1773846594,2026-03-18T08:09:54,,,yes,
8954,1773846625,2026-03-18T08:10:25,,,yes,
9021,1773846673,2026-03-18T08:11:13,,,yes,
9036,1773846680,2026-03-18T08:11:20,,,yes,
9060,1773846711,2026-03-18T08:11:51,,,yes,
9067,1773846717,2026-03-18T08:11:57,,,yes,
9112,1773846743,2026-03-18T08:12:23,,,yes,
