Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
161,1774271395,2026-03-23T06:09:55,,,yes,
231,1774271511,2026-03-23T06:11:51,,,yes,
237,1774271521,2026-03-23T06:12:01,,,yes,
286,1774271589,2026-03-23T06:13:09,,,yes,
319,1774271639,2026-03-23T06:13:59,,,yes,
441,1774271823,2026-03-23T06:17:03,,,yes,
450,1774271831,2026-03-23T06:17:11,,,yes,
477,1774271875,2026-03-23T06:17:55,,,yes,
554,1774271982,2026-03-23T06:19:42,,,yes,
562,1774271992,2026-03-23T06:19:52,,,yes,
596,1774272057,2026-03-23T06:20:57,,,yes,
618,1774272109,2026-03-23T06:21:49,,,yes,
669,1774272195,2026-03-23T06:23:15,,,yes,
706,1774272257,2026-03-23T06:24:17,,,yes,
748,1774272322,2026-03-23T06:25:22,,,yes,
750,1774272323,2026-03-23T06:25:23,,,yes,
767,1774272346,2026-03-23T06:25:46,,,yes,
862,1774272480,2026-03-23T06:28:00,,,yes,
886,1774272499,2026-03-23T06:28:19,,,yes,
914,1774272524,2026-03-23T06:28:44,,,yes,
1017,1774272656,2026-03-23T06:30:56,,,yes,
1060,1774272735,2026-03-23T06:32:15,,,yes,
1065,1774272745,2026-03-23T06:32:25,,,no,
1066,1774272745,2026-03-23T06:32:25,,,no,
1116,1774272850,2026-03-23T06:34:10,,,yes,
1214,1774273024,2026-03-23T06:37:04,,,yes,
1218,1774273027,2026-03-23T06:37:07,,,yes,
1236,1774273039,2026-03-23T06:37:19,,,no,
1255,1774273076,2026-03-23T06:37:56,,,yes,
1293,1774273135,2026-03-23T06:38:55,,,yes,
1300,1774273145,2026-03-23T06:39:05,,,yes,
1307,1774273162,2026-03-23T06:39:22,,,yes,
1335,1774273208,2026-03-23T06:40:08,,,yes,
1390,1774273280,2026-03-23T06:41:20,,,yes,
1412,1774273333,2026-03-23T06:42:13,,,yes,
1435,1774273367,2026-03-23T06:42:47,,,yes,
1469,1774273447,2026-03-23T06:44:07,,,yes,
1482,1774273464,2026-03-23T06:44:24,,,yes,
