Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
17,1774891484,2026-03-30T10:24:44,54,46,yes,30
32,1774891503,2026-03-30T10:25:03,54,46,yes,17
34,1774891504,2026-03-30T10:25:04,54,46,yes,4
46,1774891523,2026-03-30T10:25:23,54,46,yes,21
47,1774891523,2026-03-30T10:25:23,55,45,yes,23
57,1774891535,2026-03-30T10:25:35,55,45,yes,236
66,1774891546,2026-03-30T10:25:46,55,45,yes,206
67,1774891546,2026-03-30T10:25:46,55,45,yes,100
70,1774891552,2026-03-30T10:25:52,55,45,yes,273
94,1774891588,2026-03-30T10:26:28,55,45,yes,34
101,1774891600,2026-03-30T10:26:40,55,45,yes,17
102,1774891603,2026-03-30T10:26:43,55,45,yes,105
105,1774891605,2026-03-30T10:26:45,55,45,yes,10
112,1774891626,2026-03-30T10:27:06,55,45,yes,45
120,1774891653,2026-03-30T10:27:33,55,45,yes,25
127,1774891671,2026-03-30T10:27:51,55,45,yes,123
137,1774891697,2026-03-30T10:28:17,55,45,yes,88
140,1774891700,2026-03-30T10:28:20,55,45,yes,40
144,1774891712,2026-03-30T10:28:32,55,45,yes,17
179,1774891785,2026-03-30T10:29:45,55,45,yes,1
243,1774891913,2026-03-30T10:31:53,55,45,yes,52
246,1774891918,2026-03-30T10:31:58,55,45,yes,5
258,1774891937,2026-03-30T10:32:17,55,45,yes,17
275,1774891970,2026-03-30T10:32:50,55,45,yes,8
276,1774891971,2026-03-30T10:32:51,55,45,yes,60
281,1774891985,2026-03-30T10:33:05,55,45,yes,17
288,1774891989,2026-03-30T10:33:09,55,45,yes,17
299,1774892013,2026-03-30T10:33:33,55,45,yes,3
301,1774892016,2026-03-30T10:33:36,55,45,yes,176
304,1774892016,2026-03-30T10:33:36,55,45,yes,26
306,1774892018,2026-03-30T10:33:38,55,45,yes,17
332,1774892081,2026-03-30T10:34:41,55,45,yes,131
388,1774892166,2026-03-30T10:36:06,55,45,yes,14
391,1774892170,2026-03-30T10:36:10,55,45,yes,26
397,1774892188,2026-03-30T10:36:28,55,45,yes,172
404,1774892202,2026-03-30T10:36:42,55,45,yes,10
406,1774892203,2026-03-30T10:36:43,55,45,yes,17
407,1774892205,2026-03-30T10:36:45,55,45,yes,122
430,1774892256,2026-03-30T10:37:36,55,45,yes,4385
431,1774892258,2026-03-30T10:37:38,55,45,yes,17
435,1774892267,2026-03-30T10:37:47,55,45,yes,8
437,1774892270,2026-03-30T10:37:50,55,45,yes,35
440,1774892272,2026-03-30T10:37:52,55,45,yes,157
443,1774892287,2026-03-30T10:38:07,55,45,yes,211
444,1774892288,2026-03-30T10:38:08,55,45,yes,7579
459,1774892306,2026-03-30T10:38:26,54,46,no,48
460,1774892306,2026-03-30T10:38:26,54,46,no,163
461,1774892306,2026-03-30T10:38:26,54,46,no,25
