Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
13,1774891478,2026-03-30T10:24:38,8,92,yes,10
55,1774891534,2026-03-30T10:25:34,8,92,yes,12
64,1774891543,2026-03-30T10:25:43,8,92,yes,800
95,1774891590,2026-03-30T10:26:30,8,92,yes,11
124,1774891665,2026-03-30T10:27:45,8,92,yes,20
177,1774891775,2026-03-30T10:29:35,8,92,yes,45
249,1774891922,2026-03-30T10:32:02,8,92,yes,35
317,1774892036,2026-03-30T10:33:56,8,92,yes,1
334,1774892086,2026-03-30T10:34:46,8,92,yes,82
343,1774892099,2026-03-30T10:34:59,8,92,yes,45
369,1774892145,2026-03-30T10:35:45,8,92,yes,14
410,1774892211,2026-03-30T10:36:51,8,92,yes,52
421,1774892240,2026-03-30T10:37:20,8,92,yes,250
503,1774892388,2026-03-30T10:39:48,8,92,yes,58
515,1774892426,2026-03-30T10:40:26,8,92,yes,50
570,1774892514,2026-03-30T10:41:54,8,92,yes,10
587,1774892531,2026-03-30T10:42:11,8,92,yes,100
614,1774892565,2026-03-30T10:42:45,8,92,yes,50
625,1774892584,2026-03-30T10:43:04,8,92,yes,11
629,1774892588,2026-03-30T10:43:08,7,93,no,14
641,1774892602,2026-03-30T10:43:22,8,92,yes,117
651,1774892620,2026-03-30T10:43:40,8,92,yes,117
664,1774892650,2026-03-30T10:44:10,8,92,yes,293
775,1774892820,2026-03-30T10:47:00,8,92,yes,100
808,1774892870,2026-03-30T10:47:50,8,92,yes,2
832,1774892902,2026-03-30T10:48:22,8,92,yes,50
862,1774892953,2026-03-30T10:49:13,8,92,yes,11
886,1774893001,2026-03-30T10:50:01,8,92,yes,23
898,1774893020,2026-03-30T10:50:20,8,92,yes,50
1049,1774893290,2026-03-30T10:54:50,8,92,yes,11
1120,1774893463,2026-03-30T10:57:43,8,92,yes,55
1280,1774893746,2026-03-30T11:02:26,8,92,yes,90
1334,1774893867,2026-03-30T11:04:27,8,92,yes,10
1355,1774893894,2026-03-30T11:04:54,8,92,yes,68
1357,1774893895,2026-03-30T11:04:55,8,92,yes,58
1380,1774893934,2026-03-30T11:05:34,8,92,yes,293
1443,1774894029,2026-03-30T11:07:09,8,92,yes,90
1594,1774894323,2026-03-30T11:12:03,8,92,yes,6
1618,1774894390,2026-03-30T11:13:10,8,92,yes,19
1621,1774894397,2026-03-30T11:13:17,8,92,yes,250
1644,1774894437,2026-03-30T11:13:57,8,92,yes,117
1729,1774894560,2026-03-30T11:16:00,8,92,yes,117
1820,1774894715,2026-03-30T11:18:35,8,92,yes,100
1990,1774895013,2026-03-30T11:23:33,8,92,yes,117
2072,1774895194,2026-03-30T11:26:34,8,92,yes,50
2076,1774895207,2026-03-30T11:26:47,8,92,yes,23
2226,1774895467,2026-03-30T11:31:07,8,92,yes,58
2255,1774895508,2026-03-30T11:31:48,8,92,yes,150
2277,1774895537,2026-03-30T11:32:17,8,92,yes,10
2346,1774895663,2026-03-30T11:34:23,8,92,yes,9
2489,1774895956,2026-03-30T11:39:16,8,92,yes,35
2497,1774895979,2026-03-30T11:39:39,8,92,yes,1
2521,1774896019,2026-03-30T11:40:19,8,92,yes,11
2588,1774896123,2026-03-30T11:42:03,8,92,yes,30
2615,1774896156,2026-03-30T11:42:36,8,92,yes,10
2628,1774896169,2026-03-30T11:42:49,8,92,yes,10
2733,1774896351,2026-03-30T11:45:51,8,92,yes,10
2739,1774896356,2026-03-30T11:45:56,8,92,yes,11
2817,1774896454,2026-03-30T11:47:34,8,92,yes,11
2842,1774896490,2026-03-30T11:48:10,8,92,yes,25
2938,1774896626,2026-03-30T11:50:26,8,92,yes,1000
2980,1774896697,2026-03-30T11:51:37,8,92,yes,83
3023,1774896769,2026-03-30T11:52:49,8,92,yes,1
3045,1774896797,2026-03-30T11:53:17,8,92,yes,5000
3074,1774896831,2026-03-30T11:53:51,8,92,yes,5000
3075,1774896834,2026-03-30T11:53:54,8,92,yes,100
3079,1774896838,2026-03-30T11:53:58,8,92,yes,100
3284,1774897112,2026-03-30T11:58:32,8,92,yes,90
3503,1774897477,2026-03-30T12:04:37,8,92,yes,5000
3701,1774897812,2026-03-30T12:10:12,8,92,yes,1
3723,1774897853,2026-03-30T12:10:53,8,92,yes,250
3734,1774897873,2026-03-30T12:11:13,8,92,yes,100
3735,1774897876,2026-03-30T12:11:16,8,92,yes,300
3825,1774898004,2026-03-30T12:13:24,8,92,yes,100
3828,1774898008,2026-03-30T12:13:28,8,92,yes,36
3842,1774898024,2026-03-30T12:13:44,8,92,yes,50
3853,1774898044,2026-03-30T12:14:04,8,92,yes,58
3858,1774898051,2026-03-30T12:14:11,8,92,yes,23
3881,1774898101,2026-03-30T12:15:01,8,92,yes,150
3974,1774898263,2026-03-30T12:17:43,8,92,yes,35
4018,1774898323,2026-03-30T12:18:43,8,92,yes,1
4029,1774898341,2026-03-30T12:19:01,8,92,yes,10
4156,1774898544,2026-03-30T12:22:24,8,92,yes,1
4195,1774898582,2026-03-30T12:23:02,8,92,yes,70
4213,1774898605,2026-03-30T12:23:25,8,92,yes,181
4224,1774898618,2026-03-30T12:23:38,8,92,yes,563
4241,1774898644,2026-03-30T12:24:04,8,92,yes,100
4270,1774898679,2026-03-30T12:24:39,8,92,yes,60
4310,1774898731,2026-03-30T12:25:31,8,92,yes,58
4311,1774898738,2026-03-30T12:25:38,8,92,yes,58
4325,1774898766,2026-03-30T12:26:06,8,92,yes,139
4361,1774898812,2026-03-30T12:26:52,8,92,yes,50
4465,1774898950,2026-03-30T12:29:10,8,92,yes,4
4481,1774898972,2026-03-30T12:29:32,8,92,yes,58
4521,1774899029,2026-03-30T12:30:29,8,92,yes,1
4544,1774899075,2026-03-30T12:31:15,8,92,yes,100
4578,1774899144,2026-03-30T12:32:24,8,92,yes,181
4582,1774899146,2026-03-30T12:32:26,8,92,yes,100
4605,1774899178,2026-03-30T12:32:58,8,92,yes,18
4648,1774899230,2026-03-30T12:33:50,8,92,yes,20
4662,1774899248,2026-03-30T12:34:08,8,92,yes,5
4776,1774899434,2026-03-30T12:37:14,8,92,yes,20
4782,1774899444,2026-03-30T12:37:24,8,92,yes,184
4847,1774899549,2026-03-30T12:39:09,8,92,yes,499
4930,1774899704,2026-03-30T12:41:44,8,92,yes,100
4938,1774899714,2026-03-30T12:41:54,8,92,yes,50
5013,1774899830,2026-03-30T12:43:50,8,92,yes,250
5023,1774899844,2026-03-30T12:44:04,8,92,yes,20
5027,1774899849,2026-03-30T12:44:09,8,92,yes,11
5057,1774899894,2026-03-30T12:44:54,8,92,yes,56
5061,1774899901,2026-03-30T12:45:01,8,92,yes,35
5177,1774900080,2026-03-30T12:48:00,8,92,yes,58
5204,1774900136,2026-03-30T12:48:56,8,92,yes,23
5257,1774900222,2026-03-30T12:50:22,8,92,yes,100
5284,1774900273,2026-03-30T12:51:13,8,92,yes,10
5306,1774900292,2026-03-30T12:51:32,8,92,yes,234
5314,1774900303,2026-03-30T12:51:43,8,92,yes,50
5321,1774900319,2026-03-30T12:51:59,8,92,yes,21
5322,1774900322,2026-03-30T12:52:02,8,92,yes,14
5337,1774900356,2026-03-30T12:52:36,8,92,yes,50
5345,1774900371,2026-03-30T12:52:51,8,92,yes,20
5482,1774900540,2026-03-30T12:55:40,8,92,yes,18
5526,1774900592,2026-03-30T12:56:32,8,92,yes,272
5565,1774900654,2026-03-30T12:57:34,8,92,yes,58
5571,1774900657,2026-03-30T12:57:37,8,92,yes,23
5582,1774900679,2026-03-30T12:57:59,8,92,yes,105
5604,1774900705,2026-03-30T12:58:25,8,92,yes,100
5614,1774900715,2026-03-30T12:58:35,8,92,yes,9
5622,1774900728,2026-03-30T12:58:48,8,92,yes,100
5626,1774900734,2026-03-30T12:58:54,8,92,yes,60
5636,1774900745,2026-03-30T12:59:05,8,92,yes,50
5802,1774901006,2026-03-30T13:03:26,8,92,yes,117
5885,1774901108,2026-03-30T13:05:08,8,92,yes,18
5889,1774901113,2026-03-30T13:05:13,8,92,yes,10
5893,1774901120,2026-03-30T13:05:20,8,92,yes,5
5900,1774901131,2026-03-30T13:05:31,8,92,yes,2500
5914,1774901144,2026-03-30T13:05:44,8,92,yes,9
5933,1774901169,2026-03-30T13:06:09,8,92,yes,23
5952,1774901185,2026-03-30T13:06:25,8,92,yes,50
5996,1774901243,2026-03-30T13:07:23,8,92,yes,10
6070,1774901322,2026-03-30T13:08:42,8,92,yes,58
6096,1774901356,2026-03-30T13:09:16,8,92,yes,100
6108,1774901370,2026-03-30T13:09:30,8,92,yes,57
6242,1774901559,2026-03-30T13:12:39,8,92,yes,100
6252,1774901579,2026-03-30T13:12:59,8,92,yes,58
6388,1774901747,2026-03-30T13:15:47,8,92,yes,90
6408,1774901776,2026-03-30T13:16:16,8,92,yes,58
6588,1774902021,2026-03-30T13:20:21,8,92,yes,23
6616,1774902065,2026-03-30T13:21:05,8,92,yes,70
6653,1774902120,2026-03-30T13:22:00,8,92,yes,11
6674,1774902140,2026-03-30T13:22:20,8,92,yes,293
6764,1774902271,2026-03-30T13:24:31,8,92,yes,20
6771,1774902283,2026-03-30T13:24:43,8,92,yes,117
6806,1774902336,2026-03-30T13:25:36,8,92,yes,293
6813,1774902344,2026-03-30T13:25:44,8,92,yes,500
6830,1774902367,2026-03-30T13:26:07,8,92,yes,587
6867,1774902414,2026-03-30T13:26:54,8,92,yes,10
6968,1774902542,2026-03-30T13:29:02,8,92,yes,117
7011,1774902600,2026-03-30T13:30:00,8,92,yes,10
7072,1774902675,2026-03-30T13:31:15,8,92,yes,176
7153,1774902782,2026-03-30T13:33:02,8,92,yes,10
7184,1774902826,2026-03-30T13:33:46,8,92,yes,100
7248,1774902902,2026-03-30T13:35:02,8,92,yes,44
7316,1774902975,2026-03-30T13:36:15,8,92,yes,30
7412,1774903111,2026-03-30T13:38:31,8,92,yes,5
7433,1774903144,2026-03-30T13:39:04,8,92,yes,20
7453,1774903169,2026-03-30T13:39:29,8,92,yes,11
7473,1774903191,2026-03-30T13:39:51,8,92,yes,5
7521,1774903232,2026-03-30T13:40:32,8,92,yes,1
7525,1774903236,2026-03-30T13:40:36,8,92,yes,10
7573,1774903298,2026-03-30T13:41:38,8,92,yes,20
7651,1774903393,2026-03-30T13:43:13,8,92,yes,140
7660,1774903405,2026-03-30T13:43:25,8,92,yes,10
7744,1774903498,2026-03-30T13:44:58,8,92,yes,100
7757,1774903512,2026-03-30T13:45:12,8,92,yes,176
7792,1774903551,2026-03-30T13:45:51,8,92,yes,105
7803,1774903560,2026-03-30T13:46:00,8,92,yes,117
7833,1774903596,2026-03-30T13:46:36,8,92,yes,587
7896,1774903657,2026-03-30T13:47:37,8,92,yes,50000
7920,1774903676,2026-03-30T13:47:56,8,92,yes,24
7931,1774903684,2026-03-30T13:48:04,8,92,yes,100
7937,1774903696,2026-03-30T13:48:16,8,92,yes,58
7999,1774903762,2026-03-30T13:49:22,8,92,yes,40
8031,1774903794,2026-03-30T13:49:54,8,92,yes,30
8150,1774903925,2026-03-30T13:52:05,8,92,yes,58
8226,1774904008,2026-03-30T13:53:28,8,92,yes,117
8253,1774904037,2026-03-30T13:53:57,8,92,yes,258
8350,1774904134,2026-03-30T13:55:34,8,92,yes,67
8363,1774904149,2026-03-30T13:55:49,8,92,yes,10
8402,1774904193,2026-03-30T13:56:33,8,92,yes,45
8435,1774904238,2026-03-30T13:57:18,8,92,yes,1174
8452,1774904261,2026-03-30T13:57:41,8,92,yes,504
8541,1774904370,2026-03-30T13:59:30,8,92,yes,90
8549,1774904382,2026-03-30T13:59:42,8,92,yes,35
8588,1774904434,2026-03-30T14:00:34,8,92,yes,2348
8605,1774904446,2026-03-30T14:00:46,8,92,yes,74
8681,1774904512,2026-03-30T14:01:52,8,92,yes,89
8694,1774904523,2026-03-30T14:02:03,8,92,yes,7
8712,1774904544,2026-03-30T14:02:24,8,92,yes,100
8722,1774904551,2026-03-30T14:02:31,8,92,yes,117
8742,1774904575,2026-03-30T14:02:55,8,92,yes,23
8755,1774904586,2026-03-30T14:03:06,8,92,yes,11
8759,1774904592,2026-03-30T14:03:12,8,92,yes,23
8825,1774904654,2026-03-30T14:04:14,8,92,yes,211
8832,1774904659,2026-03-30T14:04:19,8,92,yes,50
8833,1774904660,2026-03-30T14:04:20,8,92,yes,40
8869,1774904699,2026-03-30T14:04:59,8,92,yes,1
9008,1774904806,2026-03-30T14:06:46,8,92,yes,11
9055,1774904850,2026-03-30T14:07:30,8,92,yes,11
9116,1774904919,2026-03-30T14:08:39,8,92,yes,50
9232,1774905043,2026-03-30T14:10:43,8,92,yes,11
9267,1774905076,2026-03-30T14:11:16,8,92,yes,50
9349,1774905149,2026-03-30T14:12:29,8,92,yes,23
9365,1774905173,2026-03-30T14:12:53,7,93,no,100
9376,1774905188,2026-03-30T14:13:08,8,92,yes,11
9440,1774905270,2026-03-30T14:14:30,8,92,yes,170
9462,1774905292,2026-03-30T14:14:52,8,92,yes,50
9533,1774905365,2026-03-30T14:16:05,7,93,no,46
9557,1774905390,2026-03-30T14:16:30,8,92,yes,50
9665,1774905506,2026-03-30T14:18:26,8,92,yes,58
9858,1774905690,2026-03-30T14:21:30,8,92,yes,11
9864,1774905692,2026-03-30T14:21:32,8,92,yes,1
9909,1774905733,2026-03-30T14:22:13,8,92,yes,30
9957,1774905776,2026-03-30T14:22:56,8,92,yes,10
9992,1774905814,2026-03-30T14:23:34,8,92,yes,117
