ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1773520173,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1773520174,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1773520175,98,97,98,24758,99,836640,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5210,96,7814,95,13,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861398,62594
1773520176,98,97,98,24758,99,836640,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5210,96,7814,95,13,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861398,62594
1773520177,98,97,98,24758,99,836640,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5210,96,7814,95,13,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861398,62594
1773520178,98,97,98,24758,99,836640,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5210,96,7814,95,13,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861398,62594
1773520179,98,97,98,24758,99,836490,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,163,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861248,62743
1773520180,98,97,98,24757,99,836490,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,163,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861247,62743
1773520181,98,97,98,24907,99,836490,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,163,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861397,62743
1773520182,98,97,98,24907,99,836490,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,163,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861397,62743
1773520183,98,97,98,24907,99,836490,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,163,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861397,62743
1773520184,98,97,98,24907,99,836490,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,163,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861397,62743
1773520185,98,97,98,24907,99,836490,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,163,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861397,62743
1773520186,98,97,98,24907,99,836490,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,163,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861397,62743
1773520187,98,97,98,24907,99,836490,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,163,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861397,62743
1773520188,98,97,98,24907,99,836490,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,163,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861397,62743
1773520189,98,97,98,24907,99,836490,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,163,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861397,62743
1773520190,98,97,98,24907,99,836490,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,163,94,310,93,1011,92,1416,91,5000,90,820,89,30000,88,11000,87,0,861397,62743
1773520191,98,97,98,24757,99,836490,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,13,94,310,93,1011,92,1416,91,5000,90,30820,89,10000,88,1000,87,0,861247,62593
1773520192,98,97,98,24757,99,536565,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5209,96,7814,95,13,94,938,93,383,92,1416,91,5000,90,30000,89,10000,88,1000,87,0,561322,61773
1773520193,98,97,98,22589,99,536771,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5167,96,7814,95,13,94,938,93,383,92,1416,91,5000,90,30000,89,10000,88,1000,87,0,559360,61731
1773520194,98,97,98,22589,99,536771,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5102,96,7814,95,13,94,938,93,383,92,1416,91,5000,90,30000,89,10000,88,1000,87,0,559360,61666
1773520195,98,97,98,22589,99,536771,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5302,96,7614,95,13,94,938,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559360,62483
1773520196,98,97,98,22589,99,536426,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5302,96,7614,95,13,94,628,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559015,62173
1773520197,98,97,98,22589,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5302,96,7614,95,13,94,628,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559435,62173
1773520198,98,97,98,22580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5302,96,7614,95,13,94,628,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559426,62173
1773520199,98,97,98,22580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5302,96,7614,95,13,94,628,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559426,62173
1773520200,98,97,98,24580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5102,96,7614,95,13,94,0,93,1007,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,561426,61969
1773520201,98,97,98,24580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5102,96,7614,95,13,94,0,93,1007,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,561426,61969
1773520202,98,97,98,24580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5102,96,7614,95,13,94,0,93,1007,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,561426,61969
1773520203,98,97,98,24580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5102,96,7614,95,13,94,0,93,1007,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,561426,61969
1773520204,98,97,98,24580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5102,96,7614,95,13,94,0,93,1007,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,561426,61969
1773520205,98,97,98,24580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5102,96,7614,95,13,94,0,93,1007,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,561426,61969
1773520206,98,97,98,24580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5102,96,7614,95,13,94,0,93,1007,92,1416,91,22717,90,30000,89,10000,88,1000,87,0,561426,78869
1773520207,98,97,98,24580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5102,96,7614,95,13,94,0,93,1007,92,1416,91,22717,90,30000,89,10000,88,1000,87,0,561426,78869
1773520208,98,97,98,22580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5102,96,7614,95,13,94,619,93,383,92,1416,91,22717,90,30000,89,10000,88,1000,87,0,559426,78864
1773520209,98,97,98,22580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5302,96,7614,95,13,94,619,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559426,62164
1773520210,98,97,98,22580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5302,96,7614,95,13,94,619,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559426,62164
1773520211,98,97,98,22580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5302,96,7614,95,13,94,619,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559426,62164
1773520212,98,97,98,22580,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5302,96,7614,95,13,94,619,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559426,62164
1773520213,98,97,98,25180,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5102,96,7614,95,13,94,0,93,1002,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,562026,61964
1773520214,98,97,98,25160,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5102,96,7614,95,13,94,0,93,1002,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,562006,61964
1773520215,98,97,98,22560,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5102,96,7614,95,13,94,618,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559406,61963
1773520216,98,97,98,22710,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5277,96,7764,95,13,94,618,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559556,62288
1773520217,98,97,98,22710,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5030,96,7764,95,13,94,618,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559556,62041
1773520218,98,97,98,22710,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5030,96,7764,95,13,94,618,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559556,62041
1773520219,98,97,98,22710,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5030,96,7764,95,13,94,618,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559556,62041
1773520220,98,97,98,22710,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,5030,96,7764,95,13,94,618,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559556,62041
1773520221,98,97,98,22710,99,536846,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,97,4998,96,7764,95,13,94,618,93,383,92,1416,91,5817,90,30000,89,10000,88,1000,87,0,559556,62009
ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1773521000,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1773521001,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1773521002,99,98,99,3009,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,109,0,98,8217,97,2921,96,1,95,4824,94,0,93,1009,92,5280,91,30782,90,10000,89,0,88,1006,3009,64040
1773521003,99,98,99,3009,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,109,0,98,8217,97,2921,96,1,95,4824,94,0,93,1009,92,5280,91,30782,90,10000,89,0,88,1006,3009,64040
1773521004,99,98,99,3009,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,109,0,98,8217,97,2921,96,1,95,4824,94,0,93,1009,92,5280,91,30782,90,10000,89,0,88,1006,3009,64040
1773521005,99,98,99,3009,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,109,0,98,8217,97,2921,96,1,95,4824,94,0,93,1009,92,5280,91,30782,90,10000,89,0,88,1006,3009,64040
1773521006,99,98,99,3009,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,109,0,98,8217,97,2921,96,1,95,4824,94,0,93,1009,92,5280,91,30782,90,10000,89,0,88,1006,3009,64040
1773521007,99,98,99,3009,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,109,0,98,8217,97,2921,96,1,95,4824,94,0,93,1009,92,5280,91,30782,90,10000,89,0,88,1006,3009,64040
1773521008,99,98,99,3009,100,0,101,0,102,0,103,0,104,0,105,0,106,0,107,0,108,0,109,0,98,8217,97,2921,96,1,95,4824,94,0,93,1009,92,5280,91,30782,90,10000,89,0,88,1006,3009,64040
1773521009,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,8217,97,2921,96,1,95,4824,94,1000,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,64040
1773521010,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,8217,97,2921,96,1,95,4824,94,1000,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,64040
1773521011,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,8217,97,2921,96,1,95,4824,94,1000,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,64040
1773521012,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,8217,97,2921,96,1,95,4824,94,1000,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,64040
1773521013,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,8217,97,2921,96,1,95,4824,94,1000,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,64040
1773521014,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,8217,97,2921,96,1,95,4824,94,1000,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,64040
1773521015,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,8217,97,2921,96,1,95,4824,94,1000,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,64040
1773521016,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,8217,97,2921,96,1,95,4824,94,1000,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,64040
1773521017,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,8217,97,2921,96,1,95,4824,94,1000,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,64040
1773521018,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,8217,97,2921,96,1,95,4824,94,1000,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,64040
1773521019,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,8217,97,1821,96,1,95,4824,94,1000,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,62940
1773521020,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,8217,97,1821,96,1,95,4824,94,1000,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,62940
1773521021,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,13217,97,5120,96,1,95,4824,94,0,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,70239
1773521022,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,13217,97,5120,96,1,95,4824,94,0,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,70239
1773521023,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,98,13217,97,5120,96,1,95,4824,94,0,93,9,92,5280,91,30782,90,10000,89,0,88,1006,0,70239
