ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1773851399,61,60,61,1848646,62,616669,63,98599,64,2024,65,2022,66,732,67,5800,68,900,69,1000,70,1102,71,1252,60,33364,59,67690,58,49094,57,33673,56,1456,55,825,54,5300,53,434,52,283,51,332,50,506,2578746,192957
1773851400,61,60,61,1848646,62,616669,63,98599,64,2024,65,2022,66,732,67,5800,68,900,69,1000,70,1102,71,1252,60,33364,59,67690,58,49094,57,33673,56,1456,55,825,54,5300,53,434,52,283,51,332,50,506,2578746,192957
1773851401,61,60,61,1848646,62,616669,63,98599,64,2024,65,2022,66,732,67,5800,68,900,69,1000,70,1102,71,1252,60,33364,59,67690,58,49094,57,33673,56,1456,55,825,54,5300,53,434,52,283,51,332,50,506,2578746,192957
1773851402,61,60,61,1848646,62,616669,63,98599,64,2024,65,2022,66,732,67,5800,68,900,69,1000,70,1102,71,1252,60,33364,59,67690,58,49094,57,33673,56,1456,55,825,54,5300,53,434,52,283,51,332,50,506,2578746,192957
1773851403,61,60,61,1848646,62,616669,63,98599,64,2024,65,2022,66,732,67,5800,68,900,69,1000,70,1102,71,1252,60,33364,59,67690,58,49094,57,33673,56,1456,55,825,54,5300,53,434,52,283,51,332,50,506,2578746,192957
1773851404,61,60,61,1848646,62,616669,63,98599,64,2024,65,2022,66,732,67,5800,68,900,69,1000,70,1102,71,1252,60,33364,59,67690,58,49094,57,33673,56,1456,55,825,54,5300,53,434,52,283,51,332,50,506,2578746,192957
1773851405,61,60,61,1848646,62,616669,63,98599,64,2024,65,2022,66,732,67,5800,68,900,69,1000,70,1102,71,1252,60,33364,59,67690,58,49094,57,33673,56,1456,55,825,54,5300,53,434,52,283,51,332,50,506,2578746,192957
1773851406,61,60,61,1848646,62,616669,63,98599,64,2024,65,2022,66,732,67,5800,68,900,69,1000,70,1102,71,1252,60,33364,59,67690,58,49094,57,33673,56,1456,55,825,54,5300,53,434,52,283,51,332,50,506,2578746,192957
1773851407,61,60,61,1848646,62,616669,63,98599,64,2024,65,2022,66,732,67,5800,68,900,69,1000,70,1102,71,1252,60,33364,59,67690,58,49094,57,33673,56,1456,55,825,54,5300,53,434,52,283,51,332,50,506,2578746,192957
1773851408,61,60,61,1848646,62,616669,63,98599,64,2024,65,2022,66,732,67,5800,68,900,69,1000,70,1102,71,1252,60,33364,59,67690,58,49094,57,33673,56,1456,55,825,54,5300,53,434,52,283,51,332,50,506,2578746,192957
1773851409,61,60,61,1848646,62,616659,63,98599,64,2024,65,2022,66,732,67,5800,68,900,69,1000,70,1102,71,1252,60,33364,59,67690,58,49094,57,33673,56,1456,55,825,54,5300,53,434,52,283,51,332,50,506,2578736,192957
