ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774024200,47,46,47,354060,48,650299,49,949293,50,126785,51,2310,52,0,53,5000,54,0,55,5010,56,1,57,0,46,184560,45,585040,44,379507,43,23049,42,30,41,0,40,5010,39,0,38,0,37,1,36,0,2092758,1177197
1774024201,47,46,47,354060,48,650299,49,949293,50,126785,51,2310,52,0,53,5000,54,0,55,5010,56,1,57,0,46,184560,45,585040,44,379507,43,23049,42,30,41,0,40,5010,39,0,38,0,37,1,36,0,2092758,1177197
1774024202,47,46,47,354060,48,649099,49,944699,50,126785,51,2310,52,0,53,5000,54,0,55,5010,56,1,57,0,46,184560,45,585040,44,379507,43,23049,42,30,41,0,40,5010,39,0,38,0,37,1,36,0,2086964,1177197
1774024203,47,46,47,354060,48,649099,49,947193,50,126785,51,2310,52,0,53,5000,54,0,55,5010,56,1,57,0,46,184560,45,585040,44,379507,43,23049,42,30,41,0,40,5010,39,0,38,0,37,1,36,0,2089458,1177197
1774024204,47,46,47,354060,48,650299,49,949293,50,126785,51,2310,52,0,53,5000,54,0,55,5010,56,1,57,0,46,184560,45,585040,44,379507,43,23049,42,30,41,0,40,5010,39,0,38,0,37,1,36,0,2092758,1177197
1774024205,47,46,47,354060,48,650299,49,949293,50,126785,51,2310,52,0,53,5000,54,0,55,5010,56,1,57,0,46,184560,45,585040,44,379507,43,23049,42,30,41,0,40,5010,39,0,38,0,37,1,36,0,2092758,1177197
1774024206,47,46,47,354060,48,650299,49,949293,50,126785,51,2310,52,0,53,5000,54,0,55,5010,56,1,57,0,46,184560,45,585040,44,379507,43,23049,42,30,41,0,40,5010,39,0,38,0,37,1,36,0,2092758,1177197
1774024207,47,46,47,354060,48,650299,49,949293,50,126785,51,2310,52,0,53,5000,54,0,55,5010,56,1,57,0,46,184560,45,585040,44,379507,43,23049,42,30,41,0,40,5010,39,0,38,0,37,1,36,0,2092758,1177197
1774024208,47,46,47,354060,48,650299,49,949293,50,126785,51,2310,52,0,53,5000,54,0,55,5010,56,1,57,0,46,184560,45,585040,44,379507,43,23049,42,30,41,0,40,5010,39,0,38,0,37,1,36,0,2092758,1177197
1774024209,47,46,47,354060,48,649819,49,949293,50,126785,51,2310,52,0,53,5000,54,0,55,5010,56,1,57,0,46,184560,45,585040,44,379507,43,23049,42,30,41,0,40,5010,39,0,38,0,37,1,36,0,2092278,1177197
1774024210,47,46,47,354060,48,649819,49,949293,50,126785,51,2310,52,0,53,5000,54,0,55,5010,56,1,57,0,46,184560,45,585040,44,379507,43,23049,42,30,41,0,40,5010,39,0,38,0,37,1,36,0,2092278,1177197
1774024211,47,46,47,354060,48,649819,49,949293,50,126785,51,2310,52,0,53,5000,54,0,55,5010,56,1,57,0,46,184560,45,585040,44,379507,43,23049,42,30,41,0,40,5010,39,0,38,0,37,1,36,0,2092278,1177197
1774024212,47,46,47,354060,48,650299,49,949293,50,126785,51,2310,52,0,53,5000,54,0,55,5010,56,1,57,0,46,184560,45,585040,44,379507,43,23049,42,30,41,0,40,5010,39,0,38,0,37,1,36,0,2092758,1177197
