ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774054499,1,,1,1947522,2,4802476,3,598579,4,80830,5,6901,6,2785,7,1315,8,3432,9,2755,10,5338,11,43199,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,7495132,0
1774054500,1,,1,1947522,2,4802476,3,598579,4,80830,5,6901,6,2785,7,1315,8,3432,9,2755,10,5338,11,43199,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,7495132,0
1774054501,1,,1,1947522,2,4802476,3,598579,4,80830,5,6901,6,2785,7,1315,8,3432,9,2755,10,5338,11,43199,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,7495132,0
1774054502,1,,1,1947522,2,4802476,3,598579,4,80830,5,6901,6,2785,7,1315,8,3432,9,2755,10,5338,11,43199,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,7495132,0
1774054503,1,,1,1947522,2,4802476,3,598579,4,80830,5,6901,6,2785,7,1315,8,3432,9,2755,10,5338,11,43199,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,7495132,0
1774054504,1,,1,1947522,2,4802476,3,598579,4,80830,5,6901,6,2785,7,1315,8,3432,9,2755,10,5338,11,43199,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,7495132,0
1774054505,1,,1,1947335,2,4802476,3,598579,4,80830,5,6901,6,2785,7,1315,8,3432,9,2755,10,5338,11,43199,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,7494945,0
1774054506,1,,1,1947335,2,4802476,3,598579,4,80830,5,6901,6,2785,7,1315,8,3432,9,2755,10,5338,11,43199,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,7494945,0
1774054507,1,,1,1947335,2,4802476,3,598579,4,80830,5,6901,6,2785,7,1315,8,3432,9,2755,10,5338,11,43199,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,7494945,0
1774054508,1,,1,1947335,2,4802476,3,598579,4,80830,5,6901,6,2785,7,1315,8,3432,9,2755,10,5338,11,43199,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,7494945,0
1774054509,1,,1,1947335,2,4802476,3,598579,4,80830,5,6901,6,2785,7,1315,8,3432,9,2755,10,5338,11,43199,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,7494945,0
1774054510,1,,1,1947335,2,4802476,3,598579,4,80830,5,6901,6,2785,7,1315,8,3432,9,2755,10,5338,11,43199,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,7494945,0
