ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774024199,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024200,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024201,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024202,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024203,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024204,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024205,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024206,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024207,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024208,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024209,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024210,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024211,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024212,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024213,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024214,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024215,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024216,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024217,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024218,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024219,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024220,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024221,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024222,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024223,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024224,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024225,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024226,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024227,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024228,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024229,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024230,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024231,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024232,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024233,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024234,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024235,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024236,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024237,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024238,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024239,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024240,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024241,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024242,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024243,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024244,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024245,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024246,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024247,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024248,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024249,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024250,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024251,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024252,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024253,94,93,94,1243973,95,2112638,96,587491,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5063256,969388
1774024254,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024255,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
1774024256,94,93,94,1243973,95,2112638,96,587011,97,26386,98,3831,99,1088937,100,0,101,0,102,0,103,0,104,0,93,224710,92,599859,91,103904,90,4091,89,880,88,21344,87,6282,86,1608,85,1804,84,2460,83,2446,5062776,969388
