ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774110599,27,26,27,42263,28,47387,29,7287,30,2407,31,7,32,7,33,2,34,0,35,0,36,0,37,0,26,92,25,2575,24,8225,23,285,22,254,21,1604,20,2294,19,2404,18,3521,17,3204,16,3600,99360,28058
1774110600,27,26,27,42263,28,47387,29,7287,30,2407,31,7,32,7,33,2,34,0,35,0,36,0,37,0,26,92,25,2575,24,8225,23,285,22,254,21,1604,20,2294,19,2404,18,3521,17,3204,16,3600,99360,28058
1774110601,27,26,27,42263,28,47387,29,7287,30,2407,31,7,32,7,33,2,34,0,35,0,36,0,37,0,26,92,25,2575,24,8225,23,285,22,254,21,1604,20,2294,19,2404,18,3521,17,3204,16,3600,99360,28058
1774110602,27,26,27,42263,28,47387,29,7287,30,2407,31,7,32,7,33,2,34,0,35,0,36,0,37,0,26,92,25,2575,24,8225,23,285,22,254,21,1604,20,2294,19,2404,18,3521,17,3204,16,3600,99360,28058
1774110603,27,26,27,42263,28,47387,29,7287,30,2407,31,7,32,7,33,2,34,0,35,0,36,0,37,0,26,92,25,2575,24,8225,23,285,22,254,21,1604,20,2294,19,2404,18,3521,17,3204,16,3600,99360,28058
1774110604,27,26,27,42263,28,47387,29,7287,30,2407,31,7,32,7,33,2,34,0,35,0,36,0,37,0,26,92,25,2575,24,8225,23,285,22,254,21,1604,20,2294,19,2404,18,3521,17,3204,16,3600,99360,28058
1774110605,27,26,27,42263,28,47387,29,7287,30,2407,31,7,32,7,33,2,34,0,35,0,36,0,37,0,26,92,25,2575,24,8225,23,285,22,254,21,1604,20,2294,19,2404,18,3521,17,3204,16,3600,99360,28058
1774110606,27,26,27,42263,28,47387,29,7287,30,2407,31,7,32,7,33,2,34,0,35,0,36,0,37,0,26,92,25,2575,24,8225,23,285,22,254,21,1604,20,2294,19,2404,18,3521,17,3204,16,3600,99360,28058
1774110607,27,26,27,42263,28,47387,29,7287,30,2407,31,7,32,7,33,2,34,0,35,0,36,0,37,0,26,92,25,2575,24,8225,23,285,22,254,21,1604,20,2294,19,2404,18,3521,17,3204,16,3600,99360,28058
1774110608,27,26,27,42263,28,47387,29,7287,30,2407,31,7,32,7,33,2,34,0,35,0,36,0,37,0,26,92,25,2575,24,8225,23,285,22,254,21,1604,20,2294,19,2404,18,3521,17,3204,16,3600,99360,28058
1774110609,27,26,27,42263,28,47387,29,7287,30,2407,31,7,32,7,33,2,34,0,35,0,36,0,37,0,26,92,25,2575,24,8225,23,285,22,254,21,1604,20,2294,19,2404,18,3521,17,3204,16,3600,99360,28058
