ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774110599,66,65,66,102221,67,1627096,68,1465107,69,520545,70,31704,71,92,72,5000,73,278,74,1,75,21475,76,2756,65,531604,64,329293,63,73804,62,2958,61,1050,60,2604,59,6125,58,1460,57,2248,56,43667,55,11962,3776275,1006775
1774110600,66,65,66,102221,67,1627096,68,1465107,69,520545,70,31704,71,92,72,5000,73,278,74,1,75,21475,76,2756,65,531604,64,329293,63,73804,62,2958,61,1050,60,2604,59,6125,58,1460,57,2248,56,43667,55,11962,3776275,1006775
1774110601,66,65,66,102221,67,1627096,68,1465107,69,520545,70,31704,71,92,72,5000,73,278,74,1,75,21475,76,2756,65,531604,64,329293,63,73804,62,2958,61,1050,60,2604,59,6125,58,1460,57,2248,56,43667,55,11962,3776275,1006775
1774110602,66,65,66,102221,67,1627096,68,1465107,69,520545,70,31704,71,92,72,5000,73,278,74,1,75,21475,76,2756,65,531604,64,329293,63,73804,62,2958,61,1050,60,2604,59,6125,58,1460,57,2248,56,43667,55,11962,3776275,1006775
1774110603,66,65,66,102221,67,1627096,68,1465107,69,520545,70,31704,71,92,72,5000,73,278,74,1,75,21475,76,2756,65,531604,64,329293,63,73804,62,2958,61,1050,60,2604,59,6125,58,1460,57,2248,56,43667,55,11962,3776275,1006775
1774110604,66,65,66,102221,67,1627096,68,1465107,69,520545,70,31704,71,92,72,5000,73,278,74,1,75,21475,76,2756,65,531604,64,329293,63,73804,62,2958,61,1050,60,2604,59,6125,58,1460,57,2248,56,43667,55,11962,3776275,1006775
1774110605,66,65,66,102221,67,1627096,68,1465107,69,520545,70,31704,71,92,72,5000,73,278,74,1,75,21475,76,2756,65,531604,64,329293,63,73804,62,2958,61,1050,60,2604,59,6125,58,1460,57,2248,56,43667,55,11962,3776275,1006775
1774110606,66,65,66,102221,67,1627096,68,1465107,69,520545,70,31704,71,92,72,5000,73,278,74,1,75,21475,76,2756,65,531604,64,329293,63,73804,62,2958,61,1050,60,2604,59,6125,58,1460,57,2248,56,43667,55,11962,3776275,1006775
1774110607,66,65,66,102221,67,1627096,68,1465107,69,520545,70,31704,71,92,72,5000,73,278,74,1,75,21475,76,2756,65,531604,64,329293,63,73804,62,2958,61,1050,60,2604,59,6125,58,1460,57,2248,56,43667,55,11962,3776275,1006775
1774110608,66,65,66,102221,67,1627096,68,1465107,69,520545,70,31704,71,92,72,5000,73,278,74,1,75,21475,76,2756,65,531604,64,329293,63,73804,62,2958,61,1050,60,2604,59,6125,58,1460,57,2248,56,43667,55,11962,3776275,1006775
1774110609,66,65,66,102221,67,1627096,68,1465107,69,520545,70,31704,71,92,72,5000,73,278,74,1,75,21475,76,2756,65,531604,64,329293,63,73804,62,2958,61,1050,60,2604,59,6125,58,1460,57,2248,56,43667,55,11962,3776275,1006775
