ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774196999,62,61,62,1140126,63,1556492,64,412490,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217491,1048981
1774197000,62,61,62,1140126,63,1556492,64,412490,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217491,1048981
1774197001,62,61,62,1140126,63,1556492,64,412490,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217491,1048981
1774197002,62,61,62,1140126,63,1556492,64,412489,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217490,1048981
1774197003,62,61,62,1140126,63,1556492,64,412489,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217490,1048981
1774197004,62,61,62,1140075,63,1556492,64,412489,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217439,1048981
1774197005,62,61,62,1140075,63,1556492,64,412489,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217439,1048981
1774197006,62,61,62,1140075,63,1556492,64,412489,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217439,1048981
1774197007,62,61,62,1140075,63,1556492,64,412489,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217439,1048981
1774197008,62,61,62,1140075,63,1556492,64,412489,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217439,1048981
1774197009,62,61,62,1140075,63,1556492,64,412489,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217439,1048981
1774197010,62,61,62,1140075,63,1556492,64,412489,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217439,1048981
1774197011,62,61,62,1140075,63,1556492,64,412489,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217439,1048981
1774197012,62,61,62,1140075,63,1556492,64,412489,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217439,1048981
1774197013,62,61,62,1140075,63,1556492,64,412489,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217439,1048981
1774197014,62,61,62,1139958,63,1556492,64,412489,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217322,1048981
1774197015,62,61,62,1139801,63,1556492,64,377514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3182190,1048981
1774197016,62,61,62,1139801,63,1556492,64,377514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3182190,1048981
1774197017,62,61,62,1139801,63,1556492,64,377514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3182190,1048981
1774197018,62,61,62,1139801,63,1556492,64,377514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3182190,1048981
1774197019,62,61,62,1139801,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217190,1048981
1774197020,62,61,62,1139801,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217190,1048981
1774197021,62,61,62,1139786,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217175,1048981
1774197022,62,61,62,1139786,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217175,1048981
1774197023,62,61,62,1139786,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217175,1048981
1774197024,62,61,62,1139786,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217175,1048981
1774197025,62,61,62,1139727,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217116,1048981
1774197026,62,61,62,1139711,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217100,1048981
1774197027,62,61,62,1139711,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217100,1048981
1774197028,62,61,62,1139680,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217069,1048981
1774197029,62,61,62,1139680,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217069,1048981
1774197030,62,61,62,1139680,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217069,1048981
1774197031,62,61,62,1139637,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217026,1048981
1774197032,62,61,62,1139637,63,1556492,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126888,60,319054,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217026,1048981
1774197033,62,61,62,1139637,63,1556502,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126886,60,319052,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3217036,1048977
1774197034,62,61,62,1139544,63,1556532,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126868,60,319034,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3216973,1048941
1774197035,62,61,62,1139544,63,1556533,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126868,60,319034,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3216974,1048941
1774197036,62,61,62,1139544,63,1556533,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126868,60,319034,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3216974,1048941
1774197037,62,61,62,1139544,63,1556533,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126868,60,319034,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3216974,1048941
1774197038,62,61,62,1139505,63,1556533,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126868,60,319034,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3216935,1048941
1774197039,62,61,62,1139505,63,1556533,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126868,60,319034,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3216935,1048941
1774197040,62,61,62,1139505,63,1556533,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126868,60,319034,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3216935,1048941
1774197041,62,61,62,1139505,63,1556533,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126868,60,319034,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3216935,1048941
1774197042,62,61,62,1139505,63,1556533,64,412514,65,30075,66,7101,67,64,68,5000,69,0,70,20751,71,1476,72,43916,61,126868,60,319034,59,557475,58,30058,57,787,56,1916,55,6210,54,1221,53,1900,52,1672,51,1800,3216935,1048941
