ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1775338739,54,45,0,114,0,114,low_activity,1.0,1695,0,1695,ok_volume,1.0,16372,0,16372,ok_volume,14,0,14,19661,0,19661,12878088,7400586,-0.2701,0,0,42,54,55,54,1
1775338740,54,45,0,14,0,14,low_activity,0,819,0,819,low_activity,1.0,16372,0,16372,ok_volume,8,0,8,19633,0,19633,13378080,7431120,-0.2858,499992,499992,42,54,55,54,1
1775338741,54,45,0,14,0,14,low_activity,0,114,0,114,low_activity,1.0,16196,0,16196,ok_volume,8,0,8,19641,0,19641,13377672,7430920,-0.2858,499584,499584,42,54,55,54,1
1775338742,54,45,0,543,0,543,low_activity,0,557,0,557,low_activity,1.0,16717,0,16717,ok_volume,543,0,543,20184,0,20184,13377199,7430982,-0.2858,499111,499111,42,54,55,54,1
1775338743,54,45,0,631,0,631,low_activity,0,645,0,645,low_activity,1.0,16568,0,16568,ok_volume,88,0,88,20272,0,20272,13377111,7430982,-0.2858,-969,499023,42,54,55,54,1
1775338744,54,45,0,675,0,675,low_activity,0,675,0,675,low_activity,1.0,16600,0,16600,ok_volume,44,0,44,20316,0,20316,13377067,7430982,-0.2858,-605,498979,42,54,55,54,1
1775338745,54,45,0,352,0,352,low_activity,1.0,895,0,895,ok_volume,1.0,16382,0,16382,ok_volume,220,0,220,20536,0,20536,13376847,7430982,-0.2858,-352,498759,42,54,55,54,1
1775338746,54,45,0,274,0,274,low_activity,1.0,905,0,905,ok_volume,1.0,16216,0,16216,ok_volume,8,0,8,20326,0,20326,13376829,7430982,-0.2858,-282,498741,42,54,55,54,1
1775338747,54,45,0,9043,0,9043,low_activity,1.0,9175,0,9175,ok_volume,1.0,24994,0,24994,ok_volume,8813,0,8813,29102,0,29102,13368016,7430982,-0.2854,-9051,489928,42,54,55,54,1
1775338748,54,45,0,8813,0,8813,low_activity,1.0,9087,0,9087,ok_volume,1.0,16115,0,16115,ok_volume,0,0,0,29102,0,29102,13368016,7430982,-0.2854,-8831,489928,42,54,55,54,1
1775338749,54,45,0,8848,0,8848,low_activity,1.0,9078,0,9078,ok_volume,1.0,15273,0,15273,ok_volume,35,0,35,28918,0,28918,13367981,7430982,-0.2854,-8848,489893,42,54,55,54,1
1775338750,54,45,0,35,64,99,low_activity,0,8848,64,8912,low_activity,0.992,15106,64,15170,ok_volume,4,64,68,28746,64,28810,13369727,7432668,-0.2854,1711,-8353,42,54,55,54,1
1775338751,54,45,0,54,64,118,low_activity,0,8867,64,8931,low_activity,0.992,15082,64,15146,ok_volume,19,0,19,28765,64,28829,13369708,7432668,-0.2854,1692,-7964,42,54,55,54,1
1775338752,54,45,0,19,64,83,low_activity,0,54,64,118,low_activity,0.992,15021,64,15085,ok_volume,8,0,8,28452,64,28516,13369700,7432668,-0.2854,1719,-7499,42,54,55,54,1
1775338753,54,45,0,73,0,73,low_activity,0,108,64,172,low_activity,0.991,13863,64,13927,ok_volume,8,0,8,28514,64,28578,13369638,7432668,-0.2854,-89,-7473,42,54,55,54,1
1775338754,54,45,0,278,0,278,low_activity,0.645,297,64,361,ok_volume,0.99,12530,64,12594,ok_volume,224,0,224,28566,64,28630,13369414,7432668,-0.2854,-294,-7653,42,54,55,54,1
1775338755,54,45,0,328,0,328,low_activity,1.0,401,0,401,ok_volume,0.99,12634,64,12698,ok_volume,104,0,104,28669,64,28733,13369310,7432668,-0.2854,-390,-7537,42,54,55,54,1
1775338756,54,45,1.0,349,0,349,ok_volume,1.0,403,0,403,ok_volume,0.99,12165,64,12229,ok_volume,21,0,21,28611,64,28675,13369289,7432668,-0.2854,-349,-7540,42,54,55,54,1
