ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773520173,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520174,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520175,92,7,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,489679,1770644,0.5667,489679,489679,7,89,93,92,1
1773520176,92,7,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,506579,1770644,0.5551,506579,506579,7,89,93,92,1
1773520177,92,7,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,506635,1770692,0.5551,506635,506635,7,89,93,92,1
1773520178,92,7,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,506744,1770868,0.555,17065,506744,7,89,93,92,1
1773520179,92,7,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,489594,1770792,0.5668,-16985,489594,7,89,93,92,1
1773520180,91,8,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,515786,1769007,0.5485,9151,515786,8,87,92,91,1
1773520181,91,8,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,520844,1769259,0.5451,14100,520844,8,88,92,91,1
1773520182,91,8,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,520844,1769260,0.5451,31250,520844,8,87,92,91,1
1773520183,91,8,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,520843,1769935,0.5453,5057,520843,8,87,92,91,1
1773520184,91,8,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,520943,1769935,0.5452,99,520943,8,87,92,91,1
1773520185,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520443,1769935,0.5455,-401,30764,8,87,92,91,1
1773520186,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520443,1769935,0.5455,-400,13864,8,87,92,91,1
1773520187,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520443,1769935,0.5455,-500,13808,8,87,92,91,1
1773520188,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520443,1769935,0.5455,0,13699,8,87,92,91,1
1773520189,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520443,1769935,0.5455,0,30849,8,87,92,91,1
1773520190,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520443,1769935,0.5455,0,4657,8,87,92,91,1
1773520191,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520443,1769935,0.5455,0,-401,8,87,92,91,1
1773520192,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520443,1769935,0.5455,0,-401,8,87,92,91,1
1773520193,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520443,1769935,0.5455,0,-400,8,87,92,91,1
1773520194,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520443,1769935,0.5455,0,-500,8,87,92,91,1
1773520195,91,8,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,520173,1769785,0.5457,-270,-270,8,87,92,91,1
1773520196,91,8,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,520173,1769785,0.5457,-270,-270,8,87,92,91,1
1773520197,91,8,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,520173,1769785,0.5457,-270,-270,8,87,92,91,1
1773520198,91,8,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,520173,1769785,0.5457,0,-270,8,87,92,91,1
1773520199,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520173,1769827,0.5457,0,-270,8,87,92,91,1
1773520200,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520173,1769827,0.5457,0,-270,8,87,92,91,1
1773520201,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520173,1769827,0.5457,0,-270,8,87,92,91,1
1773520202,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,520173,1769827,0.5457,0,-270,8,87,92,91,1
1773520203,91,8,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,520172,1769827,0.5457,-1,-271,8,87,92,91,1
1773520204,91,8,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,520172,1769827,0.5457,-1,-271,8,87,92,91,1
1773520205,91,8,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,520172,1769827,0.5457,-1,-1,8,87,92,91,1
1773520206,91,8,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,443952,1630990,0.5721,-76220,-76221,7,87,92,91,1
1773520207,91,8,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,444002,1630990,0.572,-76170,-76171,8,87,92,91,1
1773520208,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,444002,1630990,0.572,-76170,-76171,8,87,92,91,1
1773520209,91,8,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,443831,1630990,0.5722,-121,-76342,8,87,92,91,1
1773520210,91,7,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,522989,1786030,0.547,78987,2816,7,88,93,91,2
1773520211,91,7,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,444142,1647240,0.5753,140,-76031,7,88,93,91,2
1773520212,91,7,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,434549,1647055,0.5825,-9282,-85624,7,88,93,91,2
1773520213,91,7,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,481194,1769806,0.5725,-41795,-38978,7,88,93,91,2
1773520214,91,7,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,481792,1769806,0.572,37650,-38380,7,88,93,91,2
1773520215,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,509613,1765572,0.552,75064,-10559,8,88,92,91,1
1773520216,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,435252,1630384,0.5786,-45942,-8700,8,88,92,91,1
1773520217,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,435252,1630384,0.5786,-46540,-8750,8,88,92,91,1
1773520218,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,521504,1769215,0.5447,11891,77502,8,88,92,91,1
1773520219,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,514128,1765434,0.5489,78876,70297,8,88,92,91,1
1773520220,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,451939,1630434,0.5659,16687,-71050,8,88,92,91,1
1773520221,91,8,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,440063,1630011,0.5748,-81441,-4079,8,88,92,91,1
ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773521000,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521001,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521002,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,450238,1772162,0.5948,450238,450238,4,90,96,95,1
1773521003,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,450238,1772162,0.5948,450238,450238,4,90,96,95,1
1773521004,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,450237,1772162,0.5948,450237,450237,4,90,96,95,1
1773521005,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,450237,1772162,0.5948,-1,450237,4,90,96,95,1
1773521006,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,450237,1772162,0.5948,-1,450237,4,90,96,95,1
1773521007,95,4,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,450237,1772162,0.5948,0,450237,4,90,96,95,1
1773521008,95,4,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,450237,1772162,0.5948,0,450237,4,90,96,95,1
1773521009,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,450237,1772257,0.5948,0,450237,4,90,96,95,1
1773521010,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,450237,1772257,0.5948,0,450237,4,90,96,95,1
1773521011,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,450237,1772257,0.5948,0,450237,4,90,96,95,1
1773521012,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,440076,1765157,0.6009,-10161,-10162,4,90,96,95,1
1773521013,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,440411,1764971,0.6006,-9826,-9827,4,89,96,95,1
1773521014,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,440411,1764971,0.6006,-9826,-9826,4,90,96,95,1
1773521015,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,440332,1764971,0.6007,256,-9905,4,90,96,95,1
1773521016,95,4,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,440332,1764971,0.6007,-79,-9905,4,90,96,95,1
1773521017,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,440330,1764971,0.6007,-81,-9907,4,90,96,95,1
1773521018,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,41399,1764363,0.9541,-398933,-408838,4,90,96,95,1
1773521019,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,41399,1764463,0.9542,-398933,-408838,4,90,96,95,1
1773521020,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,41399,1764463,0.9542,-398931,-408838,4,90,96,95,1
1773521021,95,4,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1764463,0.9542,-30,-408868,4,90,96,95,1
1773521022,95,4,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1764963,0.9542,-30,-398707,4,90,96,95,1
1773521023,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1764963,0.9542,-30,-399042,4,90,96,95,1
1773521024,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1764963,0.9542,0,-399042,4,90,96,95,1
1773521025,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1764963,0.9542,0,-398963,4,90,96,95,1
1773521026,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1764963,0.9542,0,-398963,4,90,96,95,1
1773521027,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1764963,0.9542,0,-398961,4,90,96,95,1
1773521028,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1764963,0.9542,0,-30,4,90,96,95,1
1773521029,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1765363,0.9542,0,-30,4,90,96,95,1
1773521030,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1765363,0.9542,0,-30,4,90,96,95,1
1773521031,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1812721,0.9554,0,0,4,90,96,95,1
1773521032,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1812721,0.9554,0,0,4,90,96,95,1
1773521033,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1812721,0.9554,0,0,4,90,96,95,1
1773521034,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1812721,0.9554,0,0,4,90,96,95,1
1773521035,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1812721,0.9554,0,0,4,90,96,95,1
1773521036,95,4,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41369,1812705,0.9554,0,0,4,90,96,95,1
1773521037,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,41349,1812705,0.9554,-20,-20,4,90,96,95,1
1773521038,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,41349,1812705,0.9554,-20,-20,4,90,96,95,1
1773521039,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,41154,1812505,0.9556,-215,-215,4,90,96,95,1
1773521040,95,4,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,45981,1812501,0.9505,4632,4612,4,90,96,95,1
1773521041,96,3,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,41785,1774200,0.954,436,416,3,91,97,96,1
1773521042,96,3,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,41785,1814196,0.955,631,416,3,90,97,96,1
1773521043,96,3,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,41979,1814196,0.9548,-4002,610,3,90,97,96,1
1773521044,96,3,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,41979,1814196,0.9548,194,610,3,89,97,96,1
1773521045,96,3,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,41979,1814196,0.9548,194,610,3,89,97,96,1
1773521046,96,3,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41979,1814196,0.9548,0,610,3,89,97,96,1
1773521047,96,3,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,41967,1814196,0.9548,-12,618,3,89,97,96,1
