ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773520173,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520174,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520175,82,17,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,721237,1969600,0.4639,721237,721237,16,81,83,82,1
1773520176,82,17,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,721957,1969777,0.4636,721957,721957,15,81,83,82,1
1773520177,82,17,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,721041,1969401,0.464,721041,721041,15,81,83,82,1
1773520178,81,17,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,722289,1954573,0.4603,1052,722289,16,80,83,81,2
1773520179,81,17,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,723170,1966376,0.4622,1213,723170,17,80,83,81,2
1773520180,82,17,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,826984,2107526,0.4364,105943,826984,17,81,83,82,1
1773520181,83,16,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,833438,2107320,0.4332,111149,833438,15,82,84,83,1
1773520182,83,16,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,835318,2107320,0.4323,112148,835318,16,82,84,83,1
1773520183,83,16,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,835318,2107361,0.4323,8334,835318,16,82,84,83,1
1773520184,83,16,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,831827,2107361,0.434,-1611,831827,16,82,84,83,1
1773520185,83,16,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,833888,2108361,0.4332,-1430,112651,16,81,84,83,1
1773520186,83,16,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,833888,2108386,0.4332,-1430,111931,16,81,84,83,1
1773520187,83,16,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,833888,2097266,0.431,2061,112847,16,81,84,83,1
1773520188,83,16,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,833891,2105569,0.4326,3,111602,16,81,84,83,1
1773520189,83,16,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,833875,2108415,0.4332,-13,110705,16,82,84,83,1
1773520190,83,16,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,833792,2108415,0.4332,-96,6808,16,82,84,83,1
1773520191,83,16,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,833792,2108415,0.4332,-99,354,16,82,84,83,1
1773520192,83,16,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,833792,2108415,0.4332,-83,-1526,16,82,84,83,1
1773520193,82,17,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,746423,1958020,0.448,-87369,-88895,16,81,83,82,1
1773520194,81,18,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,749227,1969303,0.4488,-84565,-82600,16,80,82,81,1
1773520195,81,18,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,855445,2105617,0.4222,21653,21557,17,80,82,81,1
1773520196,81,18,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,832582,2110102,0.4341,86159,-1306,17,80,82,81,1
1773520197,81,18,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,843025,2109753,0.429,93798,9137,17,80,82,81,1
1773520198,81,17,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,843346,2109676,0.4288,-12099,9455,17,79,83,81,2
1773520199,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,847298,2105949,0.4262,14716,13423,19,78,81,80,1
1773520200,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,836306,2106072,0.4315,-6719,2514,18,79,81,80,1
1773520201,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,823705,2107755,0.438,-19641,-10087,18,77,81,80,1
1773520202,80,19,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,822667,2108300,0.4386,-24631,-11125,17,77,81,80,1
1773520203,80,19,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,822677,2108302,0.4386,-13629,76254,17,77,81,80,1
1773520204,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,822677,2109051,0.4388,-1028,73450,17,78,81,80,1
1773520205,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,823621,2109201,0.4383,954,-31824,19,78,81,80,1
1773520206,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,823621,2109201,0.4383,944,-8961,19,78,81,80,1
1773520207,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,836647,2109201,0.432,13970,-6378,19,78,81,80,1
1773520208,80,19,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,732581,1971273,0.4581,-91040,-110765,18,78,81,80,1
1773520209,80,19,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,721153,1969424,0.4639,-102468,-126145,18,78,81,80,1
1773520210,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,721153,1971812,0.4644,-115494,-115153,18,79,81,80,1
1773520211,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,720903,1971788,0.4645,-11678,-102802,18,79,81,80,1
1773520212,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,720903,1972578,0.4647,-250,-101764,19,78,81,80,1
1773520213,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,859348,2110139,0.4212,138195,36671,17,78,81,80,1
1773520214,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,859198,2108989,0.4211,138295,36521,17,78,81,80,1
1773520215,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,859198,2110302,0.4213,138295,35577,18,78,81,80,1
1773520216,80,19,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,859203,2109489,0.4212,-145,35582,18,78,81,80,1
1773520217,80,19,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,859203,2109489,0.4212,5,22556,18,78,81,80,1
1773520218,80,19,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,859203,2109489,0.4212,5,126622,18,78,81,80,1
1773520219,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,859203,2109489,0.4212,0,138050,18,78,81,80,1
1773520220,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,859123,2109494,0.4212,-80,137970,18,78,81,80,1
1773520221,80,19,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,859123,2109494,0.4212,-80,138220,18,78,81,80,1
ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773521000,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521001,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521002,75,24,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1049869,2150016,0.3438,1049869,1049869,22,74,76,75,1
1773521003,75,24,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1049869,2150016,0.3438,1049869,1049869,22,74,76,75,1
1773521004,75,24,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1049869,2150016,0.3438,1049869,1049869,22,74,76,75,1
1773521005,75,24,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1049869,2150016,0.3438,0,1049869,22,74,76,75,1
1773521006,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1053972,2148606,0.3418,4103,1053972,24,73,75,74,1
1773521007,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1055116,2148801,0.3414,5247,1055116,24,73,75,74,1
1773521008,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1055025,2148805,0.3414,5156,1055025,24,73,75,74,1
1773521009,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1056161,2148805,0.3409,2189,1056161,24,73,75,74,1
1773521010,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1057310,2148805,0.3404,2194,1057310,24,73,75,74,1
1773521011,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1058459,2148805,0.34,3434,1058459,24,73,75,74,1
1773521012,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1059576,2148805,0.3395,3415,9707,24,73,75,74,1
1773521013,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1059576,2148805,0.3395,2266,9707,24,73,75,74,1
1773521014,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1059576,2148810,0.3395,1117,9707,24,73,75,74,1
1773521015,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1058901,2148810,0.3398,-675,9032,24,73,75,74,1
1773521016,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1061152,2148805,0.3388,1576,7180,24,73,75,74,1
1773521017,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1060003,2148805,0.3393,427,4887,24,73,75,74,1
1773521018,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1061152,2148855,0.3388,2251,6127,24,73,75,74,1
1773521019,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1052513,2148855,0.3425,-8639,-3648,24,73,75,74,1
1773521020,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1053473,2148855,0.3421,-6530,-3837,24,73,75,74,1
1773521021,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1054565,2148855,0.3416,-6587,-3894,24,73,75,74,1
1773521022,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1053416,2148855,0.3421,903,-6160,24,73,75,74,1
1773521023,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1053234,2148855,0.3422,-239,-6342,24,73,75,74,1
1773521024,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1054383,2148855,0.3417,-182,-5193,24,73,75,74,1
1773521025,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1054178,2148755,0.3417,762,-4723,24,73,75,74,1
1773521026,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1055327,2148755,0.3413,2093,-5825,24,73,75,74,1
1773521027,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1055317,2148755,0.3413,934,-4686,24,73,75,74,1
1773521028,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1056466,2148755,0.3408,2288,-4686,24,73,75,74,1
1773521029,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1056466,2148755,0.3408,1139,3953,24,73,75,74,1
1773521030,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1057551,2148755,0.3403,2234,4078,24,73,75,74,1
1773521031,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1043307,2148755,0.3463,-13159,-11258,23,73,75,74,1
1773521032,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1043507,2148855,0.3462,-12959,-9909,23,73,75,74,1
1773521033,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1043507,2148855,0.3462,-14044,-9727,23,73,75,74,1
1773521034,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1044376,2148855,0.3459,1069,-10007,23,73,75,74,1
1773521035,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1044848,2148855,0.3457,1341,-9330,23,73,75,74,1
1773521036,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1045997,2148855,0.3452,2490,-9330,23,73,75,74,1
1773521037,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1045997,2148855,0.3452,1621,-9320,23,73,75,74,1
1773521038,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1045766,2148855,0.3453,918,-10700,23,73,75,74,1
1773521040,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1046912,2148855,0.3448,915,-10639,23,73,75,74,1
1773521041,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1072933,2148855,0.334,27167,29626,23,73,75,74,1
1773521042,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1072933,2148855,0.334,26021,29426,23,73,75,74,1
1773521043,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1076369,2148855,0.3325,29457,32862,23,73,75,74,1
1773521044,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1075855,2148855,0.3327,2922,31479,23,73,75,74,1
1773521045,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1075855,2148855,0.3327,2922,31007,23,73,75,74,1
1773521046,74,25,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1078153,2148855,0.3318,1784,32156,23,73,75,74,1
