ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773876599,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2169265,1404244,-0.2141,0,0,66,33,34,33,1
1773876600,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2169265,1404244,-0.2141,0,0,66,33,34,33,1
1773876601,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2169265,1404244,-0.2141,0,0,66,33,34,33,1
1773876602,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2169265,1404244,-0.2141,0,0,66,33,34,33,1
1773876603,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2169265,1404244,-0.2141,0,0,66,33,34,33,1
1773876604,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2169265,1404244,-0.2141,0,0,66,33,34,33,1
1773876605,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2169265,1404244,-0.2141,0,0,66,33,34,33,1
1773876606,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2169265,1404244,-0.2141,0,0,66,33,34,33,1
1773876607,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2169265,1404244,-0.2141,0,0,66,33,34,33,1
1773876608,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2169265,1404244,-0.2141,0,0,66,33,34,33,1
1773876609,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2169270,1405999,-0.2135,5,5,66,33,34,33,1
1773876610,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171020,1405999,-0.2139,1755,1755,66,33,34,33,1
1773876611,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171020,1405999,-0.2139,1755,1755,66,33,34,33,1
1773876612,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171020,1405999,-0.2139,1750,1755,66,33,34,33,1
1773876613,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171019,1405999,-0.2139,-1,1754,66,33,34,33,1
1773876614,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171019,1405998,-0.2139,-1,1754,66,32,34,33,1
1773876615,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171019,1405998,-0.2139,-1,1754,66,32,34,33,1
1773876616,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171019,1405998,-0.2139,0,1754,66,32,34,33,1
1773876617,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171019,1405998,-0.2139,0,1754,66,32,34,33,1
1773876618,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171019,1405998,-0.2139,0,1754,66,32,34,33,1
1773876619,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171019,1405998,-0.2139,0,1749,66,32,34,33,1
1773876620,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171019,1405998,-0.2139,0,-1,66,32,34,33,1
1773876621,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171019,1405998,-0.2139,0,-1,66,32,34,33,1
1773876622,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171019,1405998,-0.2139,0,-1,66,32,34,33,1
1773876623,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171019,1405998,-0.2139,0,0,66,32,34,33,1
1773876624,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2171019,1405998,-0.2139,0,0,66,32,34,33,1
1773876625,33,66,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2171014,1405998,-0.2139,-5,-5,66,32,34,33,1
1773876626,33,66,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2171308,1405998,-0.2139,289,289,66,32,34,33,1
1773876627,33,66,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2171308,1405998,-0.2139,289,289,66,32,34,33,1
1773876628,33,66,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2171308,1405998,-0.2139,294,289,66,32,34,33,1
1773876629,33,66,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,2171308,1405998,-0.2139,0,289,66,32,34,33,1
1773876630,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2171308,1405998,-0.2139,0,289,66,32,34,33,1
1773876631,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2171308,1405998,-0.2139,0,289,66,32,34,33,1
1773876632,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2171308,1405998,-0.2139,0,289,66,32,34,33,1
1773876633,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2171308,1405998,-0.2139,0,289,66,32,34,33,1
1773876634,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2171228,1405998,-0.2139,-80,209,66,32,34,33,1
1773876635,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,912,1206,66,32,34,33,1
1773876636,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,912,912,66,32,34,33,1
1773876637,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,992,912,66,32,34,33,1
1773876638,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,0,912,66,32,34,33,1
1773876639,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,0,912,66,32,34,33,1
1773876640,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,0,912,66,32,34,33,1
1773876641,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,0,912,66,32,34,33,1
1773876642,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,0,912,66,32,34,33,1
1773876643,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,0,912,66,32,34,33,1
1773876644,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,0,992,66,32,34,33,1
1773876645,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,0,0,66,32,34,33,1
1773876646,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,0,0,66,32,34,33,1
1773876647,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,0,0,66,32,34,33,1
1773876648,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,0,0,66,32,34,33,1
1773876649,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,0,0,66,32,34,33,1
1773876650,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172220,1405998,-0.2141,0,0,66,32,34,33,1
1773876651,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172221,1405999,-0.2141,1,1,66,33,34,33,1
1773876652,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172221,1405999,-0.2141,1,1,66,33,34,33,1
1773876653,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172221,1405999,-0.2141,1,1,66,33,34,33,1
1773876654,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2172221,1405999,-0.2141,0,1,66,33,34,33,1
1773876655,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2172221,1405999,-0.2141,0,1,66,33,34,33,1
1773876656,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2172221,1405999,-0.2141,0,1,66,33,34,33,1
1773876657,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2172221,1405999,-0.2141,0,1,66,33,34,33,1
1773876658,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2172221,1405999,-0.2141,0,1,66,33,34,33,1
1773876659,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2172221,1405999,-0.2141,0,1,66,33,34,33,1
1773876660,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2172221,1405999,-0.2141,0,1,66,33,34,33,1
1773876661,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2172221,1405999,-0.2141,0,0,66,33,34,33,1
1773876662,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2172221,1405999,-0.2141,0,0,66,33,34,33,1
