ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774024200,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024201,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024202,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024203,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024204,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024205,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024206,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024207,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024208,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024209,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024210,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024211,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024212,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024213,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024214,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024215,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024216,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024217,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024218,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024219,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024220,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024221,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024222,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024223,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024224,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024225,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
1774024226,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,6602436,5027598,-0.1354,0,0,40,49,54,53,1
