ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774024200,46,53,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,7598297,5448109,-0.1648,0,0,48,44,47,46,1
1774024201,46,53,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,7598277,5448109,-0.1648,-20,-20,48,44,47,46,1
1774024202,46,53,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,7598277,5448109,-0.1648,-20,-20,48,44,47,46,1
1774024203,46,53,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,7598277,5448109,-0.1648,-20,-20,48,44,47,46,1
1774024204,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598273,5448109,-0.1648,-4,-24,48,44,47,46,1
1774024205,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598273,5448109,-0.1648,-4,-24,48,44,47,46,1
1774024206,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598273,5448109,-0.1648,-4,-24,48,44,47,46,1
1774024207,46,53,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598273,5448109,-0.1648,0,-24,48,44,47,46,1
1774024208,46,53,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598273,5448109,-0.1648,0,-24,48,44,47,46,1
1774024209,46,53,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,7598273,5448109,-0.1648,0,-24,48,44,47,46,1
1774024210,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598263,5448109,-0.1648,-10,-34,48,44,47,46,1
1774024211,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598263,5448109,-0.1648,-10,-14,48,44,47,46,1
1774024212,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598263,5448109,-0.1648,-10,-14,48,44,47,46,1
1774024213,46,53,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598263,5448109,-0.1648,0,-14,48,44,47,46,1
1774024214,46,53,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598263,5448109,-0.1648,0,-10,48,44,47,46,1
1774024215,46,53,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,7598263,5448109,-0.1648,0,-10,48,44,47,46,1
1774024216,46,53,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,7598263,5448109,-0.1648,0,-10,48,44,47,46,1
1774024217,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598161,5448109,-0.1648,-102,-112,48,44,47,46,1
1774024218,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598161,5448109,-0.1648,-102,-112,48,44,47,46,1
1774024219,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598161,5448109,-0.1648,-102,-112,48,44,47,46,1
1774024220,46,53,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598161,5448109,-0.1648,0,-102,48,44,47,46,1
1774024221,46,53,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7598161,5448109,-0.1648,0,-102,48,44,47,46,1
1774024222,46,53,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,7598161,5448109,-0.1648,0,-102,48,44,47,46,1
1774024223,46,53,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,7597453,5448109,-0.1648,-708,-810,48,44,47,46,1
1774024224,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7597443,5448109,-0.1648,-718,-820,48,44,47,46,1
1774024225,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7597443,5448109,-0.1648,-718,-820,48,44,47,46,1
1774024226,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7597443,5429109,-0.1665,-10,-820,48,44,47,46,1
1774024227,46,53,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7597443,5429109,-0.1665,0,-718,48,44,47,46,1
1774024228,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7597375,5448109,-0.1648,-68,-786,48,44,47,46,1
1774024229,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7597375,5448109,-0.1648,-68,-786,48,44,47,46,1
1774024230,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7597253,5448109,-0.1647,-190,-908,48,44,47,46,1
1774024231,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7597253,5448109,-0.1647,-122,-908,48,44,47,46,1
1774024232,46,53,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,7597253,5448109,-0.1647,-122,-908,48,44,47,46,1
