ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774196999,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197001,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197002,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197003,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197004,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197005,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197006,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197007,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197008,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197009,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197010,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197011,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197012,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197013,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197014,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197015,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197016,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197017,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197018,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197019,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197020,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197021,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197022,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197023,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197024,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197025,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197026,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197027,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197028,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197029,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197030,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197031,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197032,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197033,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197034,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8746851,5635260,-0.2164,0,0,59,34,36,35,1
1774197035,35,64,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,8746825,5635260,-0.2164,-26,-26,59,34,36,35,1
1774197036,35,64,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,8746825,5635260,-0.2164,-26,-26,59,34,36,35,1
1774197037,35,64,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,8746825,5635260,-0.2164,-26,-26,59,34,36,35,1
1774197038,35,64,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,8746825,5635260,-0.2164,0,-26,59,34,36,35,1
1774197039,35,64,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,8746825,5635260,-0.2164,0,-26,59,34,36,35,1
1774197040,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746825,5635260,-0.2164,0,-26,59,34,36,35,1
1774197041,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746825,5635260,-0.2164,0,-26,59,34,36,35,1
1774197042,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746825,5635260,-0.2164,0,-26,59,34,36,35,1
1774197043,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746825,5635260,-0.2164,0,-26,59,34,36,35,1
1774197044,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746825,5635260,-0.2164,0,-26,59,34,36,35,1
1774197045,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746825,5635260,-0.2164,0,0,59,34,36,35,1
1774197046,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746825,5635260,-0.2164,0,0,59,34,36,35,1
1774197047,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8746825,5635260,-0.2164,0,0,59,34,36,35,1
1774197048,35,64,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,8746820,5635260,-0.2163,-5,-5,59,34,36,35,1
1774197049,35,64,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,8746820,5635260,-0.2163,-5,-5,59,34,36,35,1
