Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
63,1773520179,2026-03-14T13:29:39,,,yes,
174,1773520192,2026-03-14T13:29:52,,,no,
183,1773520193,2026-03-14T13:29:53,,,no,
206,1773520197,2026-03-14T13:29:57,,,yes,
345,1773520213,2026-03-14T13:30:13,,,yes,
381,1773520215,2026-03-14T13:30:15,,,no,
395,1773520216,2026-03-14T13:30:16,,,no,
420,1773520220,2026-03-14T13:30:20,,,no,
Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
68,1773521008,2026-03-14T13:43:28,,,yes,
69,1773521008,2026-03-14T13:43:28,,,yes,
70,1773521008,2026-03-14T13:43:28,,,yes,
71,1773521008,2026-03-14T13:43:28,,,yes,
72,1773521008,2026-03-14T13:43:28,,,yes,
73,1773521008,2026-03-14T13:43:28,,,yes,
421,1773521041,2026-03-14T13:44:01,,,no,
560,1773521056,2026-03-14T13:44:16,,,no,
599,1773521059,2026-03-14T13:44:19,,,no,
608,1773521059,2026-03-14T13:44:19,,,no,
Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
37,1773521159,2026-03-14T13:45:59,,,no,
456,1773521196,2026-03-14T13:46:36,,,no,
738,1773521220,2026-03-14T13:47:00,,,no,
877,1773521236,2026-03-14T13:47:16,,,no,
981,1773521245,2026-03-14T13:47:25,,,no,
1281,1773521279,2026-03-14T13:47:59,,,no,
1403,1773521293,2026-03-14T13:48:13,,,no,
1432,1773521296,2026-03-14T13:48:16,,,no,
1467,1773521301,2026-03-14T13:48:21,,,no,
1604,1773521318,2026-03-14T13:48:38,,,no,
1674,1773521327,2026-03-14T13:48:47,,,no,
3081,1773521465,2026-03-14T13:51:05,,,no,
3339,1773521492,2026-03-14T13:51:32,,,no,
3432,1773521500,2026-03-14T13:51:40,,,no,
4064,1773521553,2026-03-14T13:52:33,,,no,
4225,1773521565,2026-03-14T13:52:45,,,no,
4628,1773521597,2026-03-14T13:53:17,,,no,
5000,1773521623,2026-03-14T13:53:43,,,no,
5020,1773521626,2026-03-14T13:53:46,,,no,
5080,1773521630,2026-03-14T13:53:50,,,no,
5081,1773521630,2026-03-14T13:53:50,,,no,
5082,1773521630,2026-03-14T13:53:50,,,no,
5567,1773521675,2026-03-14T13:54:35,,,no,
5968,1773521703,2026-03-14T13:55:03,,,no,
9023,1773521971,2026-03-14T13:59:31,,,no,
9265,1773521993,2026-03-14T13:59:53,,,no,
9670,1773522029,2026-03-14T14:00:29,,,no,
