Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
219,1773839406,2026-03-18T06:10:06,,,yes,
1079,1773840286,2026-03-18T06:24:46,,,yes,
1220,1773840444,2026-03-18T06:27:24,,,yes,
1305,1773840545,2026-03-18T06:29:05,,,yes,
1497,1773840768,2026-03-18T06:32:48,,,yes,
1627,1773840905,2026-03-18T06:35:05,,,no,
1628,1773840905,2026-03-18T06:35:05,,,no,
1629,1773840905,2026-03-18T06:35:05,,,no,
1630,1773840905,2026-03-18T06:35:05,,,no,
1631,1773840905,2026-03-18T06:35:05,,,no,
1632,1773840905,2026-03-18T06:35:05,,,no,
1633,1773840905,2026-03-18T06:35:05,,,no,
1634,1773840905,2026-03-18T06:35:05,,,no,
1635,1773840905,2026-03-18T06:35:05,,,no,
1636,1773840905,2026-03-18T06:35:05,,,no,
1637,1773840905,2026-03-18T06:35:05,,,no,
1638,1773840905,2026-03-18T06:35:05,,,no,
1639,1773840905,2026-03-18T06:35:05,,,no,
1640,1773840905,2026-03-18T06:35:05,,,no,
1641,1773840905,2026-03-18T06:35:05,,,no,
1642,1773840905,2026-03-18T06:35:05,,,no,
1643,1773840905,2026-03-18T06:35:05,,,no,
1644,1773840905,2026-03-18T06:35:05,,,no,
1939,1773841170,2026-03-18T06:39:30,,,yes,
2074,1773841286,2026-03-18T06:41:26,,,yes,
2209,1773841408,2026-03-18T06:43:28,,,yes,
2682,1773841827,2026-03-18T06:50:27,,,yes,
2945,1773842058,2026-03-18T06:54:18,,,yes,
3197,1773842294,2026-03-18T06:58:14,,,yes,
3764,1773842734,2026-03-18T07:05:34,,,yes,
3909,1773842836,2026-03-18T07:07:16,,,yes,
5329,1773843999,2026-03-18T07:26:39,,,yes,
5519,1773844172,2026-03-18T07:29:32,,,yes,
5898,1773844447,2026-03-18T07:34:07,,,yes,
5910,1773844456,2026-03-18T07:34:16,,,yes,
5925,1773844470,2026-03-18T07:34:30,,,yes,
5985,1773844517,2026-03-18T07:35:17,,,yes,
6121,1773844626,2026-03-18T07:37:06,,,yes,
6490,1773844893,2026-03-18T07:41:33,,,yes,
6621,1773844985,2026-03-18T07:43:05,,,yes,
6622,1773844986,2026-03-18T07:43:06,,,yes,
8490,1773846283,2026-03-18T08:04:43,,,no,
8491,1773846283,2026-03-18T08:04:43,,,no,
8492,1773846283,2026-03-18T08:04:43,,,no,
8493,1773846283,2026-03-18T08:04:43,,,no,
8494,1773846283,2026-03-18T08:04:43,,,no,
8495,1773846283,2026-03-18T08:04:43,,,no,
8696,1773846436,2026-03-18T08:07:16,,,yes,
8773,1773846487,2026-03-18T08:08:07,,,yes,
9270,1773846833,2026-03-18T08:13:53,,,yes,
10522,1773847634,2026-03-18T08:27:14,,,yes,
11284,1773848088,2026-03-18T08:34:48,,,yes,
11983,1773848542,2026-03-18T08:42:22,,,yes,
12853,1773849055,2026-03-18T08:50:55,,,yes,
13106,1773849208,2026-03-18T08:53:28,,,yes,
13623,1773849502,2026-03-18T08:58:22,,,yes,
13661,1773849524,2026-03-18T08:58:44,,,yes,
14559,1773850019,2026-03-18T09:06:59,,,yes,
14582,1773850037,2026-03-18T09:07:17,,,yes,
15747,1773850660,2026-03-18T09:17:40,,,yes,
16425,1773851029,2026-03-18T09:23:49,,,yes,
16491,1773851056,2026-03-18T09:24:16,,,yes,
16950,1773851273,2026-03-18T09:27:53,,,yes,
17686,1773851661,2026-03-18T09:34:21,,,yes,
17980,1773851806,2026-03-18T09:36:46,,,yes,
18714,1773852150,2026-03-18T09:42:30,,,yes,
18720,1773852153,2026-03-18T09:42:33,,,yes,
19061,1773852307,2026-03-18T09:45:07,,,yes,
19522,1773852498,2026-03-18T09:48:18,,,yes,
20022,1773852720,2026-03-18T09:52:00,,,yes,
20398,1773852864,2026-03-18T09:54:24,,,yes,
20399,1773852864,2026-03-18T09:54:24,,,yes,
20668,1773852979,2026-03-18T09:56:19,,,yes,
20854,1773853039,2026-03-18T09:57:19,,,yes,
21377,1773853244,2026-03-18T10:00:44,,,no,
21475,1773853274,2026-03-18T10:01:14,,,yes,
21657,1773853333,2026-03-18T10:02:13,,,yes,
22093,1773853479,2026-03-18T10:04:39,,,yes,
23715,1773853918,2026-03-18T10:11:58,,,yes,
24407,1773854095,2026-03-18T10:14:55,,,yes,
27279,1773854779,2026-03-18T10:26:19,,,yes,
29515,1773855287,2026-03-18T10:34:47,,,yes,
29763,1773855343,2026-03-18T10:35:43,,,yes,
31204,1773855576,2026-03-18T10:39:36,,,yes,
34025,1773855986,2026-03-18T10:46:26,,,yes,
39756,1773856788,2026-03-18T10:59:48,,,yes,
41758,1773857005,2026-03-18T11:03:25,,,yes,
45809,1773857620,2026-03-18T11:13:40,,,yes,
47906,1773857815,2026-03-18T11:16:55,,,yes,
52560,1773858402,2026-03-18T11:26:42,,,yes,
65949,1773860203,2026-03-18T11:56:43,,,yes,
66562,1773860272,2026-03-18T11:57:52,,,yes,
66601,1773860278,2026-03-18T11:57:58,,,yes,
73088,1773860929,2026-03-18T12:08:49,,,yes,
74144,1773861071,2026-03-18T12:11:11,,,yes,
77546,1773861523,2026-03-18T12:18:43,,,yes,
80723,1773861978,2026-03-18T12:26:18,,,yes,
83606,1773862449,2026-03-18T12:34:09,,,yes,
