Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
213,1773839400,2026-03-18T06:10:00,,,yes,
227,1773839414,2026-03-18T06:10:14,,,yes,
443,1773839646,2026-03-18T06:14:06,,,yes,
847,1773840043,2026-03-18T06:20:43,,,yes,
2156,1773841362,2026-03-18T06:42:42,,,yes,
2165,1773841366,2026-03-18T06:42:46,,,yes,
2210,1773841408,2026-03-18T06:43:28,,,yes,
2273,1773841484,2026-03-18T06:44:44,,,yes,
3268,1773842362,2026-03-18T06:59:22,,,yes,
3269,1773842362,2026-03-18T06:59:22,,,yes,
3270,1773842362,2026-03-18T06:59:22,,,yes,
3271,1773842362,2026-03-18T06:59:22,,,yes,
3580,1773842613,2026-03-18T07:03:33,,,yes,
3755,1773842729,2026-03-18T07:05:29,,,yes,
3902,1773842830,2026-03-18T07:07:10,,,yes,
4025,1773842944,2026-03-18T07:09:04,,,yes,
4095,1773843001,2026-03-18T07:10:01,,,yes,
4623,1773843402,2026-03-18T07:16:42,,,yes,
5354,1773844020,2026-03-18T07:27:00,,,no,
5455,1773844104,2026-03-18T07:28:24,,,yes,
5478,1773844126,2026-03-18T07:28:46,,,yes,
5499,1773844149,2026-03-18T07:29:09,,,yes,
5747,1773844323,2026-03-18T07:32:03,,,yes,
6143,1773844638,2026-03-18T07:37:18,,,yes,
6437,1773844853,2026-03-18T07:40:53,,,yes,
6524,1773844921,2026-03-18T07:42:01,,,yes,
6533,1773844930,2026-03-18T07:42:10,,,yes,
6714,1773845049,2026-03-18T07:44:09,,,yes,
7242,1773845435,2026-03-18T07:50:35,,,yes,
7320,1773845485,2026-03-18T07:51:25,,,yes,
7414,1773845551,2026-03-18T07:52:31,,,yes,
7508,1773845596,2026-03-18T07:53:16,,,yes,
7534,1773845612,2026-03-18T07:53:32,,,yes,
7627,1773845682,2026-03-18T07:54:42,,,yes,
7736,1773845759,2026-03-18T07:55:59,,,yes,
7783,1773845789,2026-03-18T07:56:29,,,yes,
7937,1773845895,2026-03-18T07:58:15,,,yes,
8067,1773845993,2026-03-18T07:59:53,,,yes,
8189,1773846073,2026-03-18T08:01:13,,,yes,
9031,1773846677,2026-03-18T08:11:17,,,yes,
9128,1773846752,2026-03-18T08:12:32,,,yes,
9477,1773846978,2026-03-18T08:16:18,,,yes,
9845,1773847217,2026-03-18T08:20:17,,,yes,
9957,1773847289,2026-03-18T08:21:29,,,yes,
10003,1773847328,2026-03-18T08:22:08,,,yes,
10134,1773847412,2026-03-18T08:23:32,,,yes,
10467,1773847607,2026-03-18T08:26:47,,,yes,
10943,1773847863,2026-03-18T08:31:03,,,yes,
11098,1773847965,2026-03-18T08:32:45,,,yes,
11298,1773848097,2026-03-18T08:34:57,,,yes,
11365,1773848141,2026-03-18T08:35:41,,,yes,
11574,1773848296,2026-03-18T08:38:16,,,yes,
11620,1773848328,2026-03-18T08:38:48,,,yes,
11825,1773848440,2026-03-18T08:40:40,,,yes,
12052,1773848579,2026-03-18T08:42:59,,,yes,
12500,1773848874,2026-03-18T08:47:54,,,yes,
12834,1773849049,2026-03-18T08:50:49,,,yes,
12898,1773849086,2026-03-18T08:51:26,,,yes,
12994,1773849142,2026-03-18T08:52:22,,,yes,
13604,1773849496,2026-03-18T08:58:16,,,yes,
13605,1773849496,2026-03-18T08:58:16,,,yes,
13982,1773849687,2026-03-18T09:01:27,,,yes,
14413,1773849944,2026-03-18T09:05:44,,,yes,
14429,1773849953,2026-03-18T09:05:53,,,yes,
14751,1773850132,2026-03-18T09:08:52,,,yes,
14784,1773850146,2026-03-18T09:09:06,,,yes,
15566,1773850555,2026-03-18T09:15:55,,,yes,
15643,1773850597,2026-03-18T09:16:37,,,yes,
15690,1773850625,2026-03-18T09:17:05,,,yes,
15980,1773850800,2026-03-18T09:20:00,,,yes,
17628,1773851636,2026-03-18T09:33:56,,,yes,
18290,1773851946,2026-03-18T09:39:06,,,yes,
18693,1773852142,2026-03-18T09:42:22,,,yes,
18741,1773852164,2026-03-18T09:42:44,,,yes,
18798,1773852191,2026-03-18T09:43:11,,,yes,
18956,1773852253,2026-03-18T09:44:13,,,yes,
19037,1773852292,2026-03-18T09:44:52,,,yes,
19318,1773852421,2026-03-18T09:47:01,,,yes,
19500,1773852489,2026-03-18T09:48:09,,,yes,
19746,1773852600,2026-03-18T09:50:00,,,yes,
21378,1773853244,2026-03-18T10:00:44,,,yes,
21379,1773853244,2026-03-18T10:00:44,,,yes,
21380,1773853244,2026-03-18T10:00:44,,,yes,
21461,1773853269,2026-03-18T10:01:09,,,no,
21474,1773853273,2026-03-18T10:01:13,,,no,
21730,1773853358,2026-03-18T10:02:38,,,yes,
21856,1773853403,2026-03-18T10:03:23,,,yes,
21857,1773853403,2026-03-18T10:03:23,,,yes,
21858,1773853403,2026-03-18T10:03:23,,,yes,
21859,1773853403,2026-03-18T10:03:23,,,yes,
21860,1773853403,2026-03-18T10:03:23,,,yes,
22429,1773853582,2026-03-18T10:06:22,,,yes,
22430,1773853582,2026-03-18T10:06:22,,,yes,
22453,1773853590,2026-03-18T10:06:30,,,no,
23793,1773853940,2026-03-18T10:12:20,,,yes,
24129,1773854033,2026-03-18T10:13:53,,,yes,
24895,1773854226,2026-03-18T10:17:06,,,yes,
25377,1773854340,2026-03-18T10:19:00,,,yes,
25459,1773854355,2026-03-18T10:19:15,,,yes,
26763,1773854652,2026-03-18T10:24:12,,,yes,
26976,1773854702,2026-03-18T10:25:02,,,yes,
27091,1773854731,2026-03-18T10:25:31,,,yes,
27656,1773854863,2026-03-18T10:27:43,,,yes,
27843,1773854906,2026-03-18T10:28:26,,,yes,
28150,1773854964,2026-03-18T10:29:24,,,yes,
28468,1773855047,2026-03-18T10:30:47,,,yes,
28780,1773855121,2026-03-18T10:32:01,,,yes,
29908,1773855378,2026-03-18T10:36:18,,,yes,
30792,1773855522,2026-03-18T10:38:42,,,yes,
32699,1773855800,2026-03-18T10:43:20,,,yes,
33095,1773855857,2026-03-18T10:44:17,,,yes,
33521,1773855919,2026-03-18T10:45:19,,,yes,
33632,1773855933,2026-03-18T10:45:33,,,yes,
34797,1773856085,2026-03-18T10:48:05,,,yes,
36469,1773856301,2026-03-18T10:51:41,,,yes,
37135,1773856375,2026-03-18T10:52:55,,,yes,
37289,1773856397,2026-03-18T10:53:17,,,yes,
37682,1773856459,2026-03-18T10:54:19,,,yes,
38163,1773856538,2026-03-18T10:55:38,,,yes,
38663,1773856615,2026-03-18T10:56:55,,,yes,
39541,1773856761,2026-03-18T10:59:21,,,yes,
40595,1773856876,2026-03-18T11:01:16,,,no,
42017,1773857028,2026-03-18T11:03:48,,,yes,
42804,1773857126,2026-03-18T11:05:26,,,yes,
44915,1773857477,2026-03-18T11:11:17,,,yes,
47771,1773857799,2026-03-18T11:16:39,,,yes,
47927,1773857817,2026-03-18T11:16:57,,,yes,
48118,1773857845,2026-03-18T11:17:25,,,yes,
48462,1773857889,2026-03-18T11:18:09,,,yes,
49685,1773858048,2026-03-18T11:20:48,,,yes,
49825,1773858066,2026-03-18T11:21:06,,,yes,
50295,1773858127,2026-03-18T11:22:07,,,yes,
50344,1773858133,2026-03-18T11:22:13,,,yes,
50554,1773858166,2026-03-18T11:22:46,,,yes,
50982,1773858224,2026-03-18T11:23:44,,,yes,
53058,1773858483,2026-03-18T11:28:03,,,yes,
53371,1773858531,2026-03-18T11:28:51,,,yes,
56434,1773858917,2026-03-18T11:35:17,,,yes,
56925,1773858957,2026-03-18T11:35:57,,,yes,
57517,1773859018,2026-03-18T11:36:58,,,yes,
58407,1773859107,2026-03-18T11:38:27,,,yes,
58650,1773859141,2026-03-18T11:39:01,,,yes,
58651,1773859141,2026-03-18T11:39:01,,,yes,
60095,1773859302,2026-03-18T11:41:42,,,no,
63216,1773859802,2026-03-18T11:50:02,,,yes,
66431,1773860255,2026-03-18T11:57:35,,,yes,
71598,1773860758,2026-03-18T12:05:58,,,yes,
72527,1773860862,2026-03-18T12:07:42,,,yes,
72985,1773860917,2026-03-18T12:08:37,,,yes,
73335,1773860961,2026-03-18T12:09:21,,,yes,
73756,1773861022,2026-03-18T12:10:22,,,no,
73867,1773861036,2026-03-18T12:10:36,,,yes,
74737,1773861172,2026-03-18T12:12:52,,,yes,
76787,1773861433,2026-03-18T12:17:13,,,yes,
78213,1773861612,2026-03-18T12:20:12,,,yes,
78622,1773861666,2026-03-18T12:21:06,,,yes,
79488,1773861793,2026-03-18T12:23:13,,,yes,
79789,1773861833,2026-03-18T12:23:53,,,yes,
82106,1773862229,2026-03-18T12:30:29,,,yes,
82675,1773862299,2026-03-18T12:31:39,,,yes,
85755,1773862846,2026-03-18T12:40:46,,,yes,
86521,1773862970,2026-03-18T12:42:50,,,yes,
87008,1773863047,2026-03-18T12:44:07,,,yes,
87434,1773863097,2026-03-18T12:44:57,,,yes,
87719,1773863132,2026-03-18T12:45:32,,,yes,
89468,1773863346,2026-03-18T12:49:06,,,yes,
90270,1773863461,2026-03-18T12:51:01,,,yes,
90457,1773863487,2026-03-18T12:51:27,,,yes,
90910,1773863567,2026-03-18T12:52:47,,,yes,
91274,1773863615,2026-03-18T12:53:35,,,yes,
93126,1773863862,2026-03-18T12:57:42,,,yes,
93779,1773863939,2026-03-18T12:58:59,,,yes,
94209,1773863990,2026-03-18T12:59:50,,,yes,
94299,1773864000,2026-03-18T13:00:00,,,yes,
94906,1773864070,2026-03-18T13:01:10,,,yes,
96274,1773864212,2026-03-18T13:03:32,,,yes,
97332,1773864325,2026-03-18T13:05:25,,,yes,
99127,1773864487,2026-03-18T13:08:07,,,yes,
100324,1773864632,2026-03-18T13:10:32,,,no,
100491,1773864657,2026-03-18T13:10:57,,,yes,
100492,1773864657,2026-03-18T13:10:57,,,yes,
100493,1773864657,2026-03-18T13:10:57,,,yes,
100494,1773864657,2026-03-18T13:10:57,,,yes,
100495,1773864657,2026-03-18T13:10:57,,,yes,
101730,1773864814,2026-03-18T13:13:34,,,yes,
101731,1773864814,2026-03-18T13:13:34,,,yes,
101732,1773864814,2026-03-18T13:13:34,,,yes,
102944,1773864986,2026-03-18T13:16:26,,,yes,
104679,1773865227,2026-03-18T13:20:27,,,yes,
104712,1773865231,2026-03-18T13:20:31,,,yes,
104713,1773865231,2026-03-18T13:20:31,,,yes,
106075,1773865405,2026-03-18T13:23:25,,,yes,
107805,1773865561,2026-03-18T13:26:01,,,yes,
107806,1773865561,2026-03-18T13:26:01,,,yes,
108767,1773865652,2026-03-18T13:27:32,,,yes,
111424,1773865905,2026-03-18T13:31:45,,,yes,
113876,1773866159,2026-03-18T13:35:59,,,yes,
114057,1773866178,2026-03-18T13:36:18,,,yes,
114607,1773866245,2026-03-18T13:37:25,,,yes,
114811,1773866273,2026-03-18T13:37:53,,,yes,
114932,1773866291,2026-03-18T13:38:11,,,yes,
115258,1773866337,2026-03-18T13:38:57,,,yes,
115418,1773866353,2026-03-18T13:39:13,,,yes,
115795,1773866397,2026-03-18T13:39:57,,,yes,
116076,1773866437,2026-03-18T13:40:37,,,yes,
116425,1773866500,2026-03-18T13:41:40,,,yes,
116757,1773866544,2026-03-18T13:42:24,,,yes,
116791,1773866550,2026-03-18T13:42:30,,,yes,
116866,1773866562,2026-03-18T13:42:42,,,yes,
116867,1773866562,2026-03-18T13:42:42,,,yes,
117477,1773866663,2026-03-18T13:44:23,,,yes,
117669,1773866691,2026-03-18T13:44:51,,,yes,
118187,1773866784,2026-03-18T13:46:24,,,yes,
120724,1773867122,2026-03-18T13:52:02,,,yes,
121259,1773867203,2026-03-18T13:53:23,,,yes,
121437,1773867237,2026-03-18T13:53:57,,,yes,
122055,1773867327,2026-03-18T13:55:27,,,yes,
122247,1773867360,2026-03-18T13:56:00,,,yes,
122293,1773867367,2026-03-18T13:56:07,,,yes,
122486,1773867391,2026-03-18T13:56:31,,,yes,
122634,1773867414,2026-03-18T13:56:54,,,yes,
122861,1773867451,2026-03-18T13:57:31,,,yes,
123338,1773867526,2026-03-18T13:58:46,,,yes,
123368,1773867530,2026-03-18T13:58:50,,,yes,
123814,1773867603,2026-03-18T14:00:03,,,yes,
124125,1773867651,2026-03-18T14:00:51,,,yes,
124805,1773867760,2026-03-18T14:02:40,,,yes,
125598,1773867858,2026-03-18T14:04:18,,,yes,
125900,1773867899,2026-03-18T14:04:59,,,yes,
126712,1773867978,2026-03-18T14:06:18,,,yes,
127823,1773868093,2026-03-18T14:08:13,,,yes,
128574,1773868180,2026-03-18T14:09:40,,,yes,
129259,1773868248,2026-03-18T14:10:48,,,yes,
129927,1773868304,2026-03-18T14:11:44,,,yes,
133465,1773868629,2026-03-18T14:17:09,,,yes,
133531,1773868636,2026-03-18T14:17:16,,,yes,
133612,1773868646,2026-03-18T14:17:26,,,yes,
133991,1773868693,2026-03-18T14:18:13,,,yes,
134502,1773868762,2026-03-18T14:19:22,,,yes,
135907,1773868949,2026-03-18T14:22:29,,,yes,
138004,1773869181,2026-03-18T14:26:21,,,yes,
138880,1773869292,2026-03-18T14:28:12,,,yes,
139181,1773869325,2026-03-18T14:28:45,,,no,
139832,1773869406,2026-03-18T14:30:06,,,yes,
139903,1773869416,2026-03-18T14:30:16,,,yes,
140473,1773869490,2026-03-18T14:31:30,,,yes,
142722,1773869677,2026-03-18T14:34:37,,,yes,
144392,1773869782,2026-03-18T14:36:22,,,yes,
147310,1773870065,2026-03-18T14:41:05,,,yes,
147324,1773870066,2026-03-18T14:41:06,,,yes,
151287,1773870420,2026-03-18T14:47:00,,,yes,
153024,1773870504,2026-03-18T14:48:24,,,yes,
156912,1773870711,2026-03-18T14:51:51,,,no,
157003,1773870718,2026-03-18T14:51:58,,,no,
158417,1773870852,2026-03-18T14:54:12,,,yes,
158444,1773870858,2026-03-18T14:54:18,,,yes,
158650,1773870892,2026-03-18T14:54:52,,,yes,
158897,1773870920,2026-03-18T14:55:20,,,yes,
159045,1773870935,2026-03-18T14:55:35,,,yes,
159046,1773870935,2026-03-18T14:55:35,,,yes,
159081,1773870941,2026-03-18T14:55:41,,,yes,
160432,1773871143,2026-03-18T14:59:03,,,yes,
160457,1773871151,2026-03-18T14:59:11,,,yes,
160550,1773871174,2026-03-18T14:59:34,,,yes,
160551,1773871174,2026-03-18T14:59:34,,,yes,
160790,1773871217,2026-03-18T15:00:17,,,yes,
160828,1773871226,2026-03-18T15:00:26,,,yes,
160960,1773871249,2026-03-18T15:00:49,,,yes,
161120,1773871274,2026-03-18T15:01:14,,,yes,
162384,1773871514,2026-03-18T15:05:14,,,yes,
162501,1773871536,2026-03-18T15:05:36,,,yes,
163242,1773871689,2026-03-18T15:08:09,,,yes,
163324,1773871709,2026-03-18T15:08:29,,,yes,
163569,1773871762,2026-03-18T15:09:22,,,yes,
163685,1773871779,2026-03-18T15:09:39,,,yes,
164615,1773871956,2026-03-18T15:12:36,,,yes,
165638,1773872129,2026-03-18T15:15:29,,,yes,
165710,1773872138,2026-03-18T15:15:38,,,yes,
165975,1773872172,2026-03-18T15:16:12,,,yes,
166229,1773872210,2026-03-18T15:16:50,,,yes,
166709,1773872287,2026-03-18T15:18:07,,,yes,
166979,1773872329,2026-03-18T15:18:49,,,yes,
167382,1773872384,2026-03-18T15:19:44,,,yes,
168892,1773872550,2026-03-18T15:22:30,,,yes,
169184,1773872579,2026-03-18T15:22:59,,,yes,
170054,1773872665,2026-03-18T15:24:25,,,yes,
170367,1773872697,2026-03-18T15:24:57,,,yes,
