Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
33,1773839149,2026-03-18T06:05:49,,,yes,
39,1773839154,2026-03-18T06:05:54,,,yes,
46,1773839164,2026-03-18T06:06:04,,,yes,
52,1773839178,2026-03-18T06:06:18,,,yes,
66,1773839205,2026-03-18T06:06:45,,,yes,
98,1773839240,2026-03-18T06:07:20,,,yes,
122,1773839276,2026-03-18T06:07:56,,,yes,
127,1773839292,2026-03-18T06:08:12,,,yes,
132,1773839295,2026-03-18T06:08:15,,,yes,
142,1773839307,2026-03-18T06:08:27,,,yes,
150,1773839324,2026-03-18T06:08:44,,,yes,
151,1773839324,2026-03-18T06:08:44,,,yes,
173,1773839343,2026-03-18T06:09:03,,,yes,
195,1773839378,2026-03-18T06:09:38,,,yes,
201,1773839384,2026-03-18T06:09:44,,,yes,
206,1773839390,2026-03-18T06:09:50,,,yes,
210,1773839397,2026-03-18T06:09:57,,,yes,
230,1773839416,2026-03-18T06:10:16,,,yes,
235,1773839426,2026-03-18T06:10:26,,,yes,
240,1773839431,2026-03-18T06:10:31,,,yes,
243,1773839440,2026-03-18T06:10:40,,,yes,
262,1773839467,2026-03-18T06:11:07,,,yes,
283,1773839490,2026-03-18T06:11:30,,,yes,
292,1773839496,2026-03-18T06:11:36,,,yes,
306,1773839511,2026-03-18T06:11:51,,,yes,
310,1773839516,2026-03-18T06:11:56,,,yes,
323,1773839530,2026-03-18T06:12:10,,,yes,
338,1773839544,2026-03-18T06:12:24,,,yes,
398,1773839609,2026-03-18T06:13:29,,,no,
400,1773839610,2026-03-18T06:13:30,,,yes,
406,1773839614,2026-03-18T06:13:34,,,yes,
410,1773839616,2026-03-18T06:13:36,,,yes,
414,1773839620,2026-03-18T06:13:40,,,yes,
430,1773839635,2026-03-18T06:13:55,,,yes,
444,1773839647,2026-03-18T06:14:07,,,yes,
448,1773839650,2026-03-18T06:14:10,,,yes,
480,1773839677,2026-03-18T06:14:37,,,yes,
497,1773839697,2026-03-18T06:14:57,,,yes,
507,1773839707,2026-03-18T06:15:07,,,yes,
514,1773839713,2026-03-18T06:15:13,,,yes,
521,1773839725,2026-03-18T06:15:25,,,yes,
532,1773839738,2026-03-18T06:15:38,,,yes,
533,1773839739,2026-03-18T06:15:39,,,yes,
536,1773839740,2026-03-18T06:15:40,,,yes,
541,1773839741,2026-03-18T06:15:41,,,yes,
652,1773839837,2026-03-18T06:17:17,,,yes,
655,1773839838,2026-03-18T06:17:18,,,yes,
656,1773839839,2026-03-18T06:17:19,,,yes,
661,1773839845,2026-03-18T06:17:25,,,yes,
693,1773839876,2026-03-18T06:17:56,,,yes,
697,1773839879,2026-03-18T06:17:59,,,yes,
703,1773839884,2026-03-18T06:18:04,,,yes,
717,1773839894,2026-03-18T06:18:14,,,yes,
722,1773839900,2026-03-18T06:18:20,,,yes,
756,1773839942,2026-03-18T06:19:02,,,yes,
762,1773839946,2026-03-18T06:19:06,,,yes,
765,1773839950,2026-03-18T06:19:10,,,yes,
