Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
61,1774011956,2026-03-20T06:05:56,,,yes,
113,1774011979,2026-03-20T06:06:19,,,yes,
169,1774011994,2026-03-20T06:06:34,,,yes,
183,1774012001,2026-03-20T06:06:41,,,yes,
226,1774012013,2026-03-20T06:06:53,,,yes,
230,1774012015,2026-03-20T06:06:55,,,yes,
255,1774012024,2026-03-20T06:07:04,,,yes,
256,1774012024,2026-03-20T06:07:04,,,yes,
269,1774012028,2026-03-20T06:07:08,,,yes,
271,1774012029,2026-03-20T06:07:09,,,yes,
302,1774012044,2026-03-20T06:07:24,,,yes,
369,1774012063,2026-03-20T06:07:43,,,yes,
402,1774012073,2026-03-20T06:07:53,,,yes,
441,1774012087,2026-03-20T06:08:07,,,yes,
508,1774012110,2026-03-20T06:08:30,,,yes,
521,1774012114,2026-03-20T06:08:34,,,yes,
531,1774012117,2026-03-20T06:08:37,,,yes,
539,1774012121,2026-03-20T06:08:41,,,yes,
556,1774012127,2026-03-20T06:08:47,,,yes,
573,1774012132,2026-03-20T06:08:52,,,yes,
615,1774012150,2026-03-20T06:09:10,,,yes,
672,1774012171,2026-03-20T06:09:31,,,yes,
729,1774012192,2026-03-20T06:09:52,,,yes,
825,1774012224,2026-03-20T06:10:24,,,yes,
830,1774012225,2026-03-20T06:10:25,,,yes,
864,1774012235,2026-03-20T06:10:35,,,yes,
905,1774012250,2026-03-20T06:10:50,,,yes,
938,1774012262,2026-03-20T06:11:02,,,yes,
946,1774012265,2026-03-20T06:11:05,,,yes,
1008,1774012287,2026-03-20T06:11:27,,,yes,
1020,1774012292,2026-03-20T06:11:32,,,yes,
1061,1774012310,2026-03-20T06:11:50,,,yes,
1099,1774012323,2026-03-20T06:12:03,,,yes,
1101,1774012323,2026-03-20T06:12:03,,,yes,
1105,1774012325,2026-03-20T06:12:05,,,yes,
1109,1774012328,2026-03-20T06:12:08,,,yes,
1216,1774012354,2026-03-20T06:12:34,,,yes,
1220,1774012357,2026-03-20T06:12:37,,,yes,
1249,1774012365,2026-03-20T06:12:45,,,yes,
1325,1774012389,2026-03-20T06:13:09,,,yes,
1350,1774012397,2026-03-20T06:13:17,,,yes,
1413,1774012420,2026-03-20T06:13:40,,,yes,
1417,1774012421,2026-03-20T06:13:41,,,yes,
1435,1774012425,2026-03-20T06:13:45,,,yes,
1436,1774012425,2026-03-20T06:13:45,,,yes,
1438,1774012426,2026-03-20T06:13:46,,,yes,
1441,1774012426,2026-03-20T06:13:46,,,yes,
1467,1774012434,2026-03-20T06:13:54,,,yes,
1502,1774012448,2026-03-20T06:14:08,,,yes,
1518,1774012452,2026-03-20T06:14:12,,,yes,
1600,1774012483,2026-03-20T06:14:43,,,yes,
1623,1774012492,2026-03-20T06:14:52,,,yes,
1668,1774012505,2026-03-20T06:15:05,,,yes,
1756,1774012535,2026-03-20T06:15:35,,,yes,
