Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
6,1774011935,2026-03-20T06:05:35,,,yes,
42,1774011950,2026-03-20T06:05:50,,,yes,
139,1774011984,2026-03-20T06:06:24,,,yes,
159,1774011992,2026-03-20T06:06:32,,,yes,
197,1774012005,2026-03-20T06:06:45,,,yes,
261,1774012027,2026-03-20T06:07:07,,,yes,
284,1774012035,2026-03-20T06:07:15,,,yes,
311,1774012048,2026-03-20T06:07:28,,,yes,
322,1774012052,2026-03-20T06:07:32,,,yes,
421,1774012082,2026-03-20T06:08:02,,,yes,
458,1774012094,2026-03-20T06:08:14,,,yes,
512,1774012112,2026-03-20T06:08:32,,,yes,
682,1774012176,2026-03-20T06:09:36,,,yes,
683,1774012176,2026-03-20T06:09:36,,,yes,
801,1774012217,2026-03-20T06:10:17,,,yes,
812,1774012220,2026-03-20T06:10:20,,,yes,
829,1774012224,2026-03-20T06:10:24,,,yes,
841,1774012230,2026-03-20T06:10:30,,,yes,
843,1774012230,2026-03-20T06:10:30,,,no,
844,1774012230,2026-03-20T06:10:30,,,no,
845,1774012230,2026-03-20T06:10:30,,,no,
846,1774012230,2026-03-20T06:10:30,,,no,
847,1774012230,2026-03-20T06:10:30,,,no,
848,1774012230,2026-03-20T06:10:30,,,no,
849,1774012230,2026-03-20T06:10:30,,,no,
900,1774012247,2026-03-20T06:10:47,,,yes,
913,1774012252,2026-03-20T06:10:52,,,yes,
960,1774012270,2026-03-20T06:11:10,,,yes,
1040,1774012301,2026-03-20T06:11:41,,,yes,
1070,1774012312,2026-03-20T06:11:52,,,yes,
1110,1774012329,2026-03-20T06:12:09,,,yes,
1111,1774012329,2026-03-20T06:12:09,,,yes,
1154,1774012337,2026-03-20T06:12:17,,,yes,
1159,1774012340,2026-03-20T06:12:20,,,yes,
1229,1774012359,2026-03-20T06:12:39,,,yes,
1309,1774012384,2026-03-20T06:13:04,,,yes,
1347,1774012395,2026-03-20T06:13:15,,,yes,
1356,1774012398,2026-03-20T06:13:18,,,yes,
1366,1774012401,2026-03-20T06:13:21,,,yes,
1384,1774012410,2026-03-20T06:13:30,,,yes,
1388,1774012411,2026-03-20T06:13:31,,,yes,
1432,1774012424,2026-03-20T06:13:44,,,yes,
1495,1774012446,2026-03-20T06:14:06,,,yes,
1506,1774012449,2026-03-20T06:14:09,,,yes,
1519,1774012452,2026-03-20T06:14:12,,,yes,
1521,1774012452,2026-03-20T06:14:12,,,yes,
1528,1774012455,2026-03-20T06:14:15,,,yes,
1529,1774012455,2026-03-20T06:14:15,,,yes,
1533,1774012457,2026-03-20T06:14:17,,,yes,
1564,1774012469,2026-03-20T06:14:29,,,yes,
1588,1774012479,2026-03-20T06:14:39,,,yes,
1595,1774012481,2026-03-20T06:14:41,,,yes,
1624,1774012492,2026-03-20T06:14:52,,,yes,
1630,1774012494,2026-03-20T06:14:54,,,yes,
1694,1774012514,2026-03-20T06:15:14,,,yes,
1725,1774012525,2026-03-20T06:15:25,,,yes,
1737,1774012529,2026-03-20T06:15:29,,,yes,
1831,1774012558,2026-03-20T06:15:58,,,yes,
1844,1774012563,2026-03-20T06:16:03,,,yes,
1961,1774012610,2026-03-20T06:16:50,,,yes,
2000,1774012622,2026-03-20T06:17:02,,,yes,
2006,1774012625,2026-03-20T06:17:05,,,yes,
2021,1774012629,2026-03-20T06:17:09,,,yes,
2110,1774012665,2026-03-20T06:17:45,,,yes,
2145,1774012676,2026-03-20T06:17:56,,,yes,
2174,1774012684,2026-03-20T06:18:04,,,yes,
2201,1774012692,2026-03-20T06:18:12,,,yes,
2228,1774012702,2026-03-20T06:18:22,,,yes,
2231,1774012703,2026-03-20T06:18:23,,,yes,
2305,1774012722,2026-03-20T06:18:42,,,yes,
2372,1774012741,2026-03-20T06:19:01,,,yes,
2381,1774012743,2026-03-20T06:19:03,,,yes,
2428,1774012757,2026-03-20T06:19:17,,,yes,
2432,1774012757,2026-03-20T06:19:17,,,yes,
2548,1774012792,2026-03-20T06:19:52,,,yes,
2568,1774012802,2026-03-20T06:20:02,,,yes,
2580,1774012806,2026-03-20T06:20:06,,,yes,
2608,1774012814,2026-03-20T06:20:14,,,yes,
2611,1774012816,2026-03-20T06:20:16,,,yes,
2649,1774012831,2026-03-20T06:20:31,,,yes,
2677,1774012840,2026-03-20T06:20:40,,,yes,
2739,1774012860,2026-03-20T06:21:00,,,yes,
2799,1774012881,2026-03-20T06:21:21,,,yes,
2802,1774012882,2026-03-20T06:21:22,,,yes,
2812,1774012884,2026-03-20T06:21:24,,,yes,
2840,1774012898,2026-03-20T06:21:38,,,yes,
2850,1774012901,2026-03-20T06:21:41,,,yes,
2851,1774012901,2026-03-20T06:21:41,,,yes,
2890,1774012914,2026-03-20T06:21:54,,,yes,
2908,1774012920,2026-03-20T06:22:00,,,yes,
2953,1774012939,2026-03-20T06:22:19,,,yes,
2959,1774012940,2026-03-20T06:22:20,,,yes,
3019,1774012958,2026-03-20T06:22:38,,,yes,
3031,1774012961,2026-03-20T06:22:41,,,yes,
3077,1774012975,2026-03-20T06:22:55,,,yes,
3122,1774012989,2026-03-20T06:23:09,,,yes,
