Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
771,1774098539,2026-03-21T06:08:59,,,yes,
1019,1774098602,2026-03-21T06:10:02,,,no,
1923,1774098810,2026-03-21T06:13:30,,,yes,
2395,1774098898,2026-03-21T06:14:58,,,yes,
2466,1774098917,2026-03-21T06:15:17,,,yes,
4938,1774099649,2026-03-21T06:27:29,,,no,
5210,1774099726,2026-03-21T06:28:46,,,yes,
5333,1774099764,2026-03-21T06:29:24,,,no,
5472,1774099811,2026-03-21T06:30:11,,,yes,
7370,1774100368,2026-03-21T06:39:28,,,no,
7521,1774100411,2026-03-21T06:40:11,,,yes,
7840,1774100504,2026-03-21T06:41:44,,,no,
7931,1774100531,2026-03-21T06:42:11,,,yes,
8141,1774100593,2026-03-21T06:43:13,,,no,
8389,1774100656,2026-03-21T06:44:16,,,yes,
8592,1774100717,2026-03-21T06:45:17,,,no,
8599,1774100720,2026-03-21T06:45:20,,,no,
8657,1774100739,2026-03-21T06:45:39,,,yes,
9037,1774100842,2026-03-21T06:47:22,,,yes,
9866,1774101099,2026-03-21T06:51:39,,,no,
9942,1774101121,2026-03-21T06:52:01,,,yes,
10125,1774101170,2026-03-21T06:52:50,,,no,
10398,1774101240,2026-03-21T06:54:00,,,yes,
17510,1774102369,2026-03-21T07:12:49,,,yes,
39314,1774105206,2026-03-21T08:00:06,,,yes,
41330,1774105521,2026-03-21T08:05:21,,,no,
41530,1774105549,2026-03-21T08:05:49,,,yes,
50765,1774106853,2026-03-21T08:27:33,,,yes,
87295,1774110269,2026-03-21T09:24:29,,,yes,
