Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
8,1774184736,2026-03-22T06:05:36,,,yes,
31,1774184743,2026-03-22T06:05:43,,,yes,
36,1774184746,2026-03-22T06:05:46,,,yes,
184,1774184798,2026-03-22T06:06:38,,,yes,
251,1774184815,2026-03-22T06:06:55,,,yes,
398,1774184865,2026-03-22T06:07:45,,,yes,
479,1774184885,2026-03-22T06:08:05,,,yes,
512,1774184895,2026-03-22T06:08:15,,,yes,
563,1774184910,2026-03-22T06:08:30,,,no,
1175,1774184961,2026-03-22T06:09:21,,,yes,
1189,1774184966,2026-03-22T06:09:26,,,no,
1459,1774185021,2026-03-22T06:10:21,,,yes,
1474,1774185026,2026-03-22T06:10:26,,,yes,
1552,1774185051,2026-03-22T06:10:51,,,yes,
1570,1774185057,2026-03-22T06:10:57,,,yes,
1582,1774185062,2026-03-22T06:11:02,,,yes,
1608,1774185070,2026-03-22T06:11:10,,,yes,
1677,1774185098,2026-03-22T06:11:38,,,yes,
1751,1774185122,2026-03-22T06:12:02,,,yes,
1760,1774185125,2026-03-22T06:12:05,,,yes,
1806,1774185138,2026-03-22T06:12:18,,,yes,
1838,1774185147,2026-03-22T06:12:27,,,no,
1997,1774185199,2026-03-22T06:13:19,,,yes,
2073,1774185223,2026-03-22T06:13:43,,,yes,
2154,1774185229,2026-03-22T06:13:49,,,yes,
2197,1774185243,2026-03-22T06:14:03,,,yes,
2224,1774185250,2026-03-22T06:14:10,,,yes,
2262,1774185261,2026-03-22T06:14:21,,,yes,
2388,1774185290,2026-03-22T06:14:50,,,yes,
2434,1774185301,2026-03-22T06:15:01,,,yes,
2469,1774185311,2026-03-22T06:15:11,,,yes,
2513,1774185323,2026-03-22T06:15:23,,,yes,
2632,1774185355,2026-03-22T06:15:55,,,yes,
2801,1774185401,2026-03-22T06:16:41,,,yes,
2887,1774185428,2026-03-22T06:17:08,,,yes,
2986,1774185448,2026-03-22T06:17:28,,,yes,
3041,1774185464,2026-03-22T06:17:44,,,no,
3076,1774185475,2026-03-22T06:17:55,,,yes,
3162,1774185500,2026-03-22T06:18:20,,,yes,
3235,1774185522,2026-03-22T06:18:42,,,yes,
3278,1774185530,2026-03-22T06:18:50,,,yes,
3416,1774185569,2026-03-22T06:19:29,,,yes,
3606,1774185612,2026-03-22T06:20:12,,,yes,
3649,1774185624,2026-03-22T06:20:24,,,yes,
3787,1774185668,2026-03-22T06:21:08,,,yes,
3905,1774185708,2026-03-22T06:21:48,,,yes,
3939,1774185721,2026-03-22T06:22:01,,,yes,
4035,1774185748,2026-03-22T06:22:28,,,yes,
4100,1774185770,2026-03-22T06:22:50,,,yes,
4210,1774185802,2026-03-22T06:23:22,,,yes,
4235,1774185808,2026-03-22T06:23:28,,,yes,
4374,1774185841,2026-03-22T06:24:01,,,yes,
4385,1774185843,2026-03-22T06:24:03,,,yes,
4500,1774185885,2026-03-22T06:24:45,,,yes,
4609,1774185917,2026-03-22T06:25:17,,,yes,
4683,1774185941,2026-03-22T06:25:41,,,yes,
4745,1774185961,2026-03-22T06:26:01,,,yes,
4832,1774185986,2026-03-22T06:26:26,,,yes,
5074,1774186043,2026-03-22T06:27:23,,,yes,
5088,1774186046,2026-03-22T06:27:26,,,yes,
5138,1774186057,2026-03-22T06:27:37,,,yes,
5195,1774186069,2026-03-22T06:27:49,,,yes,
5268,1774186086,2026-03-22T06:28:06,,,yes,
5312,1774186096,2026-03-22T06:28:16,,,yes,
5335,1774186102,2026-03-22T06:28:22,,,yes,
5413,1774186118,2026-03-22T06:28:38,,,yes,
5869,1774186232,2026-03-22T06:30:32,,,yes,
5918,1774186243,2026-03-22T06:30:43,,,yes,
6037,1774186272,2026-03-22T06:31:12,,,yes,
6044,1774186273,2026-03-22T06:31:13,,,yes,
6599,1774186333,2026-03-22T06:32:13,,,yes,
6871,1774186359,2026-03-22T06:32:39,,,yes,
7105,1774186376,2026-03-22T06:32:56,,,yes,
7111,1774186377,2026-03-22T06:32:57,,,yes,
7187,1774186385,2026-03-22T06:33:05,,,yes,
7197,1774186386,2026-03-22T06:33:06,,,yes,
7263,1774186390,2026-03-22T06:33:10,,,yes,
7425,1774186412,2026-03-22T06:33:32,,,yes,
7488,1774186423,2026-03-22T06:33:43,,,yes,
7651,1774186456,2026-03-22T06:34:16,,,yes,
7752,1774186477,2026-03-22T06:34:37,,,yes,
7948,1774186518,2026-03-22T06:35:18,,,yes,
7950,1774186519,2026-03-22T06:35:19,,,yes,
8002,1774186530,2026-03-22T06:35:30,,,yes,
8030,1774186537,2026-03-22T06:35:37,,,yes,
8040,1774186539,2026-03-22T06:35:39,,,yes,
8279,1774186594,2026-03-22T06:36:34,,,yes,
8654,1774186677,2026-03-22T06:37:57,,,yes,
8657,1774186678,2026-03-22T06:37:58,,,yes,
8705,1774186690,2026-03-22T06:38:10,,,yes,
8984,1774186749,2026-03-22T06:39:09,,,yes,
8987,1774186750,2026-03-22T06:39:10,,,yes,
8996,1774186752,2026-03-22T06:39:12,,,yes,
9044,1774186763,2026-03-22T06:39:23,,,yes,
9088,1774186774,2026-03-22T06:39:34,,,yes,
9217,1774186803,2026-03-22T06:40:03,,,yes,
9223,1774186804,2026-03-22T06:40:04,,,yes,
9264,1774186818,2026-03-22T06:40:18,,,yes,
9510,1774186883,2026-03-22T06:41:23,,,yes,
9538,1774186888,2026-03-22T06:41:28,,,yes,
9660,1774186925,2026-03-22T06:42:05,,,yes,
9709,1774186935,2026-03-22T06:42:15,,,no,
9752,1774186942,2026-03-22T06:42:22,,,yes,
9779,1774186950,2026-03-22T06:42:30,,,yes,
9819,1774186961,2026-03-22T06:42:41,,,yes,
9820,1774186961,2026-03-22T06:42:41,,,yes,
10001,1774187008,2026-03-22T06:43:28,,,yes,
10486,1774187136,2026-03-22T06:45:36,,,yes,
10530,1774187148,2026-03-22T06:45:48,,,yes,
10627,1774187162,2026-03-22T06:46:02,,,yes,
10706,1774187183,2026-03-22T06:46:23,,,yes,
10712,1774187184,2026-03-22T06:46:24,,,yes,
10785,1774187197,2026-03-22T06:46:37,,,yes,
10840,1774187211,2026-03-22T06:46:51,,,yes,
10876,1774187217,2026-03-22T06:46:57,,,no,
11022,1774187231,2026-03-22T06:47:11,,,yes,
11125,1774187238,2026-03-22T06:47:18,,,yes,
11467,1774187268,2026-03-22T06:47:48,,,yes,
11563,1774187277,2026-03-22T06:47:57,,,yes,
12062,1774187319,2026-03-22T06:48:39,,,yes,
12280,1774187331,2026-03-22T06:48:51,,,yes,
13376,1774187441,2026-03-22T06:50:41,,,yes,
13383,1774187443,2026-03-22T06:50:43,,,yes,
13421,1774187450,2026-03-22T06:50:50,,,yes,
13501,1774187461,2026-03-22T06:51:01,,,no,
13509,1774187462,2026-03-22T06:51:02,,,yes,
14022,1774187540,2026-03-22T06:52:20,,,yes,
14049,1774187546,2026-03-22T06:52:26,,,yes,
14051,1774187546,2026-03-22T06:52:26,,,yes,
14102,1774187552,2026-03-22T06:52:32,,,yes,
14358,1774187594,2026-03-22T06:53:14,,,yes,
14521,1774187617,2026-03-22T06:53:37,,,yes,
14797,1774187672,2026-03-22T06:54:32,,,yes,
15131,1774187731,2026-03-22T06:55:31,,,yes,
15276,1774187765,2026-03-22T06:56:05,,,yes,
15619,1774187848,2026-03-22T06:57:28,,,yes,
15650,1774187855,2026-03-22T06:57:35,,,yes,
15657,1774187857,2026-03-22T06:57:37,,,yes,
15666,1774187860,2026-03-22T06:57:40,,,yes,
15707,1774187869,2026-03-22T06:57:49,,,yes,
16062,1774187964,2026-03-22T06:59:24,,,yes,
16157,1774187985,2026-03-22T06:59:45,,,yes,
16185,1774187995,2026-03-22T06:59:55,,,yes,
16200,1774187997,2026-03-22T06:59:57,,,yes,
16218,1774188003,2026-03-22T07:00:03,,,yes,
16294,1774188021,2026-03-22T07:00:21,,,yes,
16334,1774188033,2026-03-22T07:00:33,,,yes,
16358,1774188039,2026-03-22T07:00:39,,,yes,
16588,1774188093,2026-03-22T07:01:33,,,yes,
16589,1774188093,2026-03-22T07:01:33,,,yes,
16693,1774188120,2026-03-22T07:02:00,,,yes,
16729,1774188129,2026-03-22T07:02:09,,,yes,
16815,1774188153,2026-03-22T07:02:33,,,no,
16986,1774188193,2026-03-22T07:03:13,,,yes,
17008,1774188197,2026-03-22T07:03:17,,,yes,
17254,1774188250,2026-03-22T07:04:10,,,yes,
17294,1774188256,2026-03-22T07:04:16,,,yes,
17373,1774188274,2026-03-22T07:04:34,,,yes,
17456,1774188297,2026-03-22T07:04:57,,,yes,
17532,1774188316,2026-03-22T07:05:16,,,yes,
17695,1774188358,2026-03-22T07:05:58,,,yes,
17723,1774188365,2026-03-22T07:06:05,,,yes,
17748,1774188368,2026-03-22T07:06:08,,,yes,
17877,1774188407,2026-03-22T07:06:47,,,yes,
18182,1774188491,2026-03-22T07:08:11,,,yes,
18191,1774188492,2026-03-22T07:08:12,,,yes,
18269,1774188509,2026-03-22T07:08:29,,,yes,
18323,1774188524,2026-03-22T07:08:44,,,yes,
18332,1774188526,2026-03-22T07:08:46,,,yes,
18392,1774188542,2026-03-22T07:09:02,,,yes,
18529,1774188581,2026-03-22T07:09:41,,,no,
18564,1774188590,2026-03-22T07:09:50,,,yes,
18616,1774188605,2026-03-22T07:10:05,,,yes,
18778,1774188652,2026-03-22T07:10:52,,,yes,
18812,1774188660,2026-03-22T07:11:00,,,yes,
18840,1774188666,2026-03-22T07:11:06,,,yes,
18898,1774188688,2026-03-22T07:11:28,,,yes,
18906,1774188691,2026-03-22T07:11:31,,,yes,
18922,1774188696,2026-03-22T07:11:36,,,yes,
19307,1774188781,2026-03-22T07:13:01,,,yes,
19365,1774188791,2026-03-22T07:13:11,,,yes,
19369,1774188792,2026-03-22T07:13:12,,,yes,
19373,1774188793,2026-03-22T07:13:13,,,yes,
19492,1774188822,2026-03-22T07:13:42,,,yes,
19554,1774188835,2026-03-22T07:13:55,,,yes,
19572,1774188839,2026-03-22T07:13:59,,,yes,
19612,1774188849,2026-03-22T07:14:09,,,yes,
19640,1774188855,2026-03-22T07:14:15,,,yes,
19752,1774188883,2026-03-22T07:14:43,,,yes,
19800,1774188894,2026-03-22T07:14:54,,,yes,
20046,1774188955,2026-03-22T07:15:55,,,yes,
20188,1774188983,2026-03-22T07:16:23,,,yes,
20249,1774188997,2026-03-22T07:16:37,,,yes,
20294,1774189004,2026-03-22T07:16:44,,,yes,
20308,1774189009,2026-03-22T07:16:49,,,yes,
20566,1774189064,2026-03-22T07:17:44,,,yes,
20575,1774189066,2026-03-22T07:17:46,,,yes,
20732,1774189102,2026-03-22T07:18:22,,,yes,
20747,1774189107,2026-03-22T07:18:27,,,yes,
20809,1774189123,2026-03-22T07:18:43,,,yes,
20876,1774189143,2026-03-22T07:19:03,,,yes,
20892,1774189147,2026-03-22T07:19:07,,,yes,
20909,1774189152,2026-03-22T07:19:12,,,yes,
20913,1774189153,2026-03-22T07:19:13,,,yes,
20943,1774189160,2026-03-22T07:19:20,,,yes,
21002,1774189178,2026-03-22T07:19:38,,,yes,
21159,1774189216,2026-03-22T07:20:16,,,yes,
21177,1774189221,2026-03-22T07:20:21,,,yes,
21377,1774189271,2026-03-22T07:21:11,,,yes,
21397,1774189276,2026-03-22T07:21:16,,,yes,
21398,1774189277,2026-03-22T07:21:17,,,yes,
21599,1774189329,2026-03-22T07:22:09,,,yes,
21616,1774189333,2026-03-22T07:22:13,,,yes,
21640,1774189341,2026-03-22T07:22:21,,,yes,
21751,1774189366,2026-03-22T07:22:46,,,yes,
21870,1774189397,2026-03-22T07:23:17,,,yes,
21951,1774189417,2026-03-22T07:23:37,,,yes,
21953,1774189417,2026-03-22T07:23:37,,,yes,
21955,1774189418,2026-03-22T07:23:38,,,yes,
21985,1774189424,2026-03-22T07:23:44,,,yes,
22276,1774189485,2026-03-22T07:24:45,,,yes,
22343,1774189501,2026-03-22T07:25:01,,,yes,
22353,1774189504,2026-03-22T07:25:04,,,yes,
22496,1774189540,2026-03-22T07:25:40,,,yes,
22659,1774189582,2026-03-22T07:26:22,,,yes,
22882,1774189635,2026-03-22T07:27:15,,,yes,
22908,1774189640,2026-03-22T07:27:20,,,yes,
22909,1774189640,2026-03-22T07:27:20,,,yes,
23119,1774189685,2026-03-22T07:28:05,,,yes,
23127,1774189686,2026-03-22T07:28:06,,,yes,
23228,1774189716,2026-03-22T07:28:36,,,yes,
23365,1774189745,2026-03-22T07:29:05,,,no,
23390,1774189752,2026-03-22T07:29:12,,,yes,
23525,1774189787,2026-03-22T07:29:47,,,yes,
23537,1774189789,2026-03-22T07:29:49,,,yes,
23641,1774189815,2026-03-22T07:30:15,,,yes,
23872,1774189855,2026-03-22T07:30:55,,,yes,
23886,1774189857,2026-03-22T07:30:57,,,yes,
23948,1774189868,2026-03-22T07:31:08,,,yes,
24067,1774189894,2026-03-22T07:31:34,,,yes,
24126,1774189902,2026-03-22T07:31:42,,,yes,
24312,1774189936,2026-03-22T07:32:16,,,yes,
24405,1774189955,2026-03-22T07:32:35,,,yes,
24575,1774189989,2026-03-22T07:33:09,,,yes,
24824,1774190047,2026-03-22T07:34:07,,,no,
24948,1774190072,2026-03-22T07:34:32,,,yes,
24968,1774190078,2026-03-22T07:34:38,,,yes,
25006,1774190085,2026-03-22T07:34:45,,,yes,
25012,1774190087,2026-03-22T07:34:47,,,yes,
25089,1774190105,2026-03-22T07:35:05,,,yes,
25212,1774190129,2026-03-22T07:35:29,,,yes,
25231,1774190134,2026-03-22T07:35:34,,,yes,
25237,1774190135,2026-03-22T07:35:35,,,yes,
25852,1774190240,2026-03-22T07:37:20,,,yes,
25979,1774190254,2026-03-22T07:37:34,,,yes,
26219,1774190294,2026-03-22T07:38:14,,,yes,
26379,1774190331,2026-03-22T07:38:51,,,yes,
26444,1774190347,2026-03-22T07:39:07,,,yes,
26446,1774190348,2026-03-22T07:39:08,,,yes,
26523,1774190360,2026-03-22T07:39:20,,,yes,
26621,1774190377,2026-03-22T07:39:37,,,yes,
26657,1774190383,2026-03-22T07:39:43,,,yes,
26715,1774190394,2026-03-22T07:39:54,,,yes,
26727,1774190396,2026-03-22T07:39:56,,,yes,
26914,1774190439,2026-03-22T07:40:39,,,yes,
26977,1774190456,2026-03-22T07:40:56,,,yes,
27008,1774190464,2026-03-22T07:41:04,,,yes,
27063,1774190476,2026-03-22T07:41:16,,,yes,
27139,1774190491,2026-03-22T07:41:31,,,yes,
27151,1774190492,2026-03-22T07:41:32,,,yes,
27479,1774190556,2026-03-22T07:42:36,,,yes,
27565,1774190566,2026-03-22T07:42:46,,,yes,
27871,1774190625,2026-03-22T07:43:45,,,yes,
27965,1774190646,2026-03-22T07:44:06,,,yes,
27968,1774190646,2026-03-22T07:44:06,,,yes,
27983,1774190648,2026-03-22T07:44:08,,,yes,
28086,1774190668,2026-03-22T07:44:28,,,yes,
28103,1774190671,2026-03-22T07:44:31,,,yes,
28448,1774190725,2026-03-22T07:45:25,,,yes,
28607,1774190754,2026-03-22T07:45:54,,,yes,
28653,1774190762,2026-03-22T07:46:02,,,yes,
28716,1774190776,2026-03-22T07:46:16,,,yes,
28790,1774190786,2026-03-22T07:46:26,,,yes,
28799,1774190788,2026-03-22T07:46:28,,,yes,
28961,1774190813,2026-03-22T07:46:53,,,yes,
29067,1774190832,2026-03-22T07:47:12,,,yes,
29111,1774190841,2026-03-22T07:47:21,,,yes,
29233,1774190863,2026-03-22T07:47:43,,,yes,
29247,1774190866,2026-03-22T07:47:46,,,yes,
29420,1774190899,2026-03-22T07:48:19,,,yes,
29549,1774190926,2026-03-22T07:48:46,,,yes,
29567,1774190929,2026-03-22T07:48:49,,,no,
29624,1774190941,2026-03-22T07:49:01,,,yes,
29654,1774190947,2026-03-22T07:49:07,,,yes,
29671,1774190949,2026-03-22T07:49:09,,,yes,
29677,1774190950,2026-03-22T07:49:10,,,yes,
29863,1774190989,2026-03-22T07:49:49,,,yes,
30146,1774191048,2026-03-22T07:50:48,,,yes,
30206,1774191061,2026-03-22T07:51:01,,,yes,
30345,1774191086,2026-03-22T07:51:26,,,yes,
30351,1774191087,2026-03-22T07:51:27,,,yes,
30356,1774191088,2026-03-22T07:51:28,,,yes,
30383,1774191093,2026-03-22T07:51:33,,,yes,
30409,1774191097,2026-03-22T07:51:37,,,yes,
30509,1774191113,2026-03-22T07:51:53,,,yes,
30511,1774191113,2026-03-22T07:51:53,,,yes,
30637,1774191138,2026-03-22T07:52:18,,,yes,
30661,1774191142,2026-03-22T07:52:22,,,no,
30670,1774191144,2026-03-22T07:52:24,,,yes,
30694,1774191150,2026-03-22T07:52:30,,,yes,
30696,1774191150,2026-03-22T07:52:30,,,yes,
30743,1774191157,2026-03-22T07:52:37,,,yes,
30812,1774191171,2026-03-22T07:52:51,,,yes,
30866,1774191186,2026-03-22T07:53:06,,,yes,
30896,1774191191,2026-03-22T07:53:11,,,yes,
30910,1774191194,2026-03-22T07:53:14,,,yes,
30966,1774191205,2026-03-22T07:53:25,,,yes,
30981,1774191209,2026-03-22T07:53:29,,,yes,
30994,1774191211,2026-03-22T07:53:31,,,yes,
31051,1774191221,2026-03-22T07:53:41,,,yes,
31099,1774191232,2026-03-22T07:53:52,,,yes,
31124,1774191235,2026-03-22T07:53:55,,,yes,
31294,1774191263,2026-03-22T07:54:23,,,yes,
31307,1774191265,2026-03-22T07:54:25,,,yes,
31653,1774191324,2026-03-22T07:55:24,,,yes,
31670,1774191328,2026-03-22T07:55:28,,,yes,
31742,1774191342,2026-03-22T07:55:42,,,yes,
31788,1774191349,2026-03-22T07:55:49,,,yes,
31835,1774191356,2026-03-22T07:55:56,,,yes,
32003,1774191380,2026-03-22T07:56:20,,,yes,
32071,1774191390,2026-03-22T07:56:30,,,yes,
32259,1774191424,2026-03-22T07:57:04,,,yes,
32269,1774191426,2026-03-22T07:57:06,,,yes,
32435,1774191460,2026-03-22T07:57:40,,,yes,
32448,1774191462,2026-03-22T07:57:42,,,yes,
32552,1774191483,2026-03-22T07:58:03,,,yes,
32660,1774191505,2026-03-22T07:58:25,,,no,
32667,1774191506,2026-03-22T07:58:26,,,yes,
32755,1774191515,2026-03-22T07:58:35,,,yes,
33082,1774191573,2026-03-22T07:59:33,,,yes,
33170,1774191588,2026-03-22T07:59:48,,,yes,
33243,1774191602,2026-03-22T08:00:02,,,yes,
33248,1774191604,2026-03-22T08:00:04,,,yes,
33375,1774191627,2026-03-22T08:00:27,,,yes,
33427,1774191636,2026-03-22T08:00:36,,,yes,
33437,1774191638,2026-03-22T08:00:38,,,yes,
33548,1774191660,2026-03-22T08:01:00,,,yes,
33584,1774191671,2026-03-22T08:01:11,,,yes,
33596,1774191674,2026-03-22T08:01:14,,,yes,
33858,1774191713,2026-03-22T08:01:53,,,yes,
33906,1774191723,2026-03-22T08:02:03,,,yes,
33931,1774191729,2026-03-22T08:02:09,,,yes,
34005,1774191743,2026-03-22T08:02:23,,,yes,
34167,1774191773,2026-03-22T08:02:53,,,yes,
34281,1774191794,2026-03-22T08:03:14,,,yes,
34322,1774191802,2026-03-22T08:03:22,,,yes,
34561,1774191845,2026-03-22T08:04:05,,,yes,
34571,1774191846,2026-03-22T08:04:06,,,yes,
34603,1774191852,2026-03-22T08:04:12,,,yes,
34648,1774191858,2026-03-22T08:04:18,,,yes,
34672,1774191862,2026-03-22T08:04:22,,,yes,
34687,1774191865,2026-03-22T08:04:25,,,yes,
34708,1774191868,2026-03-22T08:04:28,,,yes,
34796,1774191887,2026-03-22T08:04:47,,,yes,
34886,1774191903,2026-03-22T08:05:03,,,yes,
34920,1774191911,2026-03-22T08:05:11,,,yes,
34990,1774191919,2026-03-22T08:05:19,,,yes,
35104,1774191940,2026-03-22T08:05:40,,,yes,
35305,1774191978,2026-03-22T08:06:18,,,yes,
35359,1774191987,2026-03-22T08:06:27,,,yes,
35386,1774191992,2026-03-22T08:06:32,,,yes,
35397,1774191994,2026-03-22T08:06:34,,,yes,
35419,1774191998,2026-03-22T08:06:38,,,yes,
35532,1774192021,2026-03-22T08:07:01,,,yes,
35666,1774192047,2026-03-22T08:07:27,,,yes,
35726,1774192065,2026-03-22T08:07:45,,,yes,
35794,1774192079,2026-03-22T08:07:59,,,yes,
35800,1774192080,2026-03-22T08:08:00,,,yes,
35809,1774192082,2026-03-22T08:08:02,,,yes,
35852,1774192093,2026-03-22T08:08:13,,,yes,
35854,1774192094,2026-03-22T08:08:14,,,yes,
35878,1774192099,2026-03-22T08:08:19,,,no,
35971,1774192111,2026-03-22T08:08:31,,,yes,
36045,1774192124,2026-03-22T08:08:44,,,no,
36069,1774192127,2026-03-22T08:08:47,,,yes,
36085,1774192133,2026-03-22T08:08:53,,,yes,
36145,1774192142,2026-03-22T08:09:02,,,yes,
36238,1774192159,2026-03-22T08:09:19,,,yes,
36261,1774192164,2026-03-22T08:09:24,,,yes,
36393,1774192189,2026-03-22T08:09:49,,,yes,
36503,1774192204,2026-03-22T08:10:04,,,yes,
36515,1774192206,2026-03-22T08:10:06,,,yes,
36519,1774192207,2026-03-22T08:10:07,,,yes,
36569,1774192215,2026-03-22T08:10:15,,,yes,
36654,1774192230,2026-03-22T08:10:30,,,yes,
36785,1774192251,2026-03-22T08:10:51,,,yes,
37148,1774192312,2026-03-22T08:11:52,,,yes,
37338,1774192346,2026-03-22T08:12:26,,,yes,
37360,1774192350,2026-03-22T08:12:30,,,yes,
37461,1774192370,2026-03-22T08:12:50,,,yes,
37556,1774192388,2026-03-22T08:13:08,,,yes,
37564,1774192390,2026-03-22T08:13:10,,,yes,
37724,1774192424,2026-03-22T08:13:44,,,yes,
37823,1774192448,2026-03-22T08:14:08,,,yes,
37954,1774192475,2026-03-22T08:14:35,,,yes,
37998,1774192486,2026-03-22T08:14:46,,,yes,
38158,1774192520,2026-03-22T08:15:20,,,yes,
38271,1774192543,2026-03-22T08:15:43,,,yes,
38345,1774192558,2026-03-22T08:15:58,,,yes,
38458,1774192582,2026-03-22T08:16:22,,,yes,
38505,1774192589,2026-03-22T08:16:29,,,yes,
38530,1774192595,2026-03-22T08:16:35,,,yes,
38587,1774192605,2026-03-22T08:16:45,,,yes,
38631,1774192613,2026-03-22T08:16:53,,,yes,
38701,1774192626,2026-03-22T08:17:06,,,yes,
38878,1774192657,2026-03-22T08:17:37,,,yes,
38937,1774192665,2026-03-22T08:17:45,,,yes,
39006,1774192678,2026-03-22T08:17:58,,,yes,
39012,1774192679,2026-03-22T08:17:59,,,yes,
39042,1774192684,2026-03-22T08:18:04,,,yes,
39059,1774192686,2026-03-22T08:18:06,,,yes,
39064,1774192687,2026-03-22T08:18:07,,,yes,
39087,1774192690,2026-03-22T08:18:10,,,yes,
39101,1774192693,2026-03-22T08:18:13,,,yes,
39131,1774192700,2026-03-22T08:18:20,,,yes,
39215,1774192717,2026-03-22T08:18:37,,,no,
39220,1774192718,2026-03-22T08:18:38,,,yes,
39487,1774192775,2026-03-22T08:19:35,,,yes,
39603,1774192796,2026-03-22T08:19:56,,,yes,
39613,1774192799,2026-03-22T08:19:59,,,yes,
39690,1774192812,2026-03-22T08:20:12,,,yes,
39767,1774192823,2026-03-22T08:20:23,,,yes,
39825,1774192833,2026-03-22T08:20:33,,,yes,
39829,1774192834,2026-03-22T08:20:34,,,yes,
39896,1774192847,2026-03-22T08:20:47,,,yes,
39959,1774192861,2026-03-22T08:21:01,,,no,
39968,1774192864,2026-03-22T08:21:04,,,yes,
39970,1774192864,2026-03-22T08:21:04,,,yes,
40149,1774192899,2026-03-22T08:21:39,,,yes,
40196,1774192906,2026-03-22T08:21:46,,,yes,
40300,1774192929,2026-03-22T08:22:09,,,yes,
40399,1774192949,2026-03-22T08:22:29,,,yes,
40447,1774192957,2026-03-22T08:22:37,,,yes,
40473,1774192961,2026-03-22T08:22:41,,,yes,
40622,1774192987,2026-03-22T08:23:07,,,yes,
40649,1774192992,2026-03-22T08:23:12,,,yes,
40866,1774193032,2026-03-22T08:23:52,,,yes,
40898,1774193041,2026-03-22T08:24:01,,,yes,
40961,1774193052,2026-03-22T08:24:12,,,no,
40983,1774193055,2026-03-22T08:24:15,,,no,
40984,1774193055,2026-03-22T08:24:15,,,no,
40985,1774193055,2026-03-22T08:24:15,,,no,
40986,1774193055,2026-03-22T08:24:15,,,no,
40987,1774193055,2026-03-22T08:24:15,,,no,
40988,1774193055,2026-03-22T08:24:15,,,no,
40989,1774193055,2026-03-22T08:24:15,,,no,
40990,1774193055,2026-03-22T08:24:15,,,no,
40991,1774193055,2026-03-22T08:24:15,,,no,
40992,1774193055,2026-03-22T08:24:15,,,yes,
41099,1774193077,2026-03-22T08:24:37,,,yes,
41112,1774193079,2026-03-22T08:24:39,,,yes,
41130,1774193081,2026-03-22T08:24:41,,,yes,
41131,1774193081,2026-03-22T08:24:41,,,yes,
41197,1774193087,2026-03-22T08:24:47,,,yes,
41224,1774193093,2026-03-22T08:24:53,,,yes,
41296,1774193106,2026-03-22T08:25:06,,,yes,
41309,1774193108,2026-03-22T08:25:08,,,yes,
41347,1774193115,2026-03-22T08:25:15,,,yes,
41416,1774193126,2026-03-22T08:25:26,,,yes,
41485,1774193139,2026-03-22T08:25:39,,,yes,
41512,1774193144,2026-03-22T08:25:44,,,yes,
41522,1774193146,2026-03-22T08:25:46,,,yes,
41688,1774193172,2026-03-22T08:26:12,,,yes,
41701,1774193176,2026-03-22T08:26:16,,,yes,
41731,1774193182,2026-03-22T08:26:22,,,yes,
41735,1774193183,2026-03-22T08:26:23,,,yes,
41778,1774193190,2026-03-22T08:26:30,,,yes,
41798,1774193193,2026-03-22T08:26:33,,,yes,
41801,1774193193,2026-03-22T08:26:33,,,yes,
41807,1774193195,2026-03-22T08:26:35,,,yes,
41822,1774193199,2026-03-22T08:26:39,,,yes,
41861,1774193206,2026-03-22T08:26:46,,,yes,
41882,1774193208,2026-03-22T08:26:48,,,yes,
41896,1774193213,2026-03-22T08:26:53,,,yes,
41942,1774193221,2026-03-22T08:27:01,,,yes,
42043,1774193234,2026-03-22T08:27:14,,,yes,
42178,1774193259,2026-03-22T08:27:39,,,yes,
42264,1774193274,2026-03-22T08:27:54,,,yes,
42333,1774193283,2026-03-22T08:28:03,,,yes,
42556,1774193317,2026-03-22T08:28:37,,,yes,
42822,1774193361,2026-03-22T08:29:21,,,yes,
42917,1774193375,2026-03-22T08:29:35,,,no,
42995,1774193388,2026-03-22T08:29:48,,,yes,
43031,1774193392,2026-03-22T08:29:52,,,yes,
43363,1774193431,2026-03-22T08:30:31,,,yes,
43580,1774193452,2026-03-22T08:30:52,,,yes,
43646,1774193459,2026-03-22T08:30:59,,,yes,
43870,1774193486,2026-03-22T08:31:26,,,yes,
44052,1774193507,2026-03-22T08:31:47,,,yes,
44076,1774193509,2026-03-22T08:31:49,,,yes,
44248,1774193530,2026-03-22T08:32:10,,,yes,
44529,1774193564,2026-03-22T08:32:44,,,yes,
44555,1774193568,2026-03-22T08:32:48,,,yes,
44560,1774193569,2026-03-22T08:32:49,,,yes,
44618,1774193576,2026-03-22T08:32:56,,,yes,
44675,1774193581,2026-03-22T08:33:01,,,yes,
44742,1774193589,2026-03-22T08:33:09,,,yes,
44786,1774193594,2026-03-22T08:33:14,,,yes,
45120,1774193640,2026-03-22T08:34:00,,,yes,
45300,1774193665,2026-03-22T08:34:25,,,yes,
45389,1774193677,2026-03-22T08:34:37,,,yes,
45399,1774193678,2026-03-22T08:34:38,,,yes,
45560,1774193700,2026-03-22T08:35:00,,,yes,
