Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
2668,1774363031,2026-03-24T07:37:11,,,yes,
2854,1774363315,2026-03-24T07:41:55,,,yes,
4054,1774365301,2026-03-24T08:15:01,,,yes,
4434,1774365879,2026-03-24T08:24:39,,,yes,
4695,1774366303,2026-03-24T08:31:43,,,yes,
5365,1774367312,2026-03-24T08:48:32,,,yes,
5534,1774367567,2026-03-24T08:52:47,,,yes,
5805,1774367904,2026-03-24T08:58:24,,,yes,
6020,1774368182,2026-03-24T09:03:02,,,yes,
6021,1774368182,2026-03-24T09:03:02,,,yes,
6533,1774368600,2026-03-24T09:10:00,,,yes,
9240,1774370400,2026-03-24T09:40:00,,,yes,
9562,1774370634,2026-03-24T09:43:54,,,yes,
9984,1774370971,2026-03-24T09:49:31,,,yes,
10699,1774371446,2026-03-24T09:57:26,,,no,
16145,1774374000,2026-03-24T10:40:00,,,yes,
19810,1774375800,2026-03-24T11:10:00,,,yes,
23300,1774376951,2026-03-24T11:29:11,,,yes,
27629,1774378200,2026-03-24T11:50:00,,,yes,
27630,1774378201,2026-03-24T11:50:01,,,yes,
30040,1774379161,2026-03-24T12:06:01,,,yes,
30679,1774379401,2026-03-24T12:10:01,,,yes,
30702,1774379411,2026-03-24T12:10:11,,,no,
31264,1774379637,2026-03-24T12:13:57,,,yes,
31463,1774379711,2026-03-24T12:15:11,,,yes,
34891,1774380936,2026-03-24T12:35:36,,,yes,
35263,1774381059,2026-03-24T12:37:39,,,yes,
36577,1774381484,2026-03-24T12:44:44,,,yes,
37449,1774381801,2026-03-24T12:50:01,,,yes,
39000,1774382304,2026-03-24T12:58:24,,,yes,
41454,1774383000,2026-03-24T13:10:00,,,yes,
46455,1774384574,2026-03-24T13:36:14,,,yes,
49607,1774385400,2026-03-24T13:50:00,,,yes,
56385,1774387200,2026-03-24T14:20:00,,,yes,
56396,1774387209,2026-03-24T14:20:09,,,yes,
61600,1774388819,2026-03-24T14:46:59,,,yes,
61601,1774388819,2026-03-24T14:46:59,,,yes,
62155,1774389000,2026-03-24T14:50:00,,,yes,
62156,1774389000,2026-03-24T14:50:00,,,yes,
64757,1774389725,2026-03-24T15:02:05,,,yes,
66455,1774390200,2026-03-24T15:10:00,,,yes,
68651,1774390890,2026-03-24T15:21:30,,,yes,
68941,1774391008,2026-03-24T15:23:28,,,yes,
72231,1774392000,2026-03-24T15:40:00,,,yes,
73892,1774392415,2026-03-24T15:46:55,,,yes,
74694,1774392590,2026-03-24T15:49:50,,,yes,
77691,1774393128,2026-03-24T15:58:48,,,yes,
77928,1774393156,2026-03-24T15:59:16,,,no,
77929,1774393156,2026-03-24T15:59:16,,,no,
77930,1774393156,2026-03-24T15:59:16,,,no,
78875,1774393263,2026-03-24T16:01:03,,,yes,
87545,1774394288,2026-03-24T16:18:08,,,yes,
88773,1774394431,2026-03-24T16:20:31,,,yes,
88774,1774394431,2026-03-24T16:20:31,,,yes,
92220,1774394858,2026-03-24T16:27:38,,,yes,
94135,1774395072,2026-03-24T16:31:12,,,yes,
97181,1774395463,2026-03-24T16:37:43,,,yes,
97182,1774395463,2026-03-24T16:37:43,,,yes,
100147,1774395784,2026-03-24T16:43:04,,,yes,
100683,1774395830,2026-03-24T16:43:50,,,yes,
101821,1774395912,2026-03-24T16:45:12,,,yes,
112216,1774397082,2026-03-24T17:04:42,,,yes,
114453,1774397332,2026-03-24T17:08:52,,,yes,
115384,1774397405,2026-03-24T17:10:05,,,yes,
118603,1774397659,2026-03-24T17:14:19,,,yes,
122691,1774397928,2026-03-24T17:18:48,,,yes,
123317,1774397983,2026-03-24T17:19:43,,,yes,
123710,1774398015,2026-03-24T17:20:15,,,yes,
127969,1774398303,2026-03-24T17:25:03,,,yes,
136168,1774398938,2026-03-24T17:35:38,,,yes,
150836,1774400059,2026-03-24T17:54:19,,,yes,
151199,1774400087,2026-03-24T17:54:47,,,yes,
153662,1774400260,2026-03-24T17:57:40,,,yes,
156482,1774400481,2026-03-24T18:01:21,,,yes,
159636,1774400708,2026-03-24T18:05:08,,,yes,
169069,1774401127,2026-03-24T18:12:07,,,yes,
177117,1774401560,2026-03-24T18:19:20,,,yes,
201900,1774403089,2026-03-24T18:44:49,,,yes,
204476,1774403222,2026-03-24T18:47:02,,,yes,
208844,1774403470,2026-03-24T18:51:10,,,yes,
208871,1774403472,2026-03-24T18:51:12,,,no,
