ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1773520200,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520201,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520202,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520203,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520204,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520205,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520206,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520207,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520208,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520209,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520210,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520211,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520212,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520213,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520214,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520215,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
1773520216,19,17,19,507,20,4320,21,2684,22,0,23,2694,24,914,25,284,26,4239,27,5000,28,1000,29,0,17,1,16,3400,15,14,14,0,13,0,12,50,11,0,10,2291,9,4230,8,3911,7,5086,21642,18983
