ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774024200,13,11,13,514,14,12216,15,3221,16,74,17,57,18,3187,19,1641,20,502,21,0,22,0,23,0,11,272,10,779,9,300,8,5300,7,5079,6,3509,5,7292,4,914,3,7556,2,53532,1,520551,21412,605084
1774024201,13,11,13,514,14,12216,15,3221,16,74,17,57,18,3187,19,1641,20,502,21,0,22,0,23,0,11,272,10,779,9,300,8,5300,7,5079,6,3509,5,7292,4,914,3,7556,2,53532,1,520551,21412,605084
1774024202,13,11,13,514,14,12216,15,3221,16,74,17,57,18,3187,19,1641,20,502,21,0,22,0,23,0,11,272,10,779,9,300,8,5300,7,5079,6,3509,5,7292,4,914,3,7556,2,53532,1,520551,21412,605084
1774024203,13,11,13,514,14,12216,15,3221,16,74,17,57,18,3187,19,1641,20,502,21,0,22,0,23,0,11,272,10,779,9,300,8,5300,7,5079,6,3509,5,7292,4,914,3,7556,2,53532,1,520551,21412,605084
1774024204,13,11,13,514,14,12216,15,3221,16,74,17,57,18,3187,19,1641,20,502,21,0,22,0,23,0,11,272,10,779,9,300,8,5300,7,5079,6,3509,5,7292,4,914,3,7556,2,53532,1,520551,21412,605084
1774024205,13,11,13,514,14,12216,15,3221,16,74,17,57,18,3187,19,1641,20,502,21,0,22,0,23,0,11,272,10,779,9,300,8,5300,7,5079,6,3509,5,7292,4,914,3,7556,2,53532,1,520551,21412,605084
1774024206,13,11,13,514,14,12216,15,3221,16,74,17,57,18,3187,19,1641,20,502,21,0,22,0,23,0,11,272,10,779,9,300,8,5300,7,5079,6,3509,5,7292,4,914,3,7556,2,53532,1,520551,21412,605084
1774024207,13,11,13,514,14,12216,15,3221,16,74,17,57,18,3187,19,1641,20,502,21,0,22,0,23,0,11,272,10,779,9,300,8,5300,7,5079,6,3509,5,7292,4,914,3,7556,2,53532,1,520551,21412,605084
1774024208,13,11,13,514,14,12216,15,3221,16,74,17,57,18,3187,19,1641,20,502,21,0,22,0,23,0,11,272,10,779,9,300,8,5300,7,5079,6,3509,5,7292,4,914,3,7556,2,53532,1,520551,21412,605084
1774024209,13,11,13,514,14,12216,15,3221,16,74,17,57,18,3187,19,1641,20,502,21,0,22,0,23,0,11,272,10,779,9,300,8,5300,7,5079,6,3509,5,7292,4,914,3,7556,2,53532,1,520551,21412,605084
