ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774110599,86,85,86,38222,87,100297,88,9139,89,3055,90,12500,91,865,92,5391,93,6024,94,13373,95,30561,96,72293,85,552,84,516,83,700,82,4300,81,2905,80,1,79,2997,78,1050,77,0,76,3862,75,104,291720,16987
1774110600,86,85,86,38222,87,100297,88,9139,89,3055,90,12500,91,865,92,5391,93,6024,94,13373,95,30561,96,72293,85,552,84,516,83,700,82,4300,81,2905,80,1,79,2997,78,1050,77,0,76,3862,75,104,291720,16987
1774110601,86,85,86,38222,87,100297,88,9139,89,3055,90,12500,91,865,92,5391,93,6024,94,13373,95,30561,96,72293,85,552,84,516,83,700,82,4300,81,2905,80,1,79,2997,78,1050,77,0,76,3862,75,104,291720,16987
1774110602,86,85,86,38222,87,100297,88,9139,89,3055,90,12500,91,865,92,5391,93,6024,94,13373,95,30561,96,72293,85,552,84,516,83,700,82,4300,81,2905,80,1,79,2997,78,1050,77,0,76,3862,75,104,291720,16987
1774110603,86,85,86,38222,87,100297,88,9139,89,3055,90,12500,91,865,92,5391,93,6024,94,13373,95,30561,96,72293,85,552,84,516,83,700,82,4300,81,2905,80,1,79,2997,78,1050,77,0,76,3862,75,104,291720,16987
1774110604,86,85,86,38222,87,100297,88,9139,89,3055,90,12500,91,865,92,5391,93,6024,94,13373,95,30561,96,72293,85,552,84,516,83,700,82,4300,81,2905,80,1,79,2997,78,1050,77,0,76,3862,75,104,291720,16987
1774110605,86,85,86,38222,87,100297,88,9139,89,3055,90,12500,91,865,92,5391,93,6024,94,13373,95,30561,96,72293,85,552,84,516,83,700,82,4300,81,2905,80,1,79,2997,78,1050,77,0,76,3862,75,104,291720,16987
1774110606,86,85,86,38222,87,100297,88,9139,89,3055,90,12500,91,865,92,5391,93,6024,94,13373,95,30561,96,72293,85,552,84,516,83,700,82,4300,81,2905,80,1,79,2997,78,1050,77,0,76,3862,75,104,291720,16987
1774110607,86,85,86,38222,87,100297,88,9139,89,3055,90,12500,91,865,92,5391,93,6024,94,13373,95,30561,96,72293,85,552,84,516,83,700,82,4300,81,2905,80,1,79,2997,78,1050,77,0,76,3862,75,104,291720,16987
1774110608,86,85,86,38222,87,100297,88,9139,89,3055,90,12500,91,865,92,5391,93,6024,94,13373,95,30561,96,72293,85,552,84,516,83,700,82,4300,81,2905,80,1,79,2997,78,1050,77,0,76,3862,75,104,291720,16987
1774110609,86,85,86,38222,87,100297,88,9139,89,3055,90,12500,91,865,92,5391,93,6024,94,13373,95,30561,96,72293,85,552,84,516,83,700,82,4300,81,2905,80,1,79,2997,78,1050,77,0,76,3862,75,104,291720,16987
