ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773520173,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520174,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520175,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21168,4699,-0.6367,21168,21168,48,9,14,12,2
1773520176,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21168,4699,-0.6367,21168,21168,48,9,14,12,2
1773520177,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21164,5018,-0.6167,21164,21164,48,9,14,12,2
1773520178,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21131,5018,-0.6162,-37,21131,48,9,14,12,2
1773520179,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21131,5018,-0.6162,-37,21131,48,9,14,12,2
1773520180,11,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21096,5000,-0.6168,-68,21096,48,8,14,11,3
1773520181,11,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21172,5000,-0.6179,41,21172,48,8,14,11,3
1773520182,11,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21172,5000,-0.6179,41,21172,48,8,14,11,3
1773520183,11,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21172,5000,-0.6179,76,21172,48,8,14,11,3
1773520184,11,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21172,5000,-0.6179,0,21172,48,8,14,11,3
1773520185,11,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21172,5000,-0.6179,0,4,48,8,14,11,3
1773520186,11,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21194,5018,-0.6171,22,26,48,8,14,11,3
1773520187,11,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21194,5018,-0.6171,22,30,48,8,14,11,3
1773520188,11,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21194,5018,-0.6171,22,63,48,8,14,11,3
1773520189,11,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21074,4967,-0.6185,-120,-57,48,8,14,11,3
1773520190,11,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21430,5023,-0.6202,236,334,48,8,14,11,3
1773520191,11,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21430,5023,-0.6202,236,258,48,8,14,11,3
1773520192,11,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21430,5023,-0.6202,356,258,48,8,14,11,3
1773520193,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21430,5024,-0.6202,0,258,48,9,14,12,2
1773520194,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21430,5054,-0.6183,0,258,48,9,14,12,2
1773520195,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21442,5043,-0.6192,12,270,48,9,14,12,2
1773520196,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21435,5041,-0.6192,5,241,48,9,14,12,2
1773520197,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21435,5041,-0.6192,5,241,48,9,14,12,2
1773520198,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21435,5018,-0.6206,-7,241,48,9,14,12,2
1773520199,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21435,5018,-0.6206,0,361,48,9,14,12,2
1773520200,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21435,5013,-0.6209,0,5,48,9,14,12,2
1773520201,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21677,5113,-0.6183,242,247,48,9,14,12,2
1773520202,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21677,5259,-0.6095,242,247,48,9,14,12,2
1773520203,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21779,5118,-0.6194,344,349,48,9,14,12,2
1773520204,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21779,6476,-0.5416,102,349,48,9,14,12,2
1773520205,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21807,6424,-0.5449,130,365,48,9,14,12,2
1773520206,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,21807,6278,-0.5529,28,372,48,10,14,12,2
1773520207,12,86,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,21571,6286,-0.5487,-208,136,48,10,14,12,2
1773520208,12,86,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,21571,6286,-0.5487,-236,136,48,10,14,12,2
1773520209,12,86,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,21571,6286,-0.5487,-236,136,48,10,14,12,2
1773520210,12,86,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,21571,6286,-0.5487,0,136,48,10,14,12,2
1773520211,12,86,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,21507,6286,-0.5477,-64,-170,48,10,14,12,2
1773520212,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,21432,6182,-0.5523,-139,-245,48,10,14,12,2
1773520213,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,21432,6182,-0.5523,-139,-347,48,10,14,12,2
1773520214,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,21534,5419,-0.5979,27,-245,48,9,14,12,2
1773520215,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,21534,5069,-0.6189,102,-273,48,10,14,12,2
1773520216,12,86,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,21534,4788,-0.6362,102,-273,48,10,14,12,2
1773520217,12,86,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,21502,4888,-0.6296,-32,-69,48,10,14,12,2
1773520218,12,86,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,21488,4845,-0.632,-46,-83,48,10,14,12,2
1773520219,12,86,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,21488,4839,-0.6324,-46,-83,48,10,14,12,2
1773520220,12,86,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,21488,4969,-0.6244,-14,-83,48,9,14,12,2
1773520221,12,86,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,21488,5136,-0.6142,0,-19,48,10,14,12,2
ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773521000,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521001,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521002,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,102607,997,-0.9808,102607,102607,51,2,3,2,1
1773521003,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,102557,997,-0.9807,102557,102557,51,2,3,2,1
1773521004,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,102498,997,-0.9807,102498,102498,51,2,3,2,1
1773521005,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,102490,997,-0.9807,-117,102490,51,2,3,2,1
1773521006,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,102490,997,-0.9807,-67,102490,51,2,3,2,1
1773521007,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,102490,997,-0.9807,-8,102490,51,2,3,2,1
1773521008,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,103119,997,-0.9808,629,103119,51,2,3,2,1
1773521009,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104060,997,-0.981,1570,104060,52,2,3,2,1
1773521010,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104060,997,-0.981,1570,104060,52,2,3,2,1
1773521011,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,999,104118,52,2,3,2,1
1773521012,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,58,1511,52,2,3,2,1
1773521013,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,58,1561,52,2,3,2,1
1773521014,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,0,1620,52,2,3,2,1
1773521015,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,0,1628,52,2,3,2,1
1773521016,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,0,1628,52,2,3,2,1
1773521017,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,0,1628,52,2,3,2,1
1773521018,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,0,999,52,2,3,2,1
1773521019,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104177,997,-0.981,59,117,52,2,3,2,1
1773521020,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,0,58,52,2,3,2,1
1773521021,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,0,0,52,2,3,2,1
1773521022,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,-59,0,51,2,3,2,1
1773521023,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,0,0,51,2,3,2,1
1773521024,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,0,0,51,2,3,2,1
1773521025,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,104118,997,-0.981,0,0,51,2,3,2,1
1773521026,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,103621,997,-0.9809,-497,-497,52,2,3,2,1
1773521027,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,103621,997,-0.9809,-497,-497,52,2,3,2,1
1773521028,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,103679,997,-0.981,-439,-439,52,2,3,2,1
1773521029,2,97,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,103679,997,-0.981,58,-498,52,2,3,2,1
1773521030,2,97,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,103179,1251,-0.976,-442,-939,51,2,3,2,1
1773521031,2,97,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,103179,1251,-0.976,-500,-939,51,2,3,2,1
1773521032,2,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,103121,1133,-0.9783,-558,-997,51,2,4,2,2
1773521033,3,96,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,104553,1249,-0.9764,1374,435,51,3,4,3,1
1773521034,3,96,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,104553,1249,-0.9764,1374,435,51,3,4,3,1
1773521035,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104553,1249,-0.9764,1432,435,51,3,4,3,1
1773521036,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104553,1249,-0.9764,0,932,51,3,4,3,1
1773521037,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104553,1249,-0.9764,0,932,51,3,4,3,1
1773521038,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104553,994,-0.9812,0,874,51,3,4,3,1
1773521040,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104553,994,-0.9812,0,1374,51,3,4,3,1
1773521041,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104553,994,-0.9812,0,1374,51,3,4,3,1
1773521042,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104553,994,-0.9812,0,1432,51,3,4,3,1
1773521043,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104561,994,-0.9812,8,8,51,3,4,3,1
1773521044,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104560,994,-0.9812,7,7,51,3,4,3,1
1773521045,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104560,994,-0.9812,7,7,51,3,4,3,1
1773521046,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104343,994,-0.9811,-218,-210,51,3,4,3,1
1773521047,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104343,994,-0.9811,-217,-210,51,3,4,3,1
1773521048,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104843,994,-0.9812,283,290,51,3,4,3,1
1773521049,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,104843,994,-0.9812,500,290,51,3,4,3,1
