ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773521999,70,28,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271908,626058,0.3944,0,0,27,28,72,70,2
1773522000,70,28,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271908,626058,0.3944,0,0,27,28,72,70,2
1773522001,70,28,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271908,626058,0.3944,0,0,27,28,72,70,2
1773522002,70,28,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271908,626058,0.3944,0,0,27,28,72,70,2
1773522003,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,-514,-514,28,28,71,70,1
1773522004,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,-514,-514,28,28,71,70,1
1773522005,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,-514,-514,28,28,71,70,1
1773522006,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,0,-514,28,28,71,70,1
1773522007,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,0,-514,28,28,71,70,1
1773522008,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,0,-514,28,28,71,70,1
1773522009,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,0,-514,28,28,71,70,1
1773522010,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,0,-514,28,28,71,70,1
1773522011,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,0,-514,28,28,71,70,1
1773522012,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,0,-514,28,28,71,70,1
1773522013,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,0,0,28,28,71,70,1
1773522014,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,0,0,28,28,71,70,1
1773522015,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,0,0,28,28,71,70,1
1773522016,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,0,0,28,28,71,70,1
1773522017,70,29,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,271394,626058,0.3952,0,0,28,28,71,70,1
