ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773520173,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520174,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520175,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10266,333524,0.9403,10266,10266,32,24,67,66,1
1773520176,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10318,334244,0.9401,10318,10318,32,23,67,66,1
1773520177,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10323,333524,0.94,10323,10323,32,24,67,66,1
1773520178,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10896,334244,0.9369,630,10896,32,23,67,66,1
1773520179,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,367,10685,32,24,67,66,1
1773520180,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,9685,333532,0.9436,-638,9685,32,24,67,66,1
1773520181,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,9685,333532,0.9436,-1211,9685,32,24,67,66,1
1773520182,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,9685,333532,0.9436,-1000,9685,32,24,67,66,1
1773520183,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,9685,333532,0.9436,0,9685,32,24,67,66,1
1773520184,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,9685,333532,0.9436,0,9685,32,24,67,66,1
1773520185,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,9685,333532,0.9436,0,-581,32,24,67,66,1
1773520186,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,1000,367,32,24,67,66,1
1773520187,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,1000,362,32,24,67,66,1
1773520188,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,1000,-211,32,24,67,66,1
1773520189,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,0,0,32,24,67,66,1
1773520190,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,0,1000,32,24,67,66,1
1773520191,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,0,1000,32,24,67,66,1
1773520192,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,0,1000,32,24,67,66,1
1773520193,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,0,1000,32,24,67,66,1
1773520194,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,0,1000,32,24,67,66,1
1773520195,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,0,1000,32,24,67,66,1
1773520196,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,0,0,32,24,67,66,1
1773520197,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,0,0,32,24,67,66,1
1773520198,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,0,0,32,24,67,66,1
1773520199,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,0,0,32,24,67,66,1
1773520200,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10685,333532,0.9379,0,0,32,24,67,66,1
1773520201,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8139,-0.1297,-120,-120,32,22,67,66,1
1773520202,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8139,-0.1297,-120,-120,32,22,67,66,1
1773520203,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8139,-0.1297,-120,-120,32,22,67,66,1
1773520204,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8659,-0.0991,0,-120,32,22,67,66,1
1773520205,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8659,-0.0991,0,-120,32,22,67,66,1
1773520206,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8659,-0.0991,0,-120,32,22,67,66,1
1773520207,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8659,-0.0991,0,-120,32,22,67,66,1
1773520208,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8659,-0.0991,0,-120,32,22,67,66,1
1773520209,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8659,-0.0991,0,-120,32,22,67,66,1
1773520210,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8675,-0.0982,0,-120,32,22,67,66,1
1773520211,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8675,-0.0982,0,0,32,22,67,66,1
1773520212,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8675,-0.0982,0,0,32,22,67,66,1
1773520213,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8675,-0.0982,0,0,32,22,67,66,1
1773520214,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8675,-0.0982,0,0,32,22,67,66,1
1773520215,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8675,-0.0982,0,0,32,22,67,66,1
1773520216,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8675,-0.0982,0,0,32,22,67,66,1
1773520217,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8675,-0.0982,0,0,32,22,67,66,1
1773520218,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8675,-0.0982,0,0,32,22,67,66,1
1773520219,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8675,-0.0982,0,0,32,22,67,66,1
1773520220,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8675,-0.0982,0,0,32,22,67,66,1
1773520221,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10565,8675,-0.0982,0,0,32,22,67,66,1
ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773521000,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521001,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521002,63,36,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,55203,55538,0.003,55203,55203,34,27,64,63,1
1773521003,63,36,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,55203,55538,0.003,55203,55203,34,27,64,63,1
1773521004,63,36,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,94901,55482,-0.2621,94901,94901,36,28,64,63,1
1773521005,63,36,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,94775,55482,-0.2615,39572,94775,36,27,64,63,1
1773521006,63,36,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,94775,55482,-0.2615,39572,94775,36,25,64,63,1
1773521007,63,36,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,95269,55482,-0.2639,368,95269,36,25,64,63,1
1773521008,63,36,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,95479,55482,-0.2649,704,95479,36,28,64,63,1
1773521009,63,36,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,95479,55482,-0.2649,704,95479,36,28,64,63,1
1773521010,63,36,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,95359,55520,-0.264,90,95359,36,28,64,63,1
1773521011,63,36,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,94855,55520,-0.2616,-624,94855,34,28,64,63,1
1773521012,63,36,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,95286,55520,-0.2637,-193,40083,34,28,64,63,1
1773521013,63,36,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,95538,55520,-0.2649,179,40335,36,28,64,63,1
1773521014,63,36,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,95538,55520,-0.2649,683,637,36,28,64,63,1
1773521015,63,36,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,95234,55707,-0.2619,-52,459,36,28,64,63,1
1773521016,65,34,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,50125,54929,0.0457,-45413,-44650,33,26,66,65,1
1773521017,65,32,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,48755,55034,0.0605,-46783,-46514,32,28,68,65,3
1773521018,63,32,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,48795,56251,0.071,-46439,-46684,32,26,68,63,5
1773521019,66,32,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,48795,56364,0.072,-1330,-46684,32,29,68,66,2
1773521020,66,32,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,48927,56364,0.0706,172,-46432,32,29,68,66,2
1773521021,66,32,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,48927,56364,0.0706,132,-45928,32,29,68,66,2
1773521022,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,52326,56369,0.0372,3531,-42960,32,28,67,66,1
1773521023,66,33,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,52393,96369,0.2956,3466,-43145,32,29,67,66,1
1773521024,65,34,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,51968,95854,0.2969,3041,-43570,32,28,66,65,1
1773521025,65,34,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,52241,55824,0.0332,-85,-42993,32,28,66,65,1
1773521026,65,34,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,53241,55824,0.0237,848,3116,32,28,66,65,1
1773521027,65,34,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,55241,55824,0.0052,3273,6486,32,28,66,65,1
1773521028,65,34,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,55313,55824,0.0046,3072,6518,32,28,66,65,1
1773521029,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,55313,55824,0.0046,2072,6518,32,28,66,65,1
1773521030,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,55313,55824,0.0046,72,6386,32,28,66,65,1
1773521031,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,55313,55824,0.0046,0,6386,32,28,66,65,1
1773521032,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,51877,55824,0.0366,-3436,-449,33,27,66,65,1
1773521033,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,52119,55824,0.0343,-3194,-274,33,27,66,65,1
1773521034,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,52018,55824,0.0353,-3295,50,33,27,66,65,1
1773521035,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,52961,55824,0.0263,1084,720,33,27,66,65,1
1773521036,65,33,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,52752,55824,0.0283,633,-489,32,27,67,65,2
1773521037,65,34,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,50921,55824,0.0459,-1097,-4320,31,27,66,65,1
1773521038,65,34,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,53299,55824,0.0231,338,-2014,31,27,66,65,1
1773521039,65,34,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,53615,55637,0.0185,863,-1698,31,27,66,65,1
1773521040,65,34,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,50675,55655,0.0468,-246,-4638,32,27,66,65,1
1773521041,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,52687,55655,0.0274,-612,-2626,32,28,66,65,1
1773521042,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,52813,55655,0.0262,-802,936,32,28,66,65,1
1773521043,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,53939,55655,0.0157,3264,1820,32,28,66,65,1
1773521044,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,54065,55655,0.0145,1378,2047,32,28,66,65,1
1773521045,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,52669,55779,0.0287,-144,-292,31,27,66,65,1
1773521046,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,53669,55779,0.0193,-270,917,31,27,66,65,1
1773521047,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,52755,55779,0.0279,-1310,1834,31,27,66,65,1
1773521048,65,34,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,52429,55779,0.031,-240,-870,33,27,66,65,1
