ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773588598,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117746,1755344,0.2219,0,0,32,60,68,65,3
1773588599,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117746,1755344,0.2219,0,0,32,60,68,65,3
1773588600,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117746,1755344,0.2219,0,0,32,60,68,65,3
1773588601,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117746,1755344,0.2219,0,0,32,60,68,65,3
1773588602,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117746,1755344,0.2219,0,0,32,60,68,65,3
1773588603,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117746,1755344,0.2219,0,0,32,60,68,65,3
1773588604,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117746,1754280,0.2216,0,0,32,60,68,65,3
1773588605,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754294,0.2216,-12,-12,32,60,68,65,3
1773588606,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754819,0.2218,-12,-12,32,60,68,65,3
1773588607,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754821,0.2218,-12,-12,32,60,68,65,3
1773588608,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754821,0.2218,0,-12,32,60,68,65,3
1773588609,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754821,0.2218,0,-12,32,60,68,65,3
1773588610,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754821,0.2218,0,-12,32,60,68,65,3
1773588611,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754821,0.2218,0,-12,32,60,68,65,3
1773588612,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754821,0.2218,0,-12,32,60,68,65,3
1773588613,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754821,0.2218,0,-12,32,60,68,65,3
1773588614,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754821,0.2218,0,-12,32,60,68,65,3
1773588615,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754821,0.2218,0,0,32,60,68,65,3
1773588616,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754821,0.2218,0,0,32,60,68,65,3
1773588617,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754939,0.2218,0,0,32,60,68,65,3
1773588618,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754939,0.2218,0,0,32,60,68,65,3
1773588619,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754939,0.2218,0,0,32,60,68,65,3
1773588620,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754939,0.2218,0,0,32,60,68,65,3
1773588621,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754939,0.2218,0,0,32,60,68,65,3
1773588622,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754939,0.2218,0,0,32,60,68,65,3
1773588623,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1117734,1754939,0.2218,0,0,32,60,68,65,3
1773588624,65,31,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1117729,1754939,0.2218,-5,-5,31,60,69,65,4
1773588625,65,31,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1117729,1754939,0.2218,-5,-5,31,60,69,65,4
1773588626,65,31,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1117729,1754939,0.2218,-5,-5,31,60,69,65,4
1773588627,65,31,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1117729,1754939,0.2218,0,-5,31,60,69,65,4
1773588628,65,31,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1117729,1754939,0.2218,0,-5,31,60,69,65,4
1773588629,65,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1117729,1754883,0.2218,0,-5,31,60,69,65,4
1773588630,65,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1117729,1754883,0.2218,0,-5,31,60,69,65,4
1773588631,65,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1117729,1754883,0.2218,0,-5,31,60,69,65,4
1773588632,65,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1117729,1754883,0.2218,0,-5,31,60,69,65,4
1773588633,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1117739,1754883,0.2218,10,5,32,60,68,65,3
1773588634,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1117739,1754883,0.2218,10,10,32,60,68,65,3
1773588635,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1117739,1754883,0.2218,10,10,32,60,68,65,3
1773588636,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1117739,1754883,0.2218,0,10,32,60,68,65,3
1773588637,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1117739,1754873,0.2218,0,10,32,60,68,65,3
1773588638,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1117739,1754873,0.2218,0,10,32,60,68,65,3
1773588639,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1117739,1754873,0.2218,0,10,32,60,68,65,3
1773588640,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1117739,1754873,0.2218,0,10,32,60,68,65,3
1773588641,65,32,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1117739,1754873,0.2218,0,10,32,60,68,65,3
1773588642,65,31,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1117729,1754873,0.2218,-10,0,31,60,69,65,4
1773588643,65,31,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1117729,1754873,0.2218,-10,-10,31,60,69,65,4
1773588644,65,31,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1117729,1755751,0.222,-10,-10,31,60,69,65,4
1773588645,65,31,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1117729,1755751,0.222,0,-10,31,60,69,65,4
1773588646,65,31,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1118607,1755751,0.2217,878,868,31,60,69,65,4
1773588647,65,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1118607,1755751,0.2217,878,868,31,60,69,65,4
1773588648,65,31,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1118607,1755751,0.2217,878,868,31,60,69,65,4
