ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773588598,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1759247,1103560,-0.229,0,0,64,26,35,33,2
1773588599,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1759247,1103560,-0.229,0,0,64,26,35,33,2
1773588600,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1759247,1103560,-0.229,0,0,64,26,35,33,2
1773588601,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1759247,1103560,-0.229,0,0,64,26,35,33,2
1773588602,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1759247,1103560,-0.229,0,0,64,26,35,33,2
1773588603,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1759247,1103560,-0.229,0,0,64,26,35,33,2
1773588604,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1759197,1103560,-0.229,-50,-50,65,26,34,33,1
1773588605,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1759197,1103560,-0.229,-50,-50,65,26,34,33,1
1773588606,33,65,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1758577,1103560,-0.2289,-670,-670,64,26,35,33,2
1773588607,33,65,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1758540,1103560,-0.2288,-657,-707,64,26,35,33,2
1773588608,33,65,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1758540,1103560,-0.2288,-657,-707,64,26,35,33,2
1773588609,33,65,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1758540,1103560,-0.2288,-37,-707,64,26,35,33,2
1773588610,33,65,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1758540,1103560,-0.2288,0,-707,64,26,35,33,2
1773588611,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758540,1103560,-0.2288,0,-707,64,26,35,33,2
1773588612,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758540,1103560,-0.2288,0,-707,64,26,35,33,2
1773588613,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758540,1103560,-0.2288,0,-707,64,26,35,33,2
1773588614,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758540,1103560,-0.2288,0,-657,64,26,35,33,2
1773588615,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758540,1103560,-0.2288,0,-657,64,26,35,33,2
1773588616,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758540,1103560,-0.2288,0,-37,64,26,35,33,2
1773588617,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758577,1103560,-0.2289,37,37,64,26,35,33,2
1773588618,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758577,1103560,-0.2289,37,37,64,26,35,33,2
1773588619,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758577,1103560,-0.2289,37,37,64,26,35,33,2
1773588620,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758577,1103560,-0.2289,0,37,64,26,35,33,2
1773588621,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758577,1103560,-0.2289,0,37,64,26,35,33,2
1773588622,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758577,1103560,-0.2289,0,37,64,26,35,33,2
1773588623,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758577,1103560,-0.2289,0,37,64,26,35,33,2
1773588624,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758577,1103919,-0.2287,0,37,64,26,35,33,2
1773588625,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758577,1103919,-0.2287,0,37,64,26,35,33,2
1773588626,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758577,1103919,-0.2287,0,37,64,26,35,33,2
1773588627,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758577,1103919,-0.2287,0,0,64,26,35,33,2
1773588628,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758577,1103903,-0.2287,0,0,64,26,35,33,2
1773588629,33,64,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1758497,1104066,-0.2286,-80,-80,63,26,36,33,3
1773588630,33,64,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1758497,1104066,-0.2286,-80,-80,63,26,36,33,3
1773588631,33,64,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1758497,1104066,-0.2286,-80,-80,63,26,36,33,3
1773588632,33,64,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1758497,1104066,-0.2286,0,-80,63,26,36,33,3
1773588633,33,65,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1758510,1103710,-0.2288,13,-67,64,26,35,33,2
1773588634,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758510,1103710,-0.2288,13,-67,64,26,35,33,2
1773588635,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758510,1103710,-0.2288,13,-67,64,26,35,33,2
1773588636,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758510,1103648,-0.2288,0,-67,64,26,35,33,2
1773588637,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758493,1103648,-0.2288,-17,-84,64,26,35,33,2
1773588638,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758493,1103648,-0.2288,-17,-84,64,26,35,33,2
1773588639,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758493,1103648,-0.2288,-17,-4,64,26,35,33,2
1773588640,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758493,1103648,-0.2288,0,-4,64,26,35,33,2
1773588641,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758493,1103648,-0.2288,0,-4,64,26,35,33,2
1773588642,33,65,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1758493,1104004,-0.2286,0,-4,64,26,35,33,2
