ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773851399,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851400,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851401,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851402,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851403,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851404,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851405,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851406,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851407,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851408,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851409,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851410,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851411,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851412,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851413,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851414,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851415,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851416,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851417,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851418,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851419,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851420,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851421,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851422,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851423,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851424,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851425,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851426,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851427,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851428,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851429,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851430,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851431,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851432,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851433,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851434,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851435,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851436,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851437,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851438,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851439,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851440,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851441,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851442,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851443,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851444,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851445,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851446,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851447,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851448,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851449,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851450,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851451,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851452,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851453,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851454,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851455,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851456,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851457,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851458,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851459,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851460,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851461,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851462,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851463,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851464,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851465,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851466,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851467,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047619,1433693,-0.1763,0,0,61,33,37,36,1
1773851468,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047652,1433726,-0.1763,33,33,61,33,37,36,1
1773851469,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047652,1433726,-0.1763,33,33,61,33,37,36,1
1773851470,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047652,1433726,-0.1763,33,33,61,33,37,36,1
1773851471,36,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2047652,1433726,-0.1763,0,33,61,33,37,36,1
