ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774308599,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308600,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308601,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308602,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308603,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308604,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308605,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308606,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308607,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308608,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308609,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308610,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308611,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308612,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308613,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308614,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308615,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308616,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308617,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308618,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308619,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308620,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308621,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308622,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308623,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308624,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308625,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308626,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308627,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308628,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308629,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308630,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308631,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308632,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308633,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308634,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308635,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308636,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308637,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308638,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308639,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308640,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308641,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308642,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308643,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308644,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308645,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308646,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308647,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308648,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308649,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
1774308650,87,12,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,306054,1327462,0.6253,0,0,10,70,88,87,1
