ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774283399,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190218,3516463,-0.0874,0,0,57,33,39,38,1
1774283400,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190218,3516463,-0.0874,0,0,57,33,39,38,1
1774283401,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190218,3516463,-0.0874,0,0,57,33,39,38,1
1774283402,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190218,3516463,-0.0874,0,0,57,33,39,38,1
1774283403,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190218,3516463,-0.0874,0,0,57,33,39,38,1
1774283404,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190218,3516463,-0.0874,0,0,57,33,39,38,1
1774283405,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516463,-0.0874,20,20,57,33,39,38,1
1774283406,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516463,-0.0874,20,20,57,33,39,38,1
1774283407,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516463,-0.0874,20,20,57,33,39,38,1
1774283408,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516463,-0.0874,0,20,57,33,39,38,1
1774283409,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516463,-0.0874,0,20,57,33,39,38,1
1774283410,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516463,-0.0874,0,20,57,33,39,38,1
1774283411,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516463,-0.0874,0,20,57,33,39,38,1
1774283412,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516463,-0.0874,0,20,57,33,39,38,1
1774283413,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516463,-0.0874,0,20,57,33,39,38,1
1774283414,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516463,-0.0874,0,20,57,33,39,38,1
1774283415,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516463,-0.0874,0,0,57,33,39,38,1
1774283416,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516413,-0.0874,0,0,57,33,39,38,1
1774283417,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516413,-0.0874,0,0,57,33,39,38,1
1774283418,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516413,-0.0874,0,0,57,33,39,38,1
1774283419,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190238,3516413,-0.0874,0,0,57,33,39,38,1
1774283420,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190218,3516413,-0.0874,-20,-20,57,33,39,38,1
1774283421,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190218,3516413,-0.0874,-20,-20,57,33,39,38,1
1774283422,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190218,3516413,-0.0874,-20,-20,57,33,39,38,1
1774283423,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190218,3516413,-0.0874,0,-20,57,33,39,38,1
1774283424,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190218,3516413,-0.0874,0,-20,57,33,39,38,1
1774283425,38,61,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,4190218,3516413,-0.0874,0,-20,57,33,39,38,1
