ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774283399,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283400,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283401,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283402,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283403,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283404,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283405,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283406,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283407,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283408,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283409,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283410,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283411,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283412,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283413,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283414,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283415,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283416,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283417,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283418,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283419,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283420,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283421,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283422,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283423,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283424,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283425,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283426,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283427,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283428,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283429,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283430,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283431,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283432,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283433,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283434,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283435,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283436,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283437,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283438,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283439,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283440,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283441,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1865424,3695602,0.3291,0,0,10,84,90,89,1
1774283442,89,10,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1865423,3695602,0.3291,-1,-1,10,84,90,89,1
1774283443,89,10,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,-16,-16,10,84,90,89,1
1774283444,89,10,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,-16,-16,10,84,90,89,1
1774283445,89,10,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,-15,-16,10,84,90,89,1
1774283446,89,10,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,0,-16,10,84,90,89,1
1774283447,89,10,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,0,-16,10,84,90,89,1
1774283448,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,0,-16,10,84,90,89,1
1774283449,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,0,-16,10,84,90,89,1
1774283450,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,0,-16,10,84,90,89,1
1774283451,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,0,-16,10,84,90,89,1
1774283452,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,0,-15,10,84,90,89,1
1774283453,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,0,0,10,84,90,89,1
1774283454,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,0,0,10,84,90,89,1
1774283455,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,0,0,10,84,90,89,1
1774283456,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,0,0,10,84,90,89,1
1774283457,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,0,0,10,84,90,89,1
1774283458,89,10,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1865408,3695602,0.3291,0,0,10,84,90,89,1
