Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1156,1773521264,2026-03-14T13:47:44,,,yes,
1295,1773521281,2026-03-14T13:48:01,,,no,
3244,1773521484,2026-03-14T13:51:24,,,yes,
3899,1773521540,2026-03-14T13:52:20,,,yes,
4981,1773521621,2026-03-14T13:53:41,,,yes,
4982,1773521621,2026-03-14T13:53:41,,,yes,
6342,1773521734,2026-03-14T13:55:34,,,yes,
7828,1773521869,2026-03-14T13:57:49,,,yes,
12455,1773522240,2026-03-14T14:04:00,,,yes,
13448,1773522298,2026-03-14T14:04:58,,,yes,
13491,1773522300,2026-03-14T14:05:00,,,yes,
13492,1773522300,2026-03-14T14:05:00,,,yes,
13493,1773522300,2026-03-14T14:05:00,,,yes,
13494,1773522300,2026-03-14T14:05:00,,,yes,
13495,1773522300,2026-03-14T14:05:00,,,yes,
14903,1773522413,2026-03-14T14:06:53,,,yes,
14904,1773522413,2026-03-14T14:06:53,,,yes,
14905,1773522413,2026-03-14T14:06:53,,,yes,
14974,1773522420,2026-03-14T14:07:00,,,yes,
15150,1773522434,2026-03-14T14:07:14,,,yes,
15151,1773522434,2026-03-14T14:07:14,,,yes,
15184,1773522438,2026-03-14T14:07:18,,,yes,
15185,1773522438,2026-03-14T14:07:18,,,yes,
15186,1773522438,2026-03-14T14:07:18,,,yes,
15187,1773522438,2026-03-14T14:07:18,,,yes,
15244,1773522441,2026-03-14T14:07:21,,,yes,
15245,1773522441,2026-03-14T14:07:21,,,yes,
15246,1773522441,2026-03-14T14:07:21,,,yes,
15458,1773522456,2026-03-14T14:07:36,,,yes,
15459,1773522456,2026-03-14T14:07:36,,,yes,
15460,1773522456,2026-03-14T14:07:36,,,yes,
15461,1773522456,2026-03-14T14:07:36,,,yes,
15462,1773522456,2026-03-14T14:07:36,,,yes,
15840,1773522480,2026-03-14T14:08:00,,,yes,
15841,1773522480,2026-03-14T14:08:00,,,yes,
15842,1773522480,2026-03-14T14:08:00,,,yes,
15963,1773522492,2026-03-14T14:08:12,,,yes,
15964,1773522492,2026-03-14T14:08:12,,,yes,
15965,1773522492,2026-03-14T14:08:12,,,yes,
15966,1773522492,2026-03-14T14:08:12,,,yes,
16015,1773522496,2026-03-14T14:08:16,,,yes,
16089,1773522501,2026-03-14T14:08:21,,,yes,
16090,1773522501,2026-03-14T14:08:21,,,yes,
16091,1773522501,2026-03-14T14:08:21,,,yes,
16092,1773522501,2026-03-14T14:08:21,,,yes,
16147,1773522506,2026-03-14T14:08:26,,,yes,
16362,1773522517,2026-03-14T14:08:37,,,yes,
16363,1773522517,2026-03-14T14:08:37,,,yes,
16364,1773522517,2026-03-14T14:08:37,,,yes,
16604,1773522537,2026-03-14T14:08:57,,,yes,
16653,1773522540,2026-03-14T14:09:00,,,yes,
16875,1773522562,2026-03-14T14:09:22,,,yes,
16951,1773522567,2026-03-14T14:09:27,,,yes,
16952,1773522567,2026-03-14T14:09:27,,,yes,
17140,1773522585,2026-03-14T14:09:45,,,yes,
17141,1773522585,2026-03-14T14:09:45,,,yes,
17142,1773522585,2026-03-14T14:09:45,,,yes,
17424,1773522608,2026-03-14T14:10:08,,,yes,
17533,1773522618,2026-03-14T14:10:18,,,yes,
18163,1773522663,2026-03-14T14:11:03,,,yes,
18484,1773522686,2026-03-14T14:11:26,,,yes,
18861,1773522718,2026-03-14T14:11:58,,,yes,
18862,1773522718,2026-03-14T14:11:58,,,yes,
18863,1773522718,2026-03-14T14:11:58,,,yes,
18864,1773522718,2026-03-14T14:11:58,,,yes,
18865,1773522718,2026-03-14T14:11:58,,,yes,
18866,1773522718,2026-03-14T14:11:58,,,yes,
18867,1773522718,2026-03-14T14:11:58,,,yes,
18868,1773522718,2026-03-14T14:11:58,,,yes,
18983,1773522729,2026-03-14T14:12:09,,,yes,
19023,1773522731,2026-03-14T14:12:11,,,yes,
19024,1773522731,2026-03-14T14:12:11,,,yes,
19025,1773522731,2026-03-14T14:12:11,,,yes,
19026,1773522731,2026-03-14T14:12:11,,,yes,
19027,1773522731,2026-03-14T14:12:11,,,yes,
19028,1773522731,2026-03-14T14:12:11,,,yes,
19029,1773522731,2026-03-14T14:12:11,,,yes,
19030,1773522731,2026-03-14T14:12:11,,,yes,
19098,1773522738,2026-03-14T14:12:18,,,yes,
19162,1773522744,2026-03-14T14:12:24,,,yes,
19240,1773522751,2026-03-14T14:12:31,,,yes,
19397,1773522766,2026-03-14T14:12:46,,,yes,
19398,1773522766,2026-03-14T14:12:46,,,yes,
19422,1773522768,2026-03-14T14:12:48,,,yes,
19423,1773522768,2026-03-14T14:12:48,,,yes,
19424,1773522768,2026-03-14T14:12:48,,,yes,
19425,1773522768,2026-03-14T14:12:48,,,yes,
19426,1773522768,2026-03-14T14:12:48,,,yes,
19427,1773522768,2026-03-14T14:12:48,,,yes,
19428,1773522768,2026-03-14T14:12:48,,,yes,
19429,1773522768,2026-03-14T14:12:48,,,yes,
19430,1773522768,2026-03-14T14:12:48,,,yes,
19567,1773522781,2026-03-14T14:13:01,,,yes,
19568,1773522781,2026-03-14T14:13:01,,,yes,
19569,1773522781,2026-03-14T14:13:01,,,yes,
19570,1773522781,2026-03-14T14:13:01,,,yes,
19571,1773522781,2026-03-14T14:13:01,,,yes,
19572,1773522781,2026-03-14T14:13:01,,,yes,
19573,1773522781,2026-03-14T14:13:01,,,yes,
19574,1773522781,2026-03-14T14:13:01,,,yes,
19575,1773522781,2026-03-14T14:13:01,,,yes,
19576,1773522781,2026-03-14T14:13:01,,,yes,
19577,1773522781,2026-03-14T14:13:01,,,yes,
19578,1773522781,2026-03-14T14:13:01,,,yes,
19878,1773522806,2026-03-14T14:13:26,,,yes,
19879,1773522806,2026-03-14T14:13:26,,,yes,
19880,1773522806,2026-03-14T14:13:26,,,yes,
20110,1773522828,2026-03-14T14:13:48,,,yes,
20389,1773522857,2026-03-14T14:14:17,,,yes,
20390,1773522857,2026-03-14T14:14:17,,,yes,
20391,1773522857,2026-03-14T14:14:17,,,yes,
20392,1773522857,2026-03-14T14:14:17,,,yes,
