Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
782,1774012212,2026-03-20T06:10:12,,,yes,
1348,1774012396,2026-03-20T06:13:16,,,yes,
1812,1774012553,2026-03-20T06:15:53,,,no,
1813,1774012553,2026-03-20T06:15:53,,,no,
3835,1774013220,2026-03-20T06:27:00,,,yes,
12777,1774015736,2026-03-20T07:08:56,,,yes,
13003,1774015796,2026-03-20T07:09:56,,,yes,
14222,1774016130,2026-03-20T07:15:30,,,yes,
14384,1774016176,2026-03-20T07:16:16,,,no,
17743,1774016982,2026-03-20T07:29:42,,,yes,
18505,1774017182,2026-03-20T07:33:02,,,yes,
21258,1774017860,2026-03-20T07:44:20,,,yes,
23908,1774018500,2026-03-20T07:55:00,,,no,
25686,1774018894,2026-03-20T08:01:34,,,yes,
27233,1774019228,2026-03-20T08:07:08,,,yes,
27374,1774019258,2026-03-20T08:07:38,,,no,
28168,1774019433,2026-03-20T08:10:33,,,no,
31140,1774020064,2026-03-20T08:21:04,,,no,
40081,1774021543,2026-03-20T08:45:43,,,yes,
42061,1774021821,2026-03-20T08:50:21,,,no,
45672,1774022315,2026-03-20T08:58:35,,,yes,
48156,1774022658,2026-03-20T09:04:18,,,no,
50670,1774022983,2026-03-20T09:09:43,,,yes,
51173,1774023039,2026-03-20T09:10:39,,,no,
52601,1774023185,2026-03-20T09:13:05,,,yes,
52999,1774023227,2026-03-20T09:13:47,,,yes,
53009,1774023227,2026-03-20T09:13:47,,,yes,
60978,1774023923,2026-03-20T09:25:23,,,yes,
60979,1774023923,2026-03-20T09:25:23,,,yes,
72406,1774025122,2026-03-20T09:45:22,,,yes,
79913,1774025856,2026-03-20T09:57:36,,,no,
88122,1774026556,2026-03-20T10:09:16,,,yes,
88703,1774026613,2026-03-20T10:10:13,,,no,
91482,1774026894,2026-03-20T10:14:54,,,yes,
94960,1774027215,2026-03-20T10:20:15,,,yes,
96554,1774027369,2026-03-20T10:22:49,,,yes,
98208,1774027524,2026-03-20T10:25:24,,,yes,
98209,1774027524,2026-03-20T10:25:24,,,yes,
103910,1774027885,2026-03-20T10:31:25,,,yes,
103985,1774027889,2026-03-20T10:31:29,,,yes,
118858,1774029046,2026-03-20T10:50:46,,,no,
122888,1774029226,2026-03-20T10:53:46,,,yes,
130088,1774029599,2026-03-20T10:59:59,,,yes,
134094,1774029782,2026-03-20T11:03:02,,,yes,
146488,1774030317,2026-03-20T11:11:57,,,yes,
181827,1774031359,2026-03-20T11:29:19,,,yes,
195998,1774031913,2026-03-20T11:38:33,,,yes,
200098,1774032086,2026-03-20T11:41:26,,,yes,
201314,1774032141,2026-03-20T11:42:21,,,yes,
202204,1774032191,2026-03-20T11:43:11,,,yes,
202205,1774032191,2026-03-20T11:43:11,,,yes,
204350,1774032306,2026-03-20T11:45:06,,,yes,
206798,1774032432,2026-03-20T11:47:12,,,yes,
214394,1774032872,2026-03-20T11:54:32,,,yes,
214463,1774032877,2026-03-20T11:54:37,,,yes,
215079,1774032913,2026-03-20T11:55:13,,,yes,
215080,1774032913,2026-03-20T11:55:13,,,yes,
215081,1774032913,2026-03-20T11:55:13,,,yes,
216855,1774033039,2026-03-20T11:57:19,,,yes,
216856,1774033039,2026-03-20T11:57:19,,,yes,
216857,1774033039,2026-03-20T11:57:19,,,yes,
216933,1774033045,2026-03-20T11:57:25,,,yes,
218670,1774033167,2026-03-20T11:59:27,,,yes,
218671,1774033167,2026-03-20T11:59:27,,,yes,
218672,1774033167,2026-03-20T11:59:27,,,yes,
218673,1774033167,2026-03-20T11:59:27,,,yes,
218674,1774033167,2026-03-20T11:59:27,,,yes,
218675,1774033167,2026-03-20T11:59:27,,,yes,
218676,1774033167,2026-03-20T11:59:27,,,yes,
218677,1774033167,2026-03-20T11:59:27,,,yes,
219050,1774033191,2026-03-20T11:59:51,,,yes,
219051,1774033191,2026-03-20T11:59:51,,,yes,
219052,1774033191,2026-03-20T11:59:51,,,yes,
219053,1774033191,2026-03-20T11:59:51,,,yes,
222209,1774033380,2026-03-20T12:03:00,,,yes,
228399,1774033725,2026-03-20T12:08:45,,,yes,
229418,1774033783,2026-03-20T12:09:43,,,yes,
232365,1774033942,2026-03-20T12:12:22,,,yes,
242541,1774034531,2026-03-20T12:22:11,,,yes,
254109,1774035182,2026-03-20T12:33:02,,,yes,
255409,1774035242,2026-03-20T12:34:02,,,no,
258579,1774035409,2026-03-20T12:36:49,,,yes,
258795,1774035419,2026-03-20T12:36:59,,,yes,
259751,1774035475,2026-03-20T12:37:55,,,no,
262122,1774035609,2026-03-20T12:40:09,,,yes,
262175,1774035612,2026-03-20T12:40:12,,,yes,
262176,1774035612,2026-03-20T12:40:12,,,yes,
262177,1774035612,2026-03-20T12:40:12,,,yes,
262178,1774035612,2026-03-20T12:40:12,,,yes,
262834,1774035649,2026-03-20T12:40:49,,,yes,
263787,1774035700,2026-03-20T12:41:40,,,yes,
264308,1774035726,2026-03-20T12:42:06,,,yes,
264368,1774035729,2026-03-20T12:42:09,,,yes,
264369,1774035729,2026-03-20T12:42:09,,,yes,
264583,1774035739,2026-03-20T12:42:19,,,yes,
264584,1774035739,2026-03-20T12:42:19,,,yes,
264585,1774035739,2026-03-20T12:42:19,,,yes,
264586,1774035739,2026-03-20T12:42:19,,,yes,
264587,1774035739,2026-03-20T12:42:19,,,yes,
264588,1774035739,2026-03-20T12:42:19,,,yes,
264589,1774035739,2026-03-20T12:42:19,,,yes,
264591,1774035739,2026-03-20T12:42:19,,,yes,
264711,1774035743,2026-03-20T12:42:23,,,yes,
264712,1774035743,2026-03-20T12:42:23,,,yes,
265221,1774035765,2026-03-20T12:42:45,,,yes,
265329,1774035770,2026-03-20T12:42:50,,,yes,
265330,1774035770,2026-03-20T12:42:50,,,yes,
265331,1774035770,2026-03-20T12:42:50,,,yes,
265332,1774035770,2026-03-20T12:42:50,,,yes,
265333,1774035770,2026-03-20T12:42:50,,,yes,
265334,1774035770,2026-03-20T12:42:50,,,yes,
265339,1774035770,2026-03-20T12:42:50,,,yes,
265903,1774035790,2026-03-20T12:43:10,,,yes,
265904,1774035790,2026-03-20T12:43:10,,,yes,
265905,1774035790,2026-03-20T12:43:10,,,yes,
265906,1774035790,2026-03-20T12:43:10,,,yes,
265907,1774035790,2026-03-20T12:43:10,,,yes,
266120,1774035798,2026-03-20T12:43:18,,,no,
266190,1774035801,2026-03-20T12:43:21,,,yes,
266191,1774035801,2026-03-20T12:43:21,,,yes,
266439,1774035811,2026-03-20T12:43:31,,,yes,
266440,1774035811,2026-03-20T12:43:31,,,yes,
266506,1774035813,2026-03-20T12:43:33,,,yes,
266507,1774035813,2026-03-20T12:43:33,,,yes,
266886,1774035823,2026-03-20T12:43:43,,,yes,
266887,1774035823,2026-03-20T12:43:43,,,yes,
267196,1774035833,2026-03-20T12:43:53,,,yes,
268801,1774035887,2026-03-20T12:44:47,,,yes,
268802,1774035887,2026-03-20T12:44:47,,,yes,
268803,1774035887,2026-03-20T12:44:47,,,yes,
268804,1774035887,2026-03-20T12:44:47,,,yes,
269252,1774035897,2026-03-20T12:44:57,,,yes,
269253,1774035897,2026-03-20T12:44:57,,,yes,
269254,1774035897,2026-03-20T12:44:57,,,yes,
269255,1774035897,2026-03-20T12:44:57,,,yes,
269256,1774035897,2026-03-20T12:44:57,,,yes,
269257,1774035897,2026-03-20T12:44:57,,,yes,
269258,1774035897,2026-03-20T12:44:57,,,yes,
269259,1774035897,2026-03-20T12:44:57,,,yes,
269260,1774035897,2026-03-20T12:44:57,,,yes,
269593,1774035906,2026-03-20T12:45:06,,,yes,
270245,1774035922,2026-03-20T12:45:22,,,yes,
270273,1774035923,2026-03-20T12:45:23,,,yes,
270315,1774035924,2026-03-20T12:45:24,,,yes,
270316,1774035924,2026-03-20T12:45:24,,,yes,
270317,1774035924,2026-03-20T12:45:24,,,yes,
270318,1774035924,2026-03-20T12:45:24,,,yes,
270747,1774035935,2026-03-20T12:45:35,,,yes,
271203,1774035946,2026-03-20T12:45:46,,,yes,
273571,1774036007,2026-03-20T12:46:47,,,yes,
275427,1774036068,2026-03-20T12:47:48,,,yes,
276227,1774036095,2026-03-20T12:48:15,,,yes,
276228,1774036095,2026-03-20T12:48:15,,,yes,
276229,1774036095,2026-03-20T12:48:15,,,yes,
276230,1774036095,2026-03-20T12:48:15,,,yes,
276509,1774036102,2026-03-20T12:48:22,,,yes,
276510,1774036102,2026-03-20T12:48:22,,,yes,
279953,1774036213,2026-03-20T12:50:13,,,yes,
279954,1774036213,2026-03-20T12:50:13,,,yes,
281510,1774036273,2026-03-20T12:51:13,,,yes,
282034,1774036296,2026-03-20T12:51:36,,,yes,
282035,1774036296,2026-03-20T12:51:36,,,yes,
282036,1774036296,2026-03-20T12:51:36,,,yes,
282037,1774036296,2026-03-20T12:51:36,,,yes,
282044,1774036296,2026-03-20T12:51:36,,,yes,
282045,1774036296,2026-03-20T12:51:36,,,yes,
282046,1774036296,2026-03-20T12:51:36,,,yes,
282047,1774036296,2026-03-20T12:51:36,,,yes,
282048,1774036296,2026-03-20T12:51:36,,,yes,
282049,1774036296,2026-03-20T12:51:36,,,yes,
282050,1774036296,2026-03-20T12:51:36,,,yes,
282824,1774036335,2026-03-20T12:52:15,,,yes,
282825,1774036335,2026-03-20T12:52:15,,,yes,
283397,1774036362,2026-03-20T12:52:42,,,yes,
283398,1774036362,2026-03-20T12:52:42,,,yes,
283399,1774036362,2026-03-20T12:52:42,,,yes,
283400,1774036362,2026-03-20T12:52:42,,,yes,
283401,1774036362,2026-03-20T12:52:42,,,yes,
283402,1774036362,2026-03-20T12:52:42,,,yes,
283403,1774036362,2026-03-20T12:52:42,,,yes,
283404,1774036362,2026-03-20T12:52:42,,,yes,
283405,1774036362,2026-03-20T12:52:42,,,yes,
283713,1774036379,2026-03-20T12:52:59,,,yes,
283761,1774036381,2026-03-20T12:53:01,,,yes,
283762,1774036381,2026-03-20T12:53:01,,,yes,
283763,1774036381,2026-03-20T12:53:01,,,yes,
283885,1774036386,2026-03-20T12:53:06,,,yes,
283886,1774036386,2026-03-20T12:53:06,,,yes,
284052,1774036393,2026-03-20T12:53:13,,,yes,
284053,1774036393,2026-03-20T12:53:13,,,yes,
284065,1774036393,2026-03-20T12:53:13,,,yes,
284066,1774036393,2026-03-20T12:53:13,,,yes,
284093,1774036395,2026-03-20T12:53:15,,,yes,
284338,1774036407,2026-03-20T12:53:27,,,yes,
284339,1774036407,2026-03-20T12:53:27,,,yes,
284492,1774036412,2026-03-20T12:53:32,,,yes,
285120,1774036435,2026-03-20T12:53:55,,,no,
285121,1774036435,2026-03-20T12:53:55,,,no,
285153,1774036436,2026-03-20T12:53:56,,,yes,
285154,1774036436,2026-03-20T12:53:56,,,yes,
285155,1774036436,2026-03-20T12:53:56,,,yes,
285156,1774036436,2026-03-20T12:53:56,,,yes,
285652,1774036451,2026-03-20T12:54:11,,,yes,
285653,1774036451,2026-03-20T12:54:11,,,yes,
288330,1774036536,2026-03-20T12:55:36,,,yes,
289081,1774036561,2026-03-20T12:56:01,,,yes,
289082,1774036561,2026-03-20T12:56:01,,,yes,
289138,1774036563,2026-03-20T12:56:03,,,yes,
289139,1774036563,2026-03-20T12:56:03,,,yes,
289140,1774036563,2026-03-20T12:56:03,,,yes,
289141,1774036563,2026-03-20T12:56:03,,,yes,
289142,1774036563,2026-03-20T12:56:03,,,yes,
289143,1774036563,2026-03-20T12:56:03,,,yes,
289144,1774036563,2026-03-20T12:56:03,,,yes,
289145,1774036563,2026-03-20T12:56:03,,,yes,
289146,1774036563,2026-03-20T12:56:03,,,yes,
289147,1774036563,2026-03-20T12:56:03,,,yes,
289148,1774036563,2026-03-20T12:56:03,,,yes,
289149,1774036563,2026-03-20T12:56:03,,,yes,
289150,1774036563,2026-03-20T12:56:03,,,yes,
289159,1774036564,2026-03-20T12:56:04,,,no,
289168,1774036564,2026-03-20T12:56:04,,,no,
289171,1774036564,2026-03-20T12:56:04,,,no,
289173,1774036564,2026-03-20T12:56:04,,,no,
289201,1774036565,2026-03-20T12:56:05,,,yes,
289369,1774036572,2026-03-20T12:56:12,,,yes,
289418,1774036574,2026-03-20T12:56:14,,,yes,
289905,1774036593,2026-03-20T12:56:33,,,yes,
289906,1774036593,2026-03-20T12:56:33,,,yes,
289907,1774036593,2026-03-20T12:56:33,,,yes,
289908,1774036593,2026-03-20T12:56:33,,,yes,
290183,1774036604,2026-03-20T12:56:44,,,yes,
290184,1774036604,2026-03-20T12:56:44,,,yes,
290185,1774036604,2026-03-20T12:56:44,,,yes,
290186,1774036604,2026-03-20T12:56:44,,,yes,
290187,1774036604,2026-03-20T12:56:44,,,yes,
290188,1774036604,2026-03-20T12:56:44,,,yes,
290189,1774036604,2026-03-20T12:56:44,,,yes,
290190,1774036604,2026-03-20T12:56:44,,,yes,
290191,1774036604,2026-03-20T12:56:44,,,yes,
290192,1774036604,2026-03-20T12:56:44,,,yes,
290193,1774036604,2026-03-20T12:56:44,,,yes,
290194,1774036604,2026-03-20T12:56:44,,,yes,
290195,1774036604,2026-03-20T12:56:44,,,yes,
290615,1774036623,2026-03-20T12:57:03,,,yes,
290616,1774036623,2026-03-20T12:57:03,,,yes,
290617,1774036623,2026-03-20T12:57:03,,,yes,
290618,1774036623,2026-03-20T12:57:03,,,yes,
290619,1774036623,2026-03-20T12:57:03,,,yes,
290620,1774036623,2026-03-20T12:57:03,,,yes,
290621,1774036623,2026-03-20T12:57:03,,,yes,
290622,1774036623,2026-03-20T12:57:03,,,yes,
290623,1774036623,2026-03-20T12:57:03,,,yes,
290624,1774036623,2026-03-20T12:57:03,,,yes,
290625,1774036623,2026-03-20T12:57:03,,,yes,
290626,1774036623,2026-03-20T12:57:03,,,yes,
290627,1774036623,2026-03-20T12:57:03,,,yes,
290628,1774036623,2026-03-20T12:57:03,,,yes,
291081,1774036643,2026-03-20T12:57:23,,,yes,
291100,1774036644,2026-03-20T12:57:24,,,yes,
291101,1774036644,2026-03-20T12:57:24,,,yes,
291102,1774036644,2026-03-20T12:57:24,,,yes,
291103,1774036644,2026-03-20T12:57:24,,,yes,
291104,1774036644,2026-03-20T12:57:24,,,yes,
291105,1774036644,2026-03-20T12:57:24,,,yes,
291106,1774036644,2026-03-20T12:57:24,,,yes,
291107,1774036644,2026-03-20T12:57:24,,,yes,
291108,1774036644,2026-03-20T12:57:24,,,yes,
291109,1774036644,2026-03-20T12:57:24,,,yes,
291110,1774036644,2026-03-20T12:57:24,,,yes,
291111,1774036644,2026-03-20T12:57:24,,,yes,
291112,1774036644,2026-03-20T12:57:24,,,yes,
291143,1774036646,2026-03-20T12:57:26,,,yes,
291144,1774036646,2026-03-20T12:57:26,,,yes,
291145,1774036646,2026-03-20T12:57:26,,,yes,
291146,1774036646,2026-03-20T12:57:26,,,yes,
291147,1774036646,2026-03-20T12:57:26,,,yes,
291170,1774036646,2026-03-20T12:57:26,,,yes,
291171,1774036646,2026-03-20T12:57:26,,,yes,
291634,1774036664,2026-03-20T12:57:44,,,yes,
291635,1774036664,2026-03-20T12:57:44,,,yes,
291636,1774036664,2026-03-20T12:57:44,,,yes,
