Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
447,1774098464,2026-03-21T06:07:44,,,yes,
474,1774098471,2026-03-21T06:07:51,,,yes,
795,1774098544,2026-03-21T06:09:04,,,no,
1885,1774098803,2026-03-21T06:13:23,,,yes,
4578,1774099533,2026-03-21T06:25:33,,,yes,
5673,1774099886,2026-03-21T06:31:26,,,yes,
6709,1774100200,2026-03-21T06:36:40,,,yes,
7004,1774100272,2026-03-21T06:37:52,,,no,
7083,1774100291,2026-03-21T06:38:11,,,yes,
7123,1774100302,2026-03-21T06:38:22,,,yes,
8824,1774100787,2026-03-21T06:46:27,,,yes,
9521,1774100991,2026-03-21T06:49:51,,,yes,
9522,1774100991,2026-03-21T06:49:51,,,yes,
9637,1774101022,2026-03-21T06:50:22,,,yes,
11322,1774101442,2026-03-21T06:57:22,,,yes,
14310,1774101886,2026-03-21T07:04:46,,,yes,
14755,1774101952,2026-03-21T07:05:52,,,yes,
14756,1774101952,2026-03-21T07:05:52,,,yes,
14920,1774101976,2026-03-21T07:06:16,,,yes,
18470,1774102537,2026-03-21T07:15:37,,,yes,
19303,1774102628,2026-03-21T07:17:08,,,yes,
22457,1774103024,2026-03-21T07:23:44,,,yes,
25588,1774103458,2026-03-21T07:30:58,,,no,
29905,1774103987,2026-03-21T07:39:47,,,yes,
31261,1774104154,2026-03-21T07:42:34,,,yes,
32264,1774104292,2026-03-21T07:44:52,,,yes,
33376,1774104458,2026-03-21T07:47:38,,,yes,
34579,1774104576,2026-03-21T07:49:36,,,yes,
37284,1774104896,2026-03-21T07:54:56,,,yes,
38489,1774105080,2026-03-21T07:58:00,,,yes,
38490,1774105080,2026-03-21T07:58:00,,,yes,
38491,1774105080,2026-03-21T07:58:00,,,yes,
39535,1774105242,2026-03-21T08:00:42,,,yes,
41790,1774105584,2026-03-21T08:06:24,,,yes,
46536,1774106261,2026-03-21T08:17:41,,,yes,
47869,1774106446,2026-03-21T08:20:46,,,yes,
49400,1774106656,2026-03-21T08:24:16,,,yes,
51176,1774106918,2026-03-21T08:28:38,,,yes,
51533,1774106967,2026-03-21T08:29:27,,,yes,
53712,1774107278,2026-03-21T08:34:38,,,yes,
55391,1774107482,2026-03-21T08:38:02,,,yes,
55682,1774107516,2026-03-21T08:38:36,,,yes,
60241,1774108099,2026-03-21T08:48:19,,,yes,
60242,1774108099,2026-03-21T08:48:19,,,yes,
60490,1774108130,2026-03-21T08:48:50,,,yes,
60510,1774108133,2026-03-21T08:48:53,,,yes,
60806,1774108167,2026-03-21T08:49:27,,,yes,
62327,1774108335,2026-03-21T08:52:15,,,yes,
63552,1774108486,2026-03-21T08:54:46,,,yes,
64321,1774108589,2026-03-21T08:56:29,,,yes,
64322,1774108589,2026-03-21T08:56:29,,,yes,
64335,1774108591,2026-03-21T08:56:31,,,yes,
64459,1774108600,2026-03-21T08:56:40,,,yes,
65632,1774108734,2026-03-21T08:58:54,,,yes,
67815,1774108942,2026-03-21T09:02:22,,,yes,
67816,1774108942,2026-03-21T09:02:22,,,yes,
68437,1774109001,2026-03-21T09:03:21,,,yes,
68752,1774109032,2026-03-21T09:03:52,,,yes,
72174,1774109331,2026-03-21T09:08:51,,,yes,
72175,1774109331,2026-03-21T09:08:51,,,yes,
72419,1774109350,2026-03-21T09:09:10,,,yes,
78373,1774109731,2026-03-21T09:15:31,,,yes,
85605,1774110160,2026-03-21T09:22:40,,,yes,
85606,1774110160,2026-03-21T09:22:40,,,yes,
86318,1774110203,2026-03-21T09:23:23,,,yes,
91836,1774110559,2026-03-21T09:29:19,,,yes,
