Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
560,1774271990,2026-03-23T06:19:50,,,no,
1200,1774272989,2026-03-23T06:36:29,,,yes,
9486,1774281989,2026-03-23T09:06:29,,,yes,
41584,1774287872,2026-03-23T10:44:32,,,yes,
66183,1774290742,2026-03-23T11:32:22,,,yes,
92109,1774293853,2026-03-23T12:24:13,,,no,
92110,1774293853,2026-03-23T12:24:13,,,no,
92111,1774293853,2026-03-23T12:24:13,,,no,
92112,1774293853,2026-03-23T12:24:13,,,no,
92969,1774293945,2026-03-23T12:25:45,,,yes,
172609,1774299172,2026-03-23T13:52:52,,,yes,
175142,1774299545,2026-03-23T13:59:05,,,yes,
175922,1774299696,2026-03-23T14:01:36,,,no,
202055,1774302027,2026-03-23T14:40:27,,,yes,
205429,1774302257,2026-03-23T14:44:17,,,yes,
205430,1774302257,2026-03-23T14:44:17,,,yes,
205431,1774302257,2026-03-23T14:44:17,,,yes,
205432,1774302257,2026-03-23T14:44:17,,,yes,
205433,1774302257,2026-03-23T14:44:17,,,yes,
205434,1774302257,2026-03-23T14:44:17,,,yes,
205435,1774302257,2026-03-23T14:44:17,,,yes,
205436,1774302257,2026-03-23T14:44:17,,,yes,
205451,1774302257,2026-03-23T14:44:17,,,no,
217706,1774303763,2026-03-23T15:09:23,,,yes,
217707,1774303763,2026-03-23T15:09:23,,,yes,
219568,1774303945,2026-03-23T15:12:25,,,yes,
226626,1774304597,2026-03-23T15:23:17,,,yes,
228226,1774304725,2026-03-23T15:25:25,,,yes,
234695,1774305453,2026-03-23T15:37:33,,,yes,
237756,1774305689,2026-03-23T15:41:29,,,yes,
241328,1774306080,2026-03-23T15:48:00,,,yes,
242062,1774306159,2026-03-23T15:49:19,,,yes,
243771,1774306306,2026-03-23T15:51:46,,,yes,
244043,1774306330,2026-03-23T15:52:10,,,yes,
244158,1774306340,2026-03-23T15:52:20,,,yes,
244159,1774306340,2026-03-23T15:52:20,,,yes,
249132,1774306604,2026-03-23T15:56:44,,,yes,
249760,1774306639,2026-03-23T15:57:19,,,yes,
251074,1774306721,2026-03-23T15:58:41,,,yes,
255124,1774306937,2026-03-23T16:02:17,,,no,
256218,1774306987,2026-03-23T16:03:07,,,yes,
257433,1774307040,2026-03-23T16:04:00,,,no,
257964,1774307070,2026-03-23T16:04:30,,,yes,
258404,1774307102,2026-03-23T16:05:02,,,yes,
258405,1774307102,2026-03-23T16:05:02,,,yes,
258406,1774307102,2026-03-23T16:05:02,,,yes,
258407,1774307102,2026-03-23T16:05:02,,,yes,
258408,1774307102,2026-03-23T16:05:02,,,yes,
258409,1774307102,2026-03-23T16:05:02,,,yes,
258570,1774307113,2026-03-23T16:05:13,,,yes,
258814,1774307131,2026-03-23T16:05:31,,,yes,
258815,1774307131,2026-03-23T16:05:31,,,yes,
258816,1774307131,2026-03-23T16:05:31,,,yes,
258817,1774307131,2026-03-23T16:05:31,,,yes,
258818,1774307131,2026-03-23T16:05:31,,,yes,
258819,1774307131,2026-03-23T16:05:31,,,yes,
258820,1774307131,2026-03-23T16:05:31,,,yes,
258821,1774307131,2026-03-23T16:05:31,,,yes,
258822,1774307131,2026-03-23T16:05:31,,,yes,
258823,1774307131,2026-03-23T16:05:31,,,yes,
258824,1774307131,2026-03-23T16:05:31,,,yes,
258825,1774307131,2026-03-23T16:05:31,,,yes,
258826,1774307131,2026-03-23T16:05:31,,,yes,
258827,1774307131,2026-03-23T16:05:31,,,yes,
258828,1774307131,2026-03-23T16:05:31,,,yes,
258941,1774307137,2026-03-23T16:05:37,,,yes,
258981,1774307140,2026-03-23T16:05:40,,,yes,
260193,1774307229,2026-03-23T16:07:09,,,yes,
260262,1774307235,2026-03-23T16:07:15,,,yes,
260955,1774307273,2026-03-23T16:07:53,,,yes,
260956,1774307273,2026-03-23T16:07:53,,,yes,
260957,1774307273,2026-03-23T16:07:53,,,yes,
260958,1774307273,2026-03-23T16:07:53,,,yes,
260959,1774307273,2026-03-23T16:07:53,,,yes,
260960,1774307273,2026-03-23T16:07:53,,,yes,
260961,1774307273,2026-03-23T16:07:53,,,yes,
261074,1774307281,2026-03-23T16:08:01,,,yes,
261075,1774307281,2026-03-23T16:08:01,,,yes,
261076,1774307281,2026-03-23T16:08:01,,,yes,
261077,1774307281,2026-03-23T16:08:01,,,yes,
261078,1774307281,2026-03-23T16:08:01,,,yes,
261079,1774307281,2026-03-23T16:08:01,,,yes,
261080,1774307281,2026-03-23T16:08:01,,,yes,
261206,1774307289,2026-03-23T16:08:09,,,yes,
261207,1774307289,2026-03-23T16:08:09,,,yes,
261208,1774307289,2026-03-23T16:08:09,,,yes,
261209,1774307289,2026-03-23T16:08:09,,,yes,
261210,1774307289,2026-03-23T16:08:09,,,yes,
261211,1774307289,2026-03-23T16:08:09,,,yes,
261330,1774307298,2026-03-23T16:08:18,,,yes,
261331,1774307298,2026-03-23T16:08:18,,,yes,
261332,1774307298,2026-03-23T16:08:18,,,yes,
261333,1774307298,2026-03-23T16:08:18,,,yes,
261334,1774307298,2026-03-23T16:08:18,,,yes,
261335,1774307298,2026-03-23T16:08:18,,,yes,
261336,1774307298,2026-03-23T16:08:18,,,yes,
261337,1774307298,2026-03-23T16:08:18,,,yes,
261338,1774307298,2026-03-23T16:08:18,,,yes,
261339,1774307298,2026-03-23T16:08:18,,,yes,
261340,1774307298,2026-03-23T16:08:18,,,yes,
261341,1774307298,2026-03-23T16:08:18,,,yes,
261342,1774307298,2026-03-23T16:08:18,,,yes,
261343,1774307298,2026-03-23T16:08:18,,,yes,
261344,1774307298,2026-03-23T16:08:18,,,yes,
261397,1774307302,2026-03-23T16:08:22,,,yes,
261398,1774307302,2026-03-23T16:08:22,,,yes,
261497,1774307310,2026-03-23T16:08:30,,,yes,
261498,1774307310,2026-03-23T16:08:30,,,yes,
261904,1774307335,2026-03-23T16:08:55,,,yes,
261962,1774307339,2026-03-23T16:08:59,,,yes,
261963,1774307339,2026-03-23T16:08:59,,,yes,
261964,1774307339,2026-03-23T16:08:59,,,yes,
262257,1774307361,2026-03-23T16:09:21,,,yes,
262284,1774307364,2026-03-23T16:09:24,,,yes,
262285,1774307364,2026-03-23T16:09:24,,,yes,
262286,1774307364,2026-03-23T16:09:24,,,yes,
262368,1774307370,2026-03-23T16:09:30,,,yes,
262570,1774307385,2026-03-23T16:09:45,,,yes,
263767,1774307466,2026-03-23T16:11:06,,,yes,
263797,1774307468,2026-03-23T16:11:08,,,yes,
264056,1774307484,2026-03-23T16:11:24,,,no,
264057,1774307484,2026-03-23T16:11:24,,,no,
264414,1774307506,2026-03-23T16:11:46,,,yes,
264415,1774307506,2026-03-23T16:11:46,,,yes,
264416,1774307506,2026-03-23T16:11:46,,,yes,
264521,1774307511,2026-03-23T16:11:51,,,yes,
264522,1774307511,2026-03-23T16:11:51,,,yes,
264524,1774307511,2026-03-23T16:11:51,,,yes,
264526,1774307511,2026-03-23T16:11:51,,,yes,
264527,1774307511,2026-03-23T16:11:51,,,yes,
264528,1774307511,2026-03-23T16:11:51,,,yes,
264529,1774307511,2026-03-23T16:11:51,,,yes,
264560,1774307513,2026-03-23T16:11:53,,,yes,
264609,1774307516,2026-03-23T16:11:56,,,no,
264613,1774307516,2026-03-23T16:11:56,,,no,
264614,1774307516,2026-03-23T16:11:56,,,no,
264615,1774307516,2026-03-23T16:11:56,,,no,
264685,1774307520,2026-03-23T16:12:00,,,yes,
264706,1774307521,2026-03-23T16:12:01,,,yes,
265019,1774307536,2026-03-23T16:12:16,,,no,
265100,1774307541,2026-03-23T16:12:21,,,yes,
265152,1774307544,2026-03-23T16:12:24,,,yes,
266007,1774307582,2026-03-23T16:13:02,,,yes,
266008,1774307582,2026-03-23T16:13:02,,,yes,
267287,1774307665,2026-03-23T16:14:25,,,no,
267288,1774307665,2026-03-23T16:14:25,,,no,
267289,1774307665,2026-03-23T16:14:25,,,no,
267290,1774307665,2026-03-23T16:14:25,,,no,
267867,1774307691,2026-03-23T16:14:51,,,yes,
268201,1774307708,2026-03-23T16:15:08,,,yes,
268202,1774307708,2026-03-23T16:15:08,,,yes,
269249,1774307762,2026-03-23T16:16:02,,,no,
270628,1774307846,2026-03-23T16:17:26,,,no,
270801,1774307856,2026-03-23T16:17:36,,,yes,
270879,1774307863,2026-03-23T16:17:43,,,yes,
270880,1774307863,2026-03-23T16:17:43,,,yes,
271203,1774307883,2026-03-23T16:18:03,,,yes,
273091,1774308000,2026-03-23T16:20:00,,,yes,
273329,1774308016,2026-03-23T16:20:16,,,yes,
273579,1774308035,2026-03-23T16:20:35,,,yes,
273580,1774308035,2026-03-23T16:20:35,,,yes,
273581,1774308035,2026-03-23T16:20:35,,,yes,
273723,1774308046,2026-03-23T16:20:46,,,yes,
274039,1774308064,2026-03-23T16:21:04,,,yes,
274059,1774308066,2026-03-23T16:21:06,,,yes,
274484,1774308096,2026-03-23T16:21:36,,,yes,
275378,1774308162,2026-03-23T16:22:42,,,no,
275519,1774308171,2026-03-23T16:22:51,,,yes,
275663,1774308180,2026-03-23T16:23:00,,,yes,
275753,1774308189,2026-03-23T16:23:09,,,yes,
275952,1774308206,2026-03-23T16:23:26,,,no,
275953,1774308206,2026-03-23T16:23:26,,,no,
275954,1774308206,2026-03-23T16:23:26,,,no,
275996,1774308207,2026-03-23T16:23:27,,,no,
276003,1774308208,2026-03-23T16:23:28,,,no,
276180,1774308220,2026-03-23T16:23:40,,,yes,
276184,1774308221,2026-03-23T16:23:41,,,no,
276749,1774308258,2026-03-23T16:24:18,,,no,
276750,1774308258,2026-03-23T16:24:18,,,no,
276886,1774308269,2026-03-23T16:24:29,,,yes,
277466,1774308312,2026-03-23T16:25:12,,,yes,
277467,1774308312,2026-03-23T16:25:12,,,yes,
277468,1774308312,2026-03-23T16:25:12,,,yes,
277469,1774308312,2026-03-23T16:25:12,,,yes,
278747,1774308396,2026-03-23T16:26:36,,,yes,
278748,1774308396,2026-03-23T16:26:36,,,yes,
279157,1774308426,2026-03-23T16:27:06,,,yes,
