Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
3417,1774276011,2026-03-23T07:26:51,,,yes,
3606,1774276274,2026-03-23T07:31:14,,,yes,
3607,1774276274,2026-03-23T07:31:14,,,yes,
6441,1774279488,2026-03-23T08:24:48,,,no,
9408,1774281959,2026-03-23T09:05:59,,,yes,
9497,1774281991,2026-03-23T09:06:31,,,yes,
9800,1774282062,2026-03-23T09:07:42,,,yes,
20729,1774284583,2026-03-23T09:49:43,,,yes,
20772,1774284592,2026-03-23T09:49:52,,,no,
20773,1774284592,2026-03-23T09:49:52,,,no,
38525,1774287631,2026-03-23T10:40:31,,,yes,
46842,1774288437,2026-03-23T10:53:57,,,yes,
174788,1774299487,2026-03-23T13:58:07,,,yes,
181402,1774300156,2026-03-23T14:09:16,,,yes,
181403,1774300156,2026-03-23T14:09:16,,,yes,
188492,1774300752,2026-03-23T14:19:12,,,yes,
192117,1774301074,2026-03-23T14:24:34,,,yes,
196577,1774301505,2026-03-23T14:31:45,,,yes,
196912,1774301542,2026-03-23T14:32:22,,,no,
196931,1774301545,2026-03-23T14:32:25,,,no,
196953,1774301548,2026-03-23T14:32:28,,,no,
196970,1774301549,2026-03-23T14:32:29,,,no,
196998,1774301551,2026-03-23T14:32:31,,,no,
197003,1774301552,2026-03-23T14:32:32,,,no,
197013,1774301554,2026-03-23T14:32:34,,,no,
197024,1774301555,2026-03-23T14:32:35,,,no,
197039,1774301557,2026-03-23T14:32:37,,,no,
197050,1774301558,2026-03-23T14:32:38,,,no,
197057,1774301560,2026-03-23T14:32:40,,,no,
197065,1774301562,2026-03-23T14:32:42,,,no,
197081,1774301563,2026-03-23T14:32:43,,,no,
197098,1774301564,2026-03-23T14:32:44,,,no,
197105,1774301566,2026-03-23T14:32:46,,,no,
197112,1774301567,2026-03-23T14:32:47,,,no,
197126,1774301569,2026-03-23T14:32:49,,,no,
197141,1774301570,2026-03-23T14:32:50,,,no,
197171,1774301571,2026-03-23T14:32:51,,,no,
197184,1774301572,2026-03-23T14:32:52,,,no,
197190,1774301573,2026-03-23T14:32:53,,,no,
197195,1774301574,2026-03-23T14:32:54,,,no,
197207,1774301575,2026-03-23T14:32:55,,,no,
197224,1774301576,2026-03-23T14:32:56,,,no,
197233,1774301577,2026-03-23T14:32:57,,,no,
197253,1774301578,2026-03-23T14:32:58,,,no,
197261,1774301579,2026-03-23T14:32:59,,,no,
197285,1774301581,2026-03-23T14:33:01,,,no,
197309,1774301582,2026-03-23T14:33:02,,,no,
197316,1774301583,2026-03-23T14:33:03,,,no,
197333,1774301585,2026-03-23T14:33:05,,,no,
204743,1774302210,2026-03-23T14:43:30,,,yes,
204808,1774302214,2026-03-23T14:43:34,,,yes,
204809,1774302214,2026-03-23T14:43:34,,,yes,
209834,1774302623,2026-03-23T14:50:23,,,yes,
211638,1774302898,2026-03-23T14:54:58,,,yes,
225897,1774304531,2026-03-23T15:22:11,,,yes,
231944,1774305133,2026-03-23T15:32:13,,,yes,
232138,1774305161,2026-03-23T15:32:41,,,yes,
235530,1774305514,2026-03-23T15:38:34,,,no,
236467,1774305586,2026-03-23T15:39:46,,,yes,
240318,1774305977,2026-03-23T15:46:17,,,yes,
243968,1774306323,2026-03-23T15:52:03,,,yes,
251166,1774306726,2026-03-23T15:58:46,,,yes,
251167,1774306726,2026-03-23T15:58:46,,,yes,
263352,1774307439,2026-03-23T16:10:39,,,yes,
267705,1774307684,2026-03-23T16:14:44,,,yes,
270442,1774307836,2026-03-23T16:17:16,,,yes,
275877,1774308200,2026-03-23T16:23:20,,,yes,
276890,1774308270,2026-03-23T16:24:30,,,yes,
276891,1774308270,2026-03-23T16:24:30,,,yes,
276892,1774308270,2026-03-23T16:24:30,,,yes,
276893,1774308270,2026-03-23T16:24:30,,,yes,
283357,1774308771,2026-03-23T16:32:51,,,yes,
283469,1774308780,2026-03-23T16:33:00,,,no,
283718,1774308800,2026-03-23T16:33:20,,,no,
283813,1774308808,2026-03-23T16:33:28,,,yes,
283814,1774308808,2026-03-23T16:33:28,,,yes,
283815,1774308808,2026-03-23T16:33:28,,,yes,
284492,1774308865,2026-03-23T16:34:25,,,yes,
284652,1774308875,2026-03-23T16:34:35,,,no,
284653,1774308875,2026-03-23T16:34:35,,,no,
284654,1774308875,2026-03-23T16:34:35,,,no,
284655,1774308875,2026-03-23T16:34:35,,,no,
284656,1774308875,2026-03-23T16:34:35,,,no,
284657,1774308875,2026-03-23T16:34:35,,,no,
284658,1774308875,2026-03-23T16:34:35,,,no,
285293,1774308937,2026-03-23T16:35:37,,,yes,
285296,1774308938,2026-03-23T16:35:38,,,no,
285304,1774308938,2026-03-23T16:35:38,,,no,
285672,1774308973,2026-03-23T16:36:13,,,no,
