Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
537,1774271942,2026-03-23T06:19:02,,,yes,
2691,1774275007,2026-03-23T07:10:07,,,yes,
3645,1774276322,2026-03-23T07:32:02,,,yes,
3646,1774276322,2026-03-23T07:32:02,,,yes,
6065,1774279105,2026-03-23T08:18:25,,,yes,
8840,1774281707,2026-03-23T09:01:47,,,yes,
8841,1774281707,2026-03-23T09:01:47,,,yes,
8903,1774281752,2026-03-23T09:02:32,,,yes,
9697,1774282034,2026-03-23T09:07:14,,,yes,
19458,1774284320,2026-03-23T09:45:20,,,yes,
36491,1774287438,2026-03-23T10:37:18,,,yes,
58878,1774289812,2026-03-23T11:16:52,,,yes,
90798,1774293696,2026-03-23T12:21:36,,,yes,
117443,1774296022,2026-03-23T13:00:22,,,yes,
140450,1774297286,2026-03-23T13:21:26,,,yes,
140597,1774297294,2026-03-23T13:21:34,,,yes,
140598,1774297294,2026-03-23T13:21:34,,,yes,
168197,1774298713,2026-03-23T13:45:13,,,yes,
174999,1774299519,2026-03-23T13:58:39,,,yes,
176237,1774299749,2026-03-23T14:02:29,,,yes,
181373,1774300153,2026-03-23T14:09:13,,,yes,
187112,1774300607,2026-03-23T14:16:47,,,yes,
190312,1774300910,2026-03-23T14:21:50,,,yes,
192188,1774301081,2026-03-23T14:24:41,,,yes,
193823,1774301239,2026-03-23T14:27:19,,,yes,
200717,1774301916,2026-03-23T14:38:36,,,yes,
204034,1774302161,2026-03-23T14:42:41,,,yes,
204658,1774302206,2026-03-23T14:43:26,,,yes,
208663,1774302493,2026-03-23T14:48:13,,,yes,
209898,1774302628,2026-03-23T14:50:28,,,yes,
210585,1774302717,2026-03-23T14:51:57,,,yes,
212433,1774303040,2026-03-23T14:57:20,,,yes,
212434,1774303040,2026-03-23T14:57:20,,,yes,
213126,1774303179,2026-03-23T14:59:39,,,yes,
213290,1774303214,2026-03-23T15:00:14,,,yes,
213338,1774303223,2026-03-23T15:00:23,,,yes,
