ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1775334599,33,32,33,466703,34,421121,35,203556,36,12000,37,0,38,0,39,0,40,0,41,3,42,5,43,0,32,5146,31,213403,30,314817,29,43932,28,0,27,0,26,0,25,0,24,0,23,0,22,0,1103388,577298
1775334600,33,32,33,466703,34,421121,35,203556,36,12000,37,0,38,0,39,0,40,0,41,3,42,5,43,0,32,5146,31,213403,30,314817,29,43932,28,0,27,0,26,0,25,0,24,0,23,0,22,0,1103388,577298
1775334601,33,32,33,466703,34,421121,35,203556,36,12000,37,0,38,0,39,0,40,0,41,3,42,5,43,0,32,5146,31,213403,30,314817,29,43932,28,0,27,0,26,0,25,0,24,0,23,0,22,0,1103388,577298
1775334602,33,32,33,466703,34,421121,35,203556,36,12000,37,0,38,0,39,0,40,0,41,3,42,5,43,0,32,5146,31,213403,30,314817,29,43932,28,0,27,0,26,0,25,0,24,0,23,0,22,0,1103388,577298
1775334603,33,32,33,466703,34,421121,35,203556,36,12000,37,0,38,0,39,0,40,0,41,3,42,5,43,0,32,5146,31,213403,30,314817,29,43932,28,0,27,0,26,0,25,0,24,0,23,0,22,0,1103388,577298
1775334604,33,32,33,466703,34,421121,35,203556,36,12000,37,0,38,0,39,0,40,0,41,3,42,5,43,0,32,5146,31,213403,30,314817,29,43932,28,0,27,0,26,0,25,0,24,0,23,0,22,0,1103388,577298
1775334605,33,32,33,466703,34,421121,35,203556,36,12000,37,0,38,0,39,0,40,0,41,3,42,5,43,0,32,5146,31,213403,30,314817,29,43932,28,0,27,0,26,0,25,0,24,0,23,0,22,0,1103388,577298
1775334606,33,32,33,466703,34,421121,35,203556,36,12000,37,0,38,0,39,0,40,0,41,3,42,5,43,0,32,5146,31,213403,30,314817,29,43932,28,0,27,0,26,0,25,0,24,0,23,0,22,0,1103388,577298
1775334607,33,32,33,466703,34,421121,35,203556,36,12000,37,0,38,0,39,0,40,0,41,3,42,5,43,0,32,5146,31,213403,30,314817,29,43932,28,0,27,0,26,0,25,0,24,0,23,0,22,0,1103388,577298
1775334608,33,32,33,466703,34,421121,35,203556,36,12000,37,0,38,0,39,0,40,0,41,3,42,5,43,0,32,5146,31,213403,30,314817,29,43932,28,0,27,0,26,0,25,0,24,0,23,0,22,0,1103388,577298
1775334609,33,32,33,466703,34,421121,35,203556,36,12000,37,0,38,0,39,0,40,0,41,3,42,5,43,0,32,5146,31,213403,30,314817,29,43932,28,0,27,0,26,0,25,0,24,0,23,0,22,0,1103388,577298
