ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1775318399,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794554,1652759,-0.0411,0,0,38,30,44,43,1
1775318400,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794554,1652759,-0.0411,0,0,38,30,44,43,1
1775318401,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,-4,-4,37,30,44,43,1
1775318402,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,-4,-4,37,30,44,43,1
1775318403,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,-4,-4,37,30,44,43,1
1775318404,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,0,-4,37,30,44,43,1
1775318405,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,0,-4,37,30,44,43,1
1775318406,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,0,-4,37,30,44,43,1
1775318407,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,0,-4,37,30,44,43,1
1775318408,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,0,-4,37,30,44,43,1
1775318409,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,0,-4,37,30,44,43,1
1775318410,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,0,-4,37,30,44,43,1
1775318411,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,0,0,37,30,44,43,1
1775318412,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,0,0,37,30,44,43,1
1775318413,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,0,0,37,30,44,43,1
1775318414,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,0,0,37,30,44,43,1
1775318415,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,43,0,43,low_activity,0,0,0,64,0,64,1794550,1652759,-0.0411,0,0,37,30,44,43,1
1775318416,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,64,0,64,1794550,1652759,-0.0411,0,0,37,30,44,43,1
1775318417,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,64,0,64,1794550,1652759,-0.0411,0,0,37,30,44,43,1
1775318418,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,64,0,64,1794550,1652759,-0.0411,0,0,37,30,44,43,1
1775318419,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794550,1652759,-0.0411,0,0,37,30,44,43,1
1775318420,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794550,1652759,-0.0411,0,0,37,30,44,43,1
1775318421,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794600,1652759,-0.0411,50,50,37,30,44,43,1
1775318422,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794600,1652759,-0.0411,50,50,37,30,44,43,1
1775318423,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794600,1652759,-0.0411,50,50,37,30,44,43,1
1775318424,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,-549,-499,37,30,44,43,1
1775318425,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,-549,-499,37,30,44,43,1
1775318426,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,-549,-499,37,30,44,43,1
1775318427,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,-499,37,30,44,43,1
1775318428,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,-499,37,30,44,43,1
1775318429,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,-499,37,30,44,43,1
1775318430,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,-499,37,30,44,43,1
1775318431,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,-549,37,30,44,43,1
1775318432,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,-549,37,30,44,43,1
1775318433,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,-549,37,30,44,43,1
1775318434,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318435,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318436,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318437,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318438,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318439,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318440,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318441,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318442,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318443,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318444,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318445,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,43,0,43,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318446,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318447,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318448,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318449,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318450,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318451,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318452,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318453,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318454,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318455,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318456,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318457,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318458,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318459,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318460,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318461,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318462,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318463,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318464,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318465,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318466,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318467,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318468,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318469,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318470,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
1775318471,43,56,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1794051,1651361,-0.0414,0,0,37,30,44,43,1
