ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774400398,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1187971,615435,-0.3175,0,0,30,26,56,55,1
1774400399,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1187971,615435,-0.3175,0,0,30,26,56,55,1
1774400400,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1187971,615435,-0.3175,0,0,30,26,56,55,1
1774400401,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1187971,615435,-0.3175,0,0,30,26,56,55,1
1774400402,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190531,615435,-0.3184,2560,2560,30,26,56,55,1
1774400403,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190531,615435,-0.3184,2560,2560,30,26,56,55,1
1774400404,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190531,615435,-0.3184,2560,2560,30,26,56,55,1
1774400405,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190531,615435,-0.3184,0,2560,30,26,56,55,1
1774400406,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190531,615435,-0.3184,0,2560,30,26,56,55,1
1774400407,55,44,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,-3,2557,30,26,56,55,1
1774400408,55,44,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,-3,2557,30,26,56,55,1
1774400409,55,44,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,-3,2557,30,26,56,55,1
1774400410,55,44,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,2557,30,26,56,55,1
1774400411,55,44,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,2557,30,26,56,55,1
1774400412,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,-3,30,26,56,55,1
1774400413,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,-3,30,26,56,55,1
1774400414,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,-3,30,26,56,55,1
1774400415,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,-3,30,26,56,55,1
1774400416,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,-3,30,26,56,55,1
1774400417,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,0,30,26,56,55,1
1774400418,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,0,30,26,56,55,1
1774400419,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,0,30,26,56,55,1
1774400420,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,0,30,26,56,55,1
1774400421,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,0,30,26,56,55,1
1774400422,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,0,30,26,56,55,1
1774400423,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,0,30,26,56,55,1
1774400424,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,0,30,26,56,55,1
1774400425,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,0,30,26,56,55,1
1774400426,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,0,30,26,56,55,1
1774400427,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1190528,615435,-0.3184,0,0,30,26,56,55,1
1774400428,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1185809,615435,-0.3167,-4719,-4719,30,26,56,55,1
1774400429,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1185809,615435,-0.3167,-4719,-4719,30,26,56,55,1
1774400430,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1185809,615435,-0.3167,-4719,-4719,30,26,56,55,1
1774400431,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1185809,615435,-0.3167,0,-4719,30,26,56,55,1
1774400432,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1185809,615435,-0.3167,0,-4719,30,26,56,55,1
1774400433,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1185809,615435,-0.3167,0,-4719,30,26,56,55,1
1774400434,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1187041,616667,-0.3162,1232,-3487,31,26,56,55,1
1774400435,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186930,616667,-0.3162,1121,-3598,31,26,56,55,1
1774400436,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186930,616667,-0.3162,1121,-3598,31,26,56,55,1
1774400437,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,-111,-3598,31,26,56,55,1
1774400438,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,0,1121,31,26,56,55,1
1774400439,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,0,1121,31,26,56,55,1
1774400440,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,0,1121,31,26,56,55,1
1774400441,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,0,1121,31,26,56,55,1
1774400442,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,0,1121,31,26,56,55,1
1774400443,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,0,1121,31,26,56,55,1
1774400444,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,0,-111,31,26,56,55,1
1774400445,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,0,0,31,26,56,55,1
1774400446,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,0,0,31,26,56,55,1
1774400447,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,0,0,31,26,56,55,1
1774400448,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,0,0,31,26,56,55,1
1774400449,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,0,0,31,26,56,55,1
1774400450,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1186930,616667,-0.3162,0,0,31,26,56,55,1
1774400451,55,44,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,-1,-1,31,26,56,55,1
1774400452,55,44,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,-1,-1,31,26,56,55,1
1774400453,55,44,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,-1,-1,31,26,56,55,1
1774400454,55,44,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,-1,31,26,56,55,1
1774400455,55,44,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,-1,31,26,56,55,1
1774400456,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,-1,31,26,56,55,1
1774400457,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,-1,31,26,56,55,1
1774400458,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,-1,31,26,56,55,1
1774400459,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,-1,31,26,56,55,1
1774400460,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,-1,31,26,56,55,1
1774400461,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400462,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400463,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400464,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400465,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400466,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400467,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400468,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400469,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400470,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400471,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400472,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400473,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400474,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1186929,616658,-0.3162,0,0,31,26,56,55,1
1774400475,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1184873,616658,-0.3154,-2056,-2056,31,26,56,55,1
1774400476,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1184873,616658,-0.3154,-2056,-2056,31,26,56,55,1
1774400477,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1184873,616658,-0.3154,-2056,-2056,31,26,56,55,1
1774400478,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1184873,616658,-0.3154,0,-2056,31,26,56,55,1
1774400479,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1184873,616658,-0.3154,0,-2056,31,26,56,55,1
1774400480,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,1184873,616478,-0.3155,0,-2056,31,26,56,55,1
1774400481,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1184873,616478,-0.3155,0,-2056,31,26,56,55,1
1774400482,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1184873,616478,-0.3155,0,-2056,31,26,56,55,1
1774400483,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1184873,616478,-0.3155,0,-2056,31,26,56,55,1
1774400484,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1184873,616478,-0.3155,0,-2056,31,26,56,55,1
1774400485,55,44,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,1184873,616478,-0.3155,0,0,31,26,56,55,1
