ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774909799,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2123033,1464770,-0.1835,0,0,44,34,45,44,1
1774909800,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2123033,1464770,-0.1835,0,0,44,34,45,44,1
1774909801,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2123033,1470226,-0.1817,0,0,44,34,45,44,1
1774909802,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2123033,1470226,-0.1817,0,0,44,34,45,44,1
1774909803,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2123033,1470226,-0.1817,0,0,44,34,45,44,1
1774909804,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2123033,1470226,-0.1817,0,0,44,34,45,44,1
1774909805,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2123033,1470226,-0.1817,0,0,44,34,45,44,1
1774909806,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2123033,1470226,-0.1817,0,0,44,34,45,44,1
1774909807,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2123033,1470226,-0.1817,0,0,44,34,45,44,1
1774909808,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2123033,1470226,-0.1817,0,0,44,34,45,44,1
1774909809,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2123033,1470226,-0.1817,0,0,44,34,45,44,1
1774909810,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2123033,1470226,-0.1817,0,0,44,34,45,44,1
1774909811,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,2123033,1470226,-0.1817,0,0,44,34,45,44,1
1774909812,44,55,0,42,0,42,low_activity,0,42,0,42,low_activity,0,42,0,42,low_activity,42,0,42,42,0,42,2122991,1470226,-0.1817,-42,-42,44,34,45,44,1
1774909813,44,55,0,42,0,42,low_activity,0,42,0,42,low_activity,0,42,0,42,low_activity,0,0,0,42,0,42,2122991,1470226,-0.1817,-42,-42,44,34,45,44,1
1774909814,44,55,0,42,0,42,low_activity,0,42,0,42,low_activity,0,42,0,42,low_activity,0,0,0,42,0,42,2124511,1471458,-0.1816,1478,1478,45,34,45,44,1
1774909815,44,55,0,0,0,0,no_volume,0,42,0,42,low_activity,0,42,0,42,low_activity,0,0,0,42,0,42,2124511,1471458,-0.1816,1520,1478,45,34,45,44,1
1774909816,44,55,0,0,0,0,no_volume,0,42,0,42,low_activity,0,42,0,42,low_activity,0,0,0,42,0,42,2124511,1471458,-0.1816,1520,1478,45,34,45,44,1
1774909817,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,42,0,42,low_activity,0,0,0,42,0,42,2124511,1471458,-0.1816,0,1478,45,34,45,44,1
1774909818,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,42,0,42,low_activity,0,0,0,42,0,42,2124511,1471458,-0.1816,0,1478,45,34,45,44,1
1774909819,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,42,0,42,low_activity,0,0,0,42,0,42,2124511,1471458,-0.1816,0,1478,45,34,45,44,1
1774909820,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,42,0,42,low_activity,0,0,0,42,0,42,2124511,1471458,-0.1816,0,1478,45,34,45,44,1
1774909821,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,42,0,42,low_activity,0,0,0,42,0,42,2124511,1471458,-0.1816,0,1478,45,34,45,44,1
1774909822,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,42,0,42,low_activity,0,0,0,42,0,42,2124511,1471458,-0.1816,0,1520,45,34,45,44,1
1774909823,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,42,0,42,low_activity,0,0,0,42,0,42,2124511,1471458,-0.1816,0,1520,45,34,45,44,1
1774909824,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,42,0,42,low_activity,0,0,0,42,0,42,2124511,1471458,-0.1816,0,0,45,34,45,44,1
1774909825,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,42,0,42,low_activity,0,0,0,42,0,42,2124511,1471458,-0.1816,0,0,45,34,45,44,1
1774909826,44,55,0,21,0,21,low_activity,0,21,0,21,low_activity,0,63,0,63,low_activity,21,0,21,63,0,63,2123461,1471458,-0.1814,-1050,-1050,45,34,45,44,1
1774909827,44,55,0,21,0,21,low_activity,0,21,0,21,low_activity,0,63,0,63,low_activity,0,0,0,63,0,63,2123461,1471458,-0.1814,-1050,-1050,45,34,45,44,1
1774909828,44,55,0,21,0,21,low_activity,0,21,0,21,low_activity,0,63,0,63,low_activity,0,0,0,63,0,63,2123461,1471458,-0.1814,-1050,-1050,45,34,45,44,1
1774909829,44,55,0,0,0,0,no_volume,0,21,0,21,low_activity,0,63,0,63,low_activity,0,0,0,63,0,63,2123461,1471458,-0.1814,0,-1050,45,34,45,44,1
1774909830,44,55,0,0,0,0,no_volume,0,21,0,21,low_activity,0,63,0,63,low_activity,0,0,0,63,0,63,2123361,1471358,-0.1814,-100,-1150,45,34,45,44,1
1774909831,44,55,0,0,0,0,no_volume,0,0,0,0,no_volume,0,63,0,63,low_activity,0,0,0,63,0,63,2123461,1471458,-0.1814,0,-1050,45,34,45,44,1
