ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774920599,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,101,0,101,low_activity,0,0,0,384,0,384,1978198,1573522,-0.1139,0,0,27,41,63,62,1
1774920600,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,101,0,101,low_activity,0,0,0,384,0,384,1978198,1573522,-0.1139,0,0,27,41,63,62,1
1774920601,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,101,0,101,low_activity,0,0,0,384,0,384,1978194,1573522,-0.1139,-4,-4,27,41,63,62,1
1774920602,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,101,0,101,low_activity,0,0,0,384,0,384,1978194,1573522,-0.1139,-4,-4,27,41,63,62,1
1774920603,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,101,0,101,low_activity,0,0,0,384,0,384,1980658,1573522,-0.1146,2460,2460,27,41,63,62,1
1774920604,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,101,0,101,low_activity,0,0,0,384,0,384,1980658,1573522,-0.1146,2464,2460,27,41,63,62,1
1774920605,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,101,0,101,low_activity,0,0,0,384,0,384,1980658,1573522,-0.1146,2464,2460,27,41,63,62,1
1774920606,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,101,0,101,low_activity,0,0,0,384,0,384,1980658,1573522,-0.1146,0,2460,27,41,63,62,1
1774920607,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,76,0,76,low_activity,0,0,0,384,0,384,1980658,1573522,-0.1146,0,2460,27,41,63,62,1
1774920608,62,37,0,30,0,30,low_activity,0,30,0,30,low_activity,0,106,0,106,low_activity,30,0,30,414,0,414,1980628,1574889,-0.1141,-30,2430,27,41,63,62,1
1774920609,62,37,0,30,0,30,low_activity,0,30,0,30,low_activity,0,106,0,106,low_activity,0,0,0,414,0,414,1980628,1574889,-0.1141,-30,2430,27,41,63,62,1
1774920610,62,37,0,30,0,30,low_activity,0,30,0,30,low_activity,0,106,0,106,low_activity,0,0,0,414,0,414,1980598,1574889,-0.1141,-60,2400,27,41,63,62,1
1774920611,62,37,0,0,0,0,no_volume,0,30,0,30,low_activity,0,106,0,106,low_activity,0,0,0,414,0,414,1980598,1574889,-0.1141,-30,2404,27,41,63,62,1
1774920612,62,37,0,0,0,0,no_volume,0,30,0,30,low_activity,0,68,0,68,low_activity,0,0,0,414,0,414,1980598,1574889,-0.1141,-30,2404,27,41,63,62,1
1774920613,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,414,0,414,1980598,1574889,-0.1141,0,-60,27,41,63,62,1
1774920614,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,414,0,414,1980598,1574889,-0.1141,0,-60,27,41,63,62,1
1774920615,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,414,0,414,1980598,1574889,-0.1141,0,-60,27,41,63,62,1
1774920616,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,414,0,414,1980598,1574889,-0.1141,0,-60,27,41,63,62,1
1774920617,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,414,0,414,1980598,1574889,-0.1141,0,-60,27,41,63,62,1
1774920618,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,414,0,414,1980598,1574889,-0.1141,0,-30,27,41,63,62,1
1774920619,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,414,0,414,1980598,1574889,-0.1141,0,-30,27,41,63,62,1
1774920620,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,414,0,414,1980598,1574889,-0.1141,0,0,27,41,63,62,1
1774920621,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,414,0,414,1980598,1574889,-0.1141,0,0,27,41,63,62,1
1774920622,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,414,0,414,1980598,1574889,-0.1141,0,0,27,41,63,62,1
1774920623,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,68,0,68,low_activity,0,0,0,131,0,131,1980598,1574889,-0.1141,0,0,27,41,63,62,1
1774920624,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,131,0,131,1980598,1574889,-0.1141,0,0,27,41,63,62,1
1774920625,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,131,0,131,1980598,1574889,-0.1141,0,0,27,41,63,62,1
1774920626,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,131,0,131,1980598,1574889,-0.1141,0,0,27,41,63,62,1
1774920627,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,131,0,131,1980598,1574889,-0.1141,0,0,27,41,63,62,1
1774920628,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,131,0,131,1980566,1574889,-0.1141,-32,-32,27,41,63,62,1
1774920629,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,131,0,131,1980566,1574742,-0.1141,-32,-32,27,41,63,62,1
1774920630,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,131,0,131,1981798,1575974,-0.1141,1200,1200,27,41,63,62,1
1774920631,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,131,0,131,1981798,1575974,-0.1141,1232,1200,27,41,63,62,1
1774920632,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,131,0,131,1981798,1575974,-0.1141,1232,1200,27,41,63,62,1
1774920633,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,131,0,131,1982520,1581359,-0.1126,722,1922,27,41,63,62,1
1774920634,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,131,0,131,1982520,1581359,-0.1126,722,1922,27,41,63,62,1
1774920635,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,131,0,131,1982520,1581359,-0.1126,722,1922,27,41,63,62,1
1774920636,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,131,0,131,1982520,1581506,-0.1125,0,1922,27,41,63,62,1
1774920637,62,37,0,0,0,0,no_volume,0,0,0,0,no_volume,0,30,0,30,low_activity,0,0,0,106,0,106,1982520,1581506,-0.1125,0,1922,27,41,63,62,1
1774920638,62,37,0,1000,0,1000,low_activity,0,1000,0,1000,low_activity,0,1000,0,1000,low_activity,1000,0,1000,1106,0,1106,1981520,1581506,-0.1123,-1000,954,27,41,63,62,1
1774920639,62,37,0,1000,0,1000,low_activity,0,1000,0,1000,low_activity,0,1000,0,1000,low_activity,0,0,0,1106,0,1106,1981520,1581506,-0.1123,-1000,954,27,41,63,62,1
1774920640,62,37,0,1000,0,1000,low_activity,0,1000,0,1000,low_activity,0,1000,0,1000,low_activity,0,0,0,1106,0,1106,1981520,1581506,-0.1123,-1000,-278,27,41,63,62,1
1774920641,62,37,0,0,0,0,no_volume,0,1000,0,1000,low_activity,0,1000,0,1000,low_activity,0,0,0,1106,0,1106,1981520,1581506,-0.1123,0,-278,27,41,63,62,1
