ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774996199,44,54,-0.657,329,1589,1918,ok_volume,-0.657,329,1589,1918,ok_volume,-0.657,329,1589,1918,ok_volume,329,1591,1920,364,1591,1955,2814887,1635887,-0.2649,0,0,41,32,46,44,2
1774996200,44,54,-0.657,329,1589,1918,ok_volume,-0.657,329,1589,1918,ok_volume,-0.657,329,1589,1918,ok_volume,0,1591,1591,364,1591,1955,2814887,1635922,-0.2649,0,0,41,32,46,44,2
1774996201,44,54,-0.657,329,1589,1918,ok_volume,-0.657,329,1589,1918,ok_volume,-0.657,329,1589,1918,ok_volume,0,0,0,364,1591,1955,2814887,1635922,-0.2649,0,0,41,32,46,44,2
1774996202,44,54,-1.0,0,1589,1589,ok_volume,-0.657,329,1589,1918,ok_volume,-0.657,329,1589,1918,ok_volume,0,0,0,364,1591,1955,2815216,1635922,-0.2649,329,329,41,32,46,44,2
1774996203,44,54,0,0,0,0,no_volume,-0.657,329,1589,1918,ok_volume,-0.657,329,1589,1918,ok_volume,0,0,0,364,1591,1955,2815216,1635922,-0.2649,329,329,41,32,46,44,2
1774996204,44,54,0,0,0,0,no_volume,-1.0,0,1589,1589,ok_volume,-0.657,329,1589,1918,ok_volume,0,0,0,364,1591,1955,2815216,1635922,-0.2649,329,329,41,32,46,44,2
1774996205,44,54,0,0,0,0,no_volume,0,0,0,0,no_volume,-0.657,329,1589,1918,ok_volume,0,0,0,364,1591,1955,2815216,1635922,-0.2649,0,329,41,32,46,44,2
1774996206,44,54,0,0,0,0,low_activity,0,0,0,0,low_activity,-0.657,329,1589,1918,ok_volume,6,0,6,370,1591,1961,2815210,1635922,-0.2649,-6,323,41,32,46,44,2
1774996207,44,54,0,0,0,0,low_activity,0,0,0,0,low_activity,-0.657,329,1589,1918,ok_volume,0,0,0,370,1591,1961,2815210,1635922,-0.2649,-6,323,41,32,46,44,2
1774996208,44,54,0,0,0,0,low_activity,0,0,0,0,low_activity,-0.657,329,1589,1918,ok_volume,0,0,0,370,1591,1961,2815210,1635922,-0.2649,-6,323,41,32,46,44,2
1774996209,44,54,0,125,0,125,low_activity,0,125,0,125,low_activity,-0.556,454,1589,2043,ok_volume,125,0,125,495,1591,2086,2820502,1639952,-0.2647,5292,5615,41,32,46,44,2
1774996210,44,54,0,125,0,125,low_activity,0,125,0,125,low_activity,-0.556,454,1589,2043,ok_volume,0,0,0,495,1591,2086,2820502,1639952,-0.2647,5292,5615,41,32,46,44,2
1774996211,44,54,0,125,0,125,low_activity,0,125,0,125,low_activity,-0.556,454,1589,2043,ok_volume,0,0,0,495,1591,2086,2820502,1639952,-0.2647,5292,5615,41,32,46,44,2
1774996212,44,54,0,0,0,0,no_volume,0,125,0,125,low_activity,-0.556,454,1589,2043,ok_volume,0,0,0,495,1591,2086,2828635,1639952,-0.266,8133,13419,41,32,46,44,2
1774996213,44,54,0,0,492,492,low_activity,0,125,492,617,low_activity,-0.642,454,2081,2535,ok_volume,0,492,492,495,2083,2578,2828635,1639460,-0.2661,8133,13419,41,32,46,44,2
1774996214,44,54,0,0,492,492,low_activity,0,0,492,492,low_activity,-0.642,454,2081,2535,ok_volume,0,0,0,495,2083,2578,2829867,1640692,-0.266,9365,14651,41,32,46,44,2
1774996215,44,54,0,0,492,492,low_activity,0,0,492,492,low_activity,-0.642,454,2081,2535,ok_volume,0,0,0,495,2083,2578,2829867,1640692,-0.266,1232,14651,41,32,46,44,2
1774996216,44,54,0,0,0,0,no_volume,0,0,492,492,low_activity,-0.642,454,2081,2535,ok_volume,0,0,0,495,2083,2578,2829867,1640692,-0.266,1232,14657,41,32,46,44,2
1774996217,44,54,0,0,0,0,no_volume,0,0,492,492,low_activity,-0.642,454,2081,2535,ok_volume,0,0,0,495,2083,2578,2829867,1640692,-0.266,0,14657,41,32,46,44,2
