ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774996199,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2696870,1715645,-0.2224,0,0,33,35,54,53,1
1774996200,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2696876,1715645,-0.2224,6,6,33,35,54,53,1
1774996201,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2696876,1715645,-0.2224,6,6,33,35,54,53,1
1774996202,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2696876,1715645,-0.2224,6,6,33,35,54,53,1
1774996203,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2691376,1715645,-0.2214,-5500,-5494,33,35,54,53,1
1774996204,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2680376,1710145,-0.221,-16500,-16494,33,35,54,53,1
1774996205,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2680376,1710145,-0.221,-16500,-16494,33,35,54,53,1
1774996206,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2680376,1710145,-0.221,-11000,-16494,33,35,54,53,1
1774996207,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2680376,1710145,-0.221,0,-16494,33,35,54,53,1
1774996208,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2680376,1710145,-0.221,0,-16494,33,35,54,53,1
1774996209,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2688443,1710145,-0.2224,8067,-8427,33,35,54,53,1
1774996210,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2688443,1710145,-0.2224,8067,-8433,33,35,54,53,1
1774996211,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2688402,1710686,-0.2223,8026,-8474,33,35,54,53,1
1774996212,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2688402,1710686,-0.2223,-41,-8474,33,35,54,53,1
1774996213,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2689634,1711918,-0.2221,1191,-1742,34,35,54,53,1
1774996214,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2689634,1711918,-0.2221,1232,9258,34,35,54,53,1
1774996215,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2689634,1711918,-0.2221,1232,9258,34,35,54,53,1
1774996216,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2689634,1711391,-0.2223,0,9258,34,35,54,53,1
1774996217,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2689634,1711391,-0.2223,0,9258,34,35,54,53,1
1774996218,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2689634,1711391,-0.2223,0,9258,34,35,54,53,1
1774996219,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,189,0,189,low_activity,0,0,0,189,0,189,2689634,1711391,-0.2223,0,1191,34,35,54,53,1
1774996220,53,46,0,17,0,17,low_activity,0,17,0,17,low_activity,0,42,0,42,low_activity,0,0,0,206,0,206,2689617,1711391,-0.2223,-17,1174,34,35,54,53,1
1774996221,53,46,0,17,0,17,low_activity,0,17,0,17,low_activity,0,42,0,42,low_activity,0,0,0,206,0,206,2689617,1711391,-0.2223,-17,1215,34,35,54,53,1
1774996222,53,46,0,0,0,0,no_volume,0,17,0,17,low_activity,0,42,0,42,low_activity,0,0,0,206,0,206,2689617,1711391,-0.2223,-17,1215,34,35,54,53,1
1774996223,53,46,0,0,0,0,no_volume,0,17,0,17,low_activity,0,42,0,42,low_activity,0,0,0,206,0,206,2689617,1711391,-0.2223,0,-17,34,35,54,53,1
1774996224,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,206,0,206,2689617,1711391,-0.2223,0,-17,34,35,54,53,1
1774996225,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,206,0,206,2689617,1711391,-0.2223,0,-17,34,35,54,53,1
1774996226,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,206,0,206,2689617,1711391,-0.2223,0,-17,34,35,54,53,1
1774996227,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,206,0,206,2689617,1711391,-0.2223,0,-17,34,35,54,53,1
1774996228,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,206,0,206,2689617,1711391,-0.2223,0,-17,34,35,54,53,1
1774996229,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,206,0,206,2689617,1711391,-0.2223,0,-17,34,35,54,53,1
1774996230,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,206,0,206,2689617,1711391,-0.2223,0,0,34,35,54,53,1
1774996231,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,206,0,206,2689617,1711391,-0.2223,0,0,34,35,54,53,1
1774996232,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,17,0,17,low_activity,0,0,0,206,0,206,2689617,1711391,-0.2223,0,0,34,35,54,53,1
1774996233,53,46,0,19,0,19,low_activity,0,19,0,19,low_activity,0,36,0,36,low_activity,19,0,19,225,0,225,2689598,1711391,-0.2223,-19,-19,34,35,54,53,1
1774996234,53,46,0,19,0,19,low_activity,0,19,0,19,low_activity,0,36,0,36,low_activity,0,0,0,225,0,225,2689598,1711391,-0.2223,-19,-19,34,35,54,53,1
1774996235,53,46,0,19,0,19,low_activity,0,19,0,19,low_activity,0,36,0,36,low_activity,0,0,0,225,0,225,2689598,1711391,-0.2223,-19,-19,34,35,54,53,1
1774996236,53,46,0,0,0,0,no_volume,0,19,0,19,low_activity,0,36,0,36,low_activity,0,0,0,225,0,225,2689598,1711391,-0.2223,0,-19,34,35,54,53,1
1774996237,53,46,0,0,0,0,no_volume,0,19,0,19,low_activity,0,36,0,36,low_activity,0,0,0,225,0,225,2689598,1711391,-0.2223,0,-19,34,35,54,53,1
1774996238,53,46,0,39,0,39,low_activity,0,39,0,39,low_activity,0,75,0,75,low_activity,39,0,39,264,0,264,2689559,1711391,-0.2223,-39,-58,34,35,54,53,1
1774996239,53,46,0,39,0,39,low_activity,0,39,0,39,low_activity,0,75,0,75,low_activity,0,0,0,264,0,264,2689559,1711391,-0.2223,-39,-58,34,35,54,53,1
1774996240,53,46,0,39,0,39,low_activity,0,39,0,39,low_activity,0,75,0,75,low_activity,0,0,0,264,0,264,2689559,1711391,-0.2223,-39,-58,34,35,54,53,1
1774996241,53,46,0,0,0,0,no_volume,0,39,0,39,low_activity,0,75,0,75,low_activity,0,0,0,264,0,264,2689559,1711391,-0.2223,0,-58,34,35,54,53,1
1774996242,53,46,0,0,0,0,no_volume,0,39,0,39,low_activity,0,75,0,75,low_activity,0,0,0,264,0,264,2689559,1711391,-0.2223,0,-58,34,35,54,53,1
1774996243,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,75,0,75,low_activity,0,0,0,264,0,264,2689559,1711391,-0.2223,0,-39,34,35,54,53,1
1774996244,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,75,0,75,low_activity,0,0,0,264,0,264,2689559,1711391,-0.2223,0,-39,34,35,54,53,1
1774996245,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,75,0,75,low_activity,0,0,0,264,0,264,2689559,1711391,-0.2223,0,-39,34,35,54,53,1
1774996246,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,75,0,75,low_activity,0,0,0,264,0,264,2689559,1711391,-0.2223,0,-39,34,35,54,53,1
1774996247,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,75,0,75,low_activity,0,0,0,264,0,264,2689559,1711391,-0.2223,0,-39,34,35,54,53,1
1774996248,53,46,0,0,0,0,no_volume,0,0,0,0,no_volume,0,75,0,75,low_activity,0,0,0,264,0,264,2689559,1711391,-0.2223,0,0,34,35,54,53,1
