Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
36,1775135259,2026-04-02T06:07:39,40,60,yes,7
47,1775135287,2026-04-02T06:08:07,40,60,yes,11
112,1775135491,2026-04-02T06:11:31,40,60,yes,40
115,1775135494,2026-04-02T06:11:34,40,60,yes,11
403,1775136380,2026-04-02T06:26:20,40,60,yes,240
439,1775136490,2026-04-02T06:28:10,40,60,yes,127
724,1775137262,2026-04-02T06:41:02,40,60,yes,2
807,1775137408,2026-04-02T06:43:28,40,60,yes,3
808,1775137408,2026-04-02T06:43:28,40,60,yes,92
898,1775137636,2026-04-02T06:47:16,40,60,yes,46
901,1775137646,2026-04-02T06:47:26,40,60,yes,119
1037,1775137943,2026-04-02T06:52:23,40,60,yes,85
1147,1775138147,2026-04-02T06:55:47,40,60,yes,2
1188,1775138236,2026-04-02T06:57:16,40,60,yes,93
1217,1775138325,2026-04-02T06:58:45,40,60,yes,11
1267,1775138445,2026-04-02T07:00:45,40,60,yes,47
1366,1775138608,2026-04-02T07:03:28,40,60,yes,178
1442,1775138785,2026-04-02T07:06:25,40,60,yes,476
1650,1775139374,2026-04-02T07:16:14,40,60,yes,1
1767,1775139570,2026-04-02T07:19:30,40,60,yes,23
1917,1775139803,2026-04-02T07:23:23,40,60,yes,14
2015,1775139993,2026-04-02T07:26:33,40,60,yes,23
2032,1775140018,2026-04-02T07:26:58,40,60,yes,232
2086,1775140132,2026-04-02T07:28:52,40,60,yes,11
2173,1775140306,2026-04-02T07:31:46,40,60,yes,23
2230,1775140437,2026-04-02T07:33:57,40,60,yes,104
2231,1775140437,2026-04-02T07:33:57,40,60,yes,15
2379,1775140810,2026-04-02T07:40:10,40,60,yes,104
2601,1775141265,2026-04-02T07:47:45,40,60,yes,23
2622,1775141323,2026-04-02T07:48:43,40,60,yes,26
2644,1775141376,2026-04-02T07:49:36,40,60,yes,11
2665,1775141450,2026-04-02T07:50:50,40,60,yes,4
2732,1775141637,2026-04-02T07:53:57,40,60,yes,23
2882,1775141958,2026-04-02T07:59:18,40,60,yes,9
3052,1775142271,2026-04-02T08:04:31,40,60,yes,23
3084,1775142312,2026-04-02T08:05:12,40,60,yes,4
3138,1775142424,2026-04-02T08:07:04,40,60,yes,3
3274,1775142691,2026-04-02T08:11:31,40,60,yes,23
3377,1775142883,2026-04-02T08:14:43,40,60,yes,11
3416,1775142949,2026-04-02T08:15:49,40,60,yes,4
3461,1775143044,2026-04-02T08:17:24,40,60,yes,3
3630,1775143393,2026-04-02T08:23:13,40,60,yes,59
3650,1775143432,2026-04-02T08:23:52,40,60,yes,23
3693,1775143508,2026-04-02T08:25:08,40,60,yes,15
4011,1775144133,2026-04-02T08:35:33,40,60,yes,71
4370,1775144734,2026-04-02T08:45:34,40,60,yes,4
4506,1775144944,2026-04-02T08:49:04,40,60,yes,119
4508,1775144952,2026-04-02T08:49:12,40,60,yes,23
4561,1775145034,2026-04-02T08:50:34,40,60,yes,34
4563,1775145035,2026-04-02T08:50:35,40,60,yes,25
4604,1775145107,2026-04-02T08:51:47,40,60,yes,50
4627,1775145151,2026-04-02T08:52:31,40,60,yes,60
4707,1775145282,2026-04-02T08:54:42,40,60,yes,12
4743,1775145345,2026-04-02T08:55:45,40,60,yes,24
4780,1775145416,2026-04-02T08:56:56,40,60,yes,7
4947,1775145724,2026-04-02T09:02:04,40,60,yes,23
4967,1775145759,2026-04-02T09:02:39,40,60,yes,11
5004,1775145806,2026-04-02T09:03:26,40,60,yes,23
5559,1775146708,2026-04-02T09:18:28,40,60,yes,11
5667,1775146853,2026-04-02T09:20:53,40,60,yes,11
5826,1775147092,2026-04-02T09:24:52,40,60,yes,11
5833,1775147099,2026-04-02T09:24:59,40,60,yes,11
5878,1775147186,2026-04-02T09:26:26,40,60,yes,2
5907,1775147228,2026-04-02T09:27:08,40,60,yes,59
6045,1775147434,2026-04-02T09:30:34,40,60,yes,47
6049,1775147444,2026-04-02T09:30:44,40,60,yes,5
6236,1775147694,2026-04-02T09:34:54,40,60,yes,50
6425,1775148029,2026-04-02T09:40:29,40,60,yes,36
6462,1775148079,2026-04-02T09:41:19,40,60,yes,5
6548,1775148206,2026-04-02T09:43:26,40,60,yes,7
6761,1775148521,2026-04-02T09:48:41,40,60,yes,4
7030,1775148985,2026-04-02T09:56:25,40,60,yes,156
7031,1775148986,2026-04-02T09:56:26,40,60,yes,47
7210,1775149224,2026-04-02T10:00:24,40,60,yes,11
7313,1775149389,2026-04-02T10:03:09,40,60,yes,50
7750,1775149998,2026-04-02T10:13:18,40,60,yes,4
7787,1775150060,2026-04-02T10:14:20,40,60,yes,25
8293,1775150703,2026-04-02T10:25:03,40,60,yes,23
8300,1775150713,2026-04-02T10:25:13,40,60,yes,1
8552,1775151086,2026-04-02T10:31:26,40,60,yes,11
8605,1775151199,2026-04-02T10:33:19,40,60,yes,25
8770,1775151435,2026-04-02T10:37:15,40,60,yes,50
8991,1775151784,2026-04-02T10:43:04,40,60,yes,1
9060,1775151913,2026-04-02T10:45:13,40,60,yes,238
9137,1775152057,2026-04-02T10:47:37,40,60,yes,119
9295,1775152294,2026-04-02T10:51:34,40,60,yes,4
9369,1775152396,2026-04-02T10:53:16,40,60,yes,17
9518,1775152628,2026-04-02T10:57:08,40,60,yes,83
9761,1775153023,2026-04-02T11:03:43,40,60,yes,11
10100,1775153606,2026-04-02T11:13:26,40,60,yes,119
10320,1775153930,2026-04-02T11:18:50,40,60,yes,50
