Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
519,1775308248,2026-04-04T06:10:48,39,61,yes,97
962,1775308519,2026-04-04T06:15:19,39,61,yes,243
1337,1775308755,2026-04-04T06:19:15,39,61,yes,122
1646,1775308939,2026-04-04T06:22:19,39,61,yes,14
1649,1775308941,2026-04-04T06:22:21,39,61,yes,6
2705,1775309445,2026-04-04T06:30:45,39,61,yes,24
3607,1775309741,2026-04-04T06:35:41,39,61,yes,4
6110,1775310454,2026-04-04T06:47:34,39,61,yes,25
6176,1775310468,2026-04-04T06:47:48,39,61,yes,122
7576,1775310881,2026-04-04T06:54:41,39,61,yes,9
7889,1775310970,2026-04-04T06:56:10,39,61,yes,61
8879,1775311251,2026-04-04T07:00:51,39,61,yes,24
9377,1775311375,2026-04-04T07:02:55,39,61,yes,4
10021,1775311542,2026-04-04T07:05:42,39,61,yes,49
10035,1775311547,2026-04-04T07:05:47,39,61,yes,247
13657,1775312353,2026-04-04T07:19:13,39,61,yes,122
13724,1775312366,2026-04-04T07:19:26,39,61,yes,49
14470,1775312537,2026-04-04T07:22:17,39,61,yes,11
14593,1775312567,2026-04-04T07:22:47,39,61,yes,4
14833,1775312617,2026-04-04T07:23:37,39,61,yes,2
16172,1775312954,2026-04-04T07:29:14,39,61,yes,122
19149,1775313574,2026-04-04T07:39:34,38,62,no,12
19150,1775313574,2026-04-04T07:39:34,38,62,no,17
19151,1775313574,2026-04-04T07:39:34,38,62,no,11
19152,1775313574,2026-04-04T07:39:34,38,62,no,150
19153,1775313574,2026-04-04T07:39:34,38,62,no,16
19154,1775313574,2026-04-04T07:39:34,38,62,no,62
19757,1775313655,2026-04-04T07:40:55,38,62,yes,250
22495,1775314088,2026-04-04T07:48:08,38,62,yes,15
23376,1775314229,2026-04-04T07:50:29,38,62,yes,63
24677,1775314421,2026-04-04T07:53:41,38,62,yes,5
28097,1775314865,2026-04-04T08:01:05,38,62,yes,12
31097,1775315110,2026-04-04T08:05:10,38,62,yes,35
31207,1775315124,2026-04-04T08:05:24,38,62,yes,10
32047,1775315197,2026-04-04T08:06:37,38,62,yes,25
34992,1775315532,2026-04-04T08:12:12,38,62,yes,4
35670,1775315610,2026-04-04T08:13:30,38,62,yes,1081
35671,1775315610,2026-04-04T08:13:30,38,62,yes,1419
36518,1775315700,2026-04-04T08:15:00,38,62,yes,250
37624,1775315821,2026-04-04T08:17:01,38,62,yes,10
40689,1775316157,2026-04-04T08:22:37,38,62,yes,12
48431,1775316818,2026-04-04T08:33:38,38,62,yes,50
49168,1775316929,2026-04-04T08:35:29,38,62,yes,23
50338,1775317085,2026-04-04T08:38:05,37,63,no,1
50339,1775317085,2026-04-04T08:38:05,37,63,no,5
50835,1775317183,2026-04-04T08:39:43,38,62,yes,25
51434,1775317287,2026-04-04T08:41:27,38,62,yes,5
52105,1775317393,2026-04-04T08:43:13,38,62,yes,63
52695,1775317484,2026-04-04T08:44:44,38,62,yes,48
52850,1775317502,2026-04-04T08:45:02,38,62,yes,12
55331,1775317891,2026-04-04T08:51:31,38,62,yes,12
56583,1775318107,2026-04-04T08:55:07,38,62,yes,12
56728,1775318129,2026-04-04T08:55:29,38,62,yes,152
57553,1775318248,2026-04-04T08:57:28,38,62,yes,5
63166,1775318779,2026-04-04T09:06:19,38,62,yes,25
63669,1775318814,2026-04-04T09:06:54,38,62,yes,23
64142,1775318847,2026-04-04T09:07:27,38,62,yes,2
67415,1775319293,2026-04-04T09:14:53,38,62,yes,37
67422,1775319293,2026-04-04T09:14:53,38,62,yes,12
67498,1775319312,2026-04-04T09:15:12,38,62,yes,12
67997,1775319444,2026-04-04T09:17:24,38,62,yes,112
68605,1775319609,2026-04-04T09:20:09,38,62,yes,10
69123,1775319754,2026-04-04T09:22:34,38,62,yes,12
