Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1274,1774012371,2026-03-20T06:12:51,,,yes,
2836,1774012894,2026-03-20T06:21:34,,,yes,
8184,1774014470,2026-03-20T06:47:50,,,yes,
8732,1774014637,2026-03-20T06:50:37,,,yes,
8776,1774014651,2026-03-20T06:50:51,,,yes,
10063,1774015014,2026-03-20T06:56:54,,,yes,
11849,1774015498,2026-03-20T07:04:58,,,yes,
12880,1774015766,2026-03-20T07:09:26,,,yes,
15019,1774016329,2026-03-20T07:18:49,,,yes,
17481,1774016918,2026-03-20T07:28:38,,,yes,
18353,1774017145,2026-03-20T07:32:25,,,yes,
18557,1774017194,2026-03-20T07:33:14,,,yes,
18757,1774017242,2026-03-20T07:34:02,,,yes,
19713,1774017478,2026-03-20T07:37:58,,,yes,
20024,1774017552,2026-03-20T07:39:12,,,yes,
20386,1774017648,2026-03-20T07:40:48,,,yes,
20387,1774017648,2026-03-20T07:40:48,,,yes,
25223,1774018789,2026-03-20T07:59:49,,,yes,
28929,1774019604,2026-03-20T08:13:24,,,yes,
32465,1774020319,2026-03-20T08:25:19,,,yes,
35972,1774020953,2026-03-20T08:35:53,,,yes,
37152,1774021136,2026-03-20T08:38:56,,,yes,
38339,1774021307,2026-03-20T08:41:47,,,yes,
41825,1774021787,2026-03-20T08:49:47,,,yes,
43075,1774021959,2026-03-20T08:52:39,,,yes,
44843,1774022203,2026-03-20T08:56:43,,,yes,
46682,1774022463,2026-03-20T09:01:03,,,yes,
48054,1774022647,2026-03-20T09:04:07,,,yes,
48236,1774022668,2026-03-20T09:04:28,,,yes,
50573,1774022971,2026-03-20T09:09:31,,,yes,
53218,1774023248,2026-03-20T09:14:08,,,yes,
56299,1774023499,2026-03-20T09:18:19,,,yes,
58382,1774023671,2026-03-20T09:21:11,,,yes,
58721,1774023698,2026-03-20T09:21:38,,,yes,
62383,1774024067,2026-03-20T09:27:47,,,yes,
62521,1774024080,2026-03-20T09:28:00,,,yes,
63816,1774024199,2026-03-20T09:29:59,,,yes,
65360,1774024375,2026-03-20T09:32:55,,,yes,
75044,1774025362,2026-03-20T09:49:22,,,no,
75045,1774025362,2026-03-20T09:49:22,,,no,
77605,1774025630,2026-03-20T09:53:50,,,no,
81177,1774025956,2026-03-20T09:59:16,,,yes,
81275,1774025961,2026-03-20T09:59:21,,,yes,
82296,1774026055,2026-03-20T10:00:55,,,yes,
85646,1774026330,2026-03-20T10:05:30,,,yes,
85683,1774026333,2026-03-20T10:05:33,,,yes,
85837,1774026347,2026-03-20T10:05:47,,,yes,
88454,1774026588,2026-03-20T10:09:48,,,yes,
88455,1774026588,2026-03-20T10:09:48,,,yes,
88456,1774026588,2026-03-20T10:09:48,,,yes,
89883,1774026736,2026-03-20T10:12:16,,,yes,
89884,1774026736,2026-03-20T10:12:16,,,yes,
90506,1774026801,2026-03-20T10:13:21,,,yes,
92622,1774026999,2026-03-20T10:16:39,,,yes,
94605,1774027181,2026-03-20T10:19:41,,,yes,
101845,1774027765,2026-03-20T10:29:25,,,yes,
102665,1774027811,2026-03-20T10:30:11,,,yes,
106458,1774028049,2026-03-20T10:34:09,,,yes,
112440,1774028564,2026-03-20T10:42:44,,,yes,
113830,1774028691,2026-03-20T10:44:51,,,yes,
120929,1774029144,2026-03-20T10:52:24,,,no,
120930,1774029144,2026-03-20T10:52:24,,,no,
133634,1774029757,2026-03-20T11:02:37,,,yes,
137576,1774029987,2026-03-20T11:06:27,,,yes,
138253,1774030017,2026-03-20T11:06:57,,,yes,
159420,1774030685,2026-03-20T11:18:05,,,yes,
168043,1774030984,2026-03-20T11:23:04,,,yes,
171359,1774031100,2026-03-20T11:25:00,,,yes,
190327,1774031685,2026-03-20T11:34:45,,,yes,
217859,1774033109,2026-03-20T11:58:29,,,yes,
223196,1774033431,2026-03-20T12:03:51,,,yes,
227394,1774033660,2026-03-20T12:07:40,,,yes,
228236,1774033714,2026-03-20T12:08:34,,,yes,
230539,1774033842,2026-03-20T12:10:42,,,yes,
235390,1774034102,2026-03-20T12:15:02,,,yes,
240774,1774034418,2026-03-20T12:20:18,,,yes,
241122,1774034439,2026-03-20T12:20:39,,,yes,
241468,1774034459,2026-03-20T12:20:59,,,yes,
241808,1774034480,2026-03-20T12:21:20,,,yes,
243639,1774034594,2026-03-20T12:23:14,,,yes,
250405,1774034972,2026-03-20T12:29:32,,,yes,
255065,1774035224,2026-03-20T12:33:44,,,yes,
256553,1774035307,2026-03-20T12:35:07,,,yes,
258864,1774035423,2026-03-20T12:37:03,,,yes,
259483,1774035459,2026-03-20T12:37:39,,,yes,
262795,1774035647,2026-03-20T12:40:47,,,no,
263578,1774035690,2026-03-20T12:41:30,,,yes,
263976,1774035710,2026-03-20T12:41:50,,,yes,
265213,1774035765,2026-03-20T12:42:45,,,yes,
266049,1774035795,2026-03-20T12:43:15,,,yes,
272200,1774035971,2026-03-20T12:46:11,,,yes,
279222,1774036186,2026-03-20T12:49:46,,,yes,
282665,1774036328,2026-03-20T12:52:08,,,yes,
284379,1774036409,2026-03-20T12:53:29,,,yes,
286345,1774036471,2026-03-20T12:54:31,,,yes,
289196,1774036565,2026-03-20T12:56:05,,,yes,
289709,1774036586,2026-03-20T12:56:26,,,yes,
296564,1774036851,2026-03-20T13:00:51,,,yes,
297471,1774036889,2026-03-20T13:01:29,,,yes,
299217,1774036971,2026-03-20T13:02:51,,,yes,
300486,1774037029,2026-03-20T13:03:49,,,yes,
301116,1774037057,2026-03-20T13:04:17,,,yes,
301415,1774037071,2026-03-20T13:04:31,,,yes,
302231,1774037105,2026-03-20T13:05:05,,,yes,
304127,1774037186,2026-03-20T13:06:26,,,yes,
304167,1774037188,2026-03-20T13:06:28,,,yes,
307723,1774037346,2026-03-20T13:09:06,,,yes,
